日付,レース数,◎勝率,◎複勝率,◎頭数,AI1位勝率,AI1位複勝率,MF1位勝率,MF1位複勝率,EV0.4以上頭数,EV0.4以上勝率
2026-08-18,36,17.6,41.2,34,36.1,52.8,19.4,38.9,136,5.9
2026-08-19,36,17.6,41.2,34,36.1,52.8,19.4,38.9,136,5.9
2026-08-20,36,17.6,41.2,34,36.1,52.8,19.4,38.9,136,5.9
2026-08-21,36,17.6,41.2,34,36.1,52.8,19.4,38.9,136,5.9
2026-08-22,36,28.6,54.3,35,36.1,66.7,22.2,50.0,129,3.1
2026-08-23,36,16.7,44.4,36,33.3,63.9,19.4,58.3,135,4.4
2026-08-24,36,16.7,44.4,36,33.3,63.9,19.4,58.3,135,4.4
2026-08-25,36,16.7,44.4,36,33.3,63.9,19.4,58.3,135,4.4
2026-08-26,36,16.7,44.4,36,33.3,63.9,19.4,58.3,135,4.4
2026-08-27,36,16.7,44.4,36,33.3,63.9,19.4,58.3,135,4.4
2026-08-28,36,16.7,44.4,36,33.3,63.9,19.4,58.3,135,4.4
2026-08-29,36,19.4,41.7,36,38.9,58.3,19.4,44.4,145,3.4
2026-08-30,36,25.7,51.4,35,33.3,55.6,36.1,52.8,126,2.4
2026-08-31,36,25.7,51.4,35,33.3,55.6,36.1,52.8,126,2.4
