買い方,条件,基準,5年ROI,y2024,y2025,直近2年ROI,直近2年点数,直近2年的中,7分前ROI,影響pt,採用
馬単表,少頭数-12/勝率1位軸x勝率上位5/5-30倍,勝率,103.5,193.8,147.6,172.4,776,29,147.1,-25.2,
馬単裏,荒れR/連対1位軸x連対上位5/1-20倍,連対,100.3,100.8,119.3,110.6,1893,55,110.0,-0.6,○
単勝,荒れR/勝率1位/5-30倍,勝率,93.5,123.4,107.9,115.7,278,42,109.8,-6.0,○
馬単表,少頭数-12/勝率1位軸x勝率上位3/5-30倍,勝率,94.0,130.9,103.5,117.9,375,15,108.0,-9.9,
馬単裏,荒れR/勝率1位軸x勝率上位3/1-20倍,勝率,92.9,109.0,109.2,109.1,915,33,107.9,-1.2,○
馬単裏,荒れR/勝率1位軸x勝率上位3/1-99倍,勝率,89.5,107.6,104.8,106.2,940,33,106.0,-0.1,○
単勝,道悪/勝率2位/5-30倍,勝率,96.2,110.9,141.6,124.7,328,55,106.0,-18.7,○
単勝,少頭数-12/連対1位/5-30倍,連対,89.8,104.9,112.5,108.6,170,25,101.4,-7.2,
単勝,荒れR/勝率1位/1-20倍,勝率,89.6,101.6,102.4,102.0,501,92,99.8,-2.2,
馬連BOX,道悪/複勝BOX4/5-30倍,複勝,77.2,112.0,130.1,119.5,756,26,94.2,-25.3,
馬単表,道悪/勝率2位軸x勝率上位5/5-30倍,勝率,76.8,119.0,109.9,115.0,1086,31,93.5,-21.6,
単勝,長距離1900+/勝率1位/5-30倍,勝率,84.5,114.0,102.6,107.9,198,30,92.9,-15.0,
馬連BOX,長距離1900+/複勝BOX4/5-30倍,複勝,87.8,103.7,113.2,108.3,1665,60,90.0,-18.4,
馬連BOX,長距離1900+/連対BOX3/5-30倍,連対,85.2,116.7,104.9,110.8,468,22,86.5,-24.3,
