競馬場cd,距離,is_turf,馬場状態_num,基準上り
1,1000,0.0,1,36.2
1,1000,0.0,2,35.9
1,1000,0.0,3,35.7
1,1000,0.0,4,35.8
1,1000,1.0,1,33.5
1,1200,1.0,1,35.0
1,1200,1.0,2,35.7
1,1200,1.0,3,36.4
1,1500,1.0,1,35.6
1,1500,1.0,2,36.6
1,1500,1.0,3,37.6
1,1700,0.0,1,39.1
1,1700,0.0,2,38.95
1,1700,0.0,3,38.4
1,1700,0.0,4,38.6
1,1800,1.0,1,35.8
1,1800,1.0,2,36.7
1,1800,1.0,3,37.1
1,2000,1.0,1,36.4
1,2000,1.0,2,37.2
1,2000,1.0,3,37.6
1,2400,0.0,1,40.2
1,2400,0.0,2,39.2
1,2400,0.0,3,39.3
1,2400,0.0,4,39.35
1,2600,1.0,1,36.8
1,2600,1.0,2,37.8
1,2600,1.0,3,39.1
2,1000,0.0,1,36.5
2,1000,0.0,2,36.1
2,1000,0.0,3,35.8
2,1000,0.0,4,35.7
2,1000,1.0,1,34.25
2,1000,1.0,2,34.6
2,1200,1.0,1,35.1
2,1200,1.0,2,35.6
2,1200,1.0,3,36.0
2,1700,0.0,1,39.0
2,1700,0.0,2,38.9
2,1700,0.0,3,38.3
2,1700,0.0,4,38.3
2,1800,1.0,1,35.8
2,1800,1.0,2,36.45
2,1800,1.0,3,37.0
2,2000,1.0,1,36.1
2,2000,1.0,2,36.6
2,2000,1.0,3,36.8
2,2400,0.0,1,40.4
2,2400,0.0,2,40.1
2,2400,0.0,3,39.2
2,2400,0.0,4,37.8
2,2600,1.0,1,36.5
2,2600,1.0,2,37.4
2,2600,1.0,3,38.5
3,1150,0.0,1,37.7
3,1150,0.0,2,37.6
3,1150,0.0,3,37.0
3,1150,0.0,4,37.05
3,1200,1.0,1,35.4
3,1200,1.0,2,36.3
3,1200,1.0,3,36.5
3,1200,1.0,4,37.349999999999994
3,1700,0.0,1,39.2
3,1700,0.0,2,39.1
3,1700,0.0,3,38.7
3,1700,0.0,4,38.8
3,1800,1.0,1,36.1
3,1800,1.0,2,37.0
3,1800,1.0,3,37.349999999999994
3,1800,1.0,4,37.5
3,2000,1.0,1,36.4
3,2000,1.0,2,37.2
3,2000,1.0,3,38.2
3,2000,1.0,4,39.1
3,2400,0.0,1,39.9
3,2400,0.0,2,39.35
3,2600,1.0,1,36.8
3,2600,1.0,2,38.1
3,2600,1.0,3,38.6
3,2750,1.0,1,13.4
3,2750,1.0,2,13.4
3,2750,1.0,3,13.5
3,2750,1.0,4,13.7
3,2770,1.0,1,13.4
3,2770,1.0,2,13.5
3,2770,1.0,3,13.5
3,3350,1.0,1,13.3
3,3380,1.0,1,13.4
3,3380,1.0,2,13.6
3,3380,1.0,3,13.6
4,1000,1.0,1,33.4
4,1000,1.0,2,34.0
4,1000,1.0,3,34.7
4,1000,1.0,4,34.8
4,1200,0.0,1,37.8
4,1200,0.0,2,37.7
4,1200,0.0,3,37.3
4,1200,0.0,4,37.6
4,1200,1.0,1,35.2
4,1200,1.0,2,35.7
4,1200,1.0,3,36.4
4,1400,1.0,1,35.7
4,1400,1.0,2,36.2
4,1400,1.0,3,37.1
4,1400,1.0,4,37.55
4,1600,1.0,1,34.5
4,1600,1.0,2,34.9
4,1600,1.0,3,36.2
4,1600,1.0,4,36.349999999999994
4,1800,0.0,1,39.3
4,1800,0.0,2,39.5
4,1800,0.0,3,39.0
4,1800,0.0,4,38.8
4,1800,1.0,1,34.7
4,1800,1.0,2,35.6
4,1800,1.0,3,35.95
4,1800,1.0,4,38.1
4,2000,1.0,1,35.6
4,2000,1.0,2,36.3
4,2000,1.0,3,36.7
4,2000,1.0,4,37.2
4,2200,1.0,1,36.2
4,2200,1.0,2,36.5
4,2200,1.0,3,36.95
4,2200,1.0,4,35.8
4,2400,1.0,1,36.2
4,2400,1.0,2,37.1
4,2400,1.0,3,37.3
4,2400,1.0,4,40.95
4,2500,0.0,1,39.25
4,2500,0.0,2,38.4
4,2500,0.0,3,39.2
4,2500,0.0,4,39.5
4,2850,1.0,1,13.2
4,2850,1.0,2,13.4
4,2850,1.0,3,13.3
4,2850,1.0,4,13.3
4,2890,1.0,1,13.3
4,2890,1.0,2,13.5
4,2890,1.0,3,13.4
4,2890,1.0,4,13.8
4,3250,1.0,1,13.2
4,3250,1.0,2,13.3
4,3290,1.0,1,13.2
4,3290,1.0,2,13.4
4,3290,1.0,3,13.5
5,1300,0.0,1,37.4
5,1300,0.0,2,37.1
5,1300,0.0,3,36.8
5,1300,0.0,4,36.7
5,1400,0.0,1,37.5
5,1400,0.0,2,37.3
5,1400,0.0,3,36.8
5,1400,0.0,4,37.3
5,1400,1.0,1,34.4
5,1400,1.0,2,34.8
5,1400,1.0,3,35.7
5,1400,1.0,4,36.9
5,1600,0.0,1,37.9
5,1600,0.0,2,37.849999999999994
5,1600,0.0,3,37.0
5,1600,0.0,4,37.6
5,1600,1.0,1,34.6
5,1600,1.0,2,35.0
5,1600,1.0,3,35.75
5,1600,1.0,4,37.2
5,1800,1.0,1,34.5
5,1800,1.0,2,35.0
5,1800,1.0,3,35.95
5,1800,1.0,4,36.8
5,2000,1.0,1,34.6
5,2000,1.0,2,35.2
5,2000,1.0,3,34.6
5,2000,1.0,4,37.849999999999994
5,2100,0.0,1,38.5
5,2100,0.0,2,38.3
5,2100,0.0,3,37.349999999999994
5,2100,0.0,4,37.9
5,2300,1.0,1,35.0
5,2300,1.0,2,36.0
5,2400,1.0,1,34.9
5,2400,1.0,2,35.9
5,2400,1.0,3,36.349999999999994
5,2400,1.0,4,38.4
5,2500,1.0,1,34.6
5,3000,1.0,1,13.8
5,3000,1.0,2,13.9
5,3000,1.0,3,14.4
5,3000,1.0,4,14.4
5,3100,1.0,1,13.7
5,3110,1.0,1,13.4
5,3110,1.0,2,13.6
5,3110,1.0,3,13.8
5,3400,1.0,1,36.1
6,1200,0.0,1,38.0
6,1200,0.0,2,38.1
6,1200,0.0,3,37.7
6,1200,0.0,4,37.5
6,1200,1.0,1,34.7
6,1200,1.0,2,35.4
6,1200,1.0,3,35.6
6,1200,1.0,4,37.5
6,1600,1.0,1,35.3
6,1600,1.0,2,36.0
6,1600,1.0,3,36.7
6,1600,1.0,4,37.6
6,1800,0.0,1,39.9
6,1800,0.0,2,40.0
6,1800,0.0,3,39.4
6,1800,0.0,4,39.5
6,1800,1.0,1,35.3
6,1800,1.0,2,36.2
6,1800,1.0,3,36.8
6,1800,1.0,4,38.4
6,2000,1.0,1,35.9
6,2000,1.0,2,36.3
6,2000,1.0,3,37.0
6,2000,1.0,4,38.95
6,2200,1.0,1,35.8
6,2200,1.0,2,36.6
6,2200,1.0,3,37.7
6,2200,1.0,4,38.55
6,2400,0.0,1,39.7
6,2400,0.0,2,40.3
6,2400,0.0,3,39.9
6,2400,0.0,4,38.7
6,2500,0.0,1,40.1
6,2500,0.0,2,40.9
6,2500,1.0,1,35.9
6,2500,1.0,2,36.8
6,2500,1.0,3,36.75
6,2500,1.0,4,38.0
6,2880,1.0,1,13.7
6,2880,1.0,2,13.8
6,2880,1.0,3,14.0
6,2880,1.0,4,14.0
6,3200,1.0,1,13.6
6,3200,1.0,2,13.7
6,3200,1.0,3,14.0
6,3210,1.0,1,13.5
6,3210,1.0,2,13.8
6,3210,1.0,4,14.3
6,3350,1.0,1,13.5
6,3350,1.0,2,13.5
6,3350,1.0,3,13.7
6,3570,1.0,1,13.6
6,3570,1.0,2,13.7
6,3600,1.0,1,35.5
6,3600,1.0,2,35.5
6,4100,1.0,1,13.8
6,4100,1.0,2,14.1
6,4250,1.0,1,13.7
6,4250,1.0,2,13.8
6,4250,1.0,3,14.05
6,4250,1.0,4,14.6
6,4260,1.0,1,13.8
7,1200,0.0,1,37.55
7,1200,0.0,2,37.5
7,1200,0.0,3,37.2
7,1200,0.0,4,37.1
7,1200,1.0,1,34.4
7,1200,1.0,2,34.75
7,1200,1.0,3,35.1
7,1200,1.0,4,36.3
7,1400,0.0,1,38.3
7,1400,0.0,2,38.2
7,1400,0.0,3,37.6
7,1400,0.0,4,38.2
7,1400,1.0,1,35.0
7,1400,1.0,2,35.2
7,1400,1.0,3,36.3
7,1400,1.0,4,37.3
7,1600,1.0,1,35.0
7,1600,1.0,2,35.4
7,1600,1.0,3,36.0
7,1600,1.0,4,37.5
7,1800,0.0,1,39.1
7,1800,0.0,2,39.4
7,1800,0.0,3,38.0
7,1800,0.0,4,38.5
7,1900,0.0,1,39.0
7,1900,0.0,2,39.4
7,1900,0.0,3,38.6
7,1900,0.0,4,38.1
7,2000,1.0,1,35.3
7,2000,1.0,2,35.8
7,2000,1.0,3,36.3
7,2000,1.0,4,39.0
7,2200,1.0,1,35.6
7,2200,1.0,2,35.5
7,2200,1.0,3,37.0
7,2200,1.0,4,38.3
7,3000,1.0,1,13.5
7,3000,1.0,2,13.5
7,3000,1.0,3,13.4
7,3000,1.0,4,13.8
7,3300,1.0,1,13.2
7,3300,1.0,2,13.4
7,3300,1.0,4,13.45
7,3330,1.0,1,13.3
7,3330,1.0,2,13.2
7,3900,1.0,1,13.2
7,3900,1.0,3,13.3
8,1200,0.0,1,37.3
8,1200,0.0,2,37.5
8,1200,0.0,3,36.8
8,1200,0.0,4,36.6
8,1200,1.0,1,34.4
8,1200,1.0,2,35.0
8,1200,1.0,3,35.0
8,1200,1.0,4,35.0
8,1400,0.0,1,38.1
8,1400,0.0,2,38.3
8,1400,0.0,3,37.8
8,1400,0.0,4,37.6
8,1400,1.0,1,34.9
8,1400,1.0,2,35.6
8,1400,1.0,3,35.6
8,1400,1.0,4,36.8
8,1600,1.0,1,35.25
8,1600,1.0,2,35.6
8,1600,1.0,3,36.6
8,1600,1.0,4,37.55
8,1800,0.0,1,38.8
8,1800,0.0,2,39.1
8,1800,0.0,3,38.7
8,1800,0.0,4,38.1
8,1800,1.0,1,35.2
8,1800,1.0,2,35.8
8,1800,1.0,3,36.2
8,1800,1.0,4,36.0
8,1900,0.0,1,38.8
8,1900,0.0,2,38.6
8,1900,0.0,3,38.5
8,1900,0.0,4,38.1
8,2000,1.0,1,35.6
8,2000,1.0,2,36.2
8,2000,1.0,3,36.1
8,2000,1.0,4,38.4
8,2200,1.0,1,35.3
8,2200,1.0,2,35.0
8,2200,1.0,3,36.75
8,2200,1.0,4,36.85
8,2400,1.0,1,35.3
8,2400,1.0,2,35.5
8,2400,1.0,3,36.95
8,2400,1.0,4,37.5
8,2910,1.0,1,14.0
8,2910,1.0,2,14.1
8,3000,1.0,1,36.5
8,3170,1.0,1,13.8
8,3170,1.0,2,13.9
8,3170,1.0,3,14.3
8,3200,1.0,1,36.25
8,3200,1.0,2,35.9
8,3930,1.0,1,13.9
8,3930,1.0,3,14.6
8,3930,1.0,4,14.2
9,1200,0.0,1,37.6
9,1200,0.0,2,37.4
9,1200,0.0,3,36.9
9,1200,0.0,4,36.9
9,1200,1.0,1,34.5
9,1200,1.0,2,35.3
9,1200,1.0,3,35.6
9,1400,0.0,1,38.4
9,1400,0.0,2,38.2
9,1400,0.0,3,37.6
9,1400,0.0,4,37.9
9,1400,1.0,1,35.2
9,1400,1.0,2,35.8
9,1400,1.0,3,36.3
9,1600,1.0,1,34.5
9,1600,1.0,2,35.5
9,1600,1.0,3,35.7
9,1800,0.0,1,39.1
9,1800,0.0,2,39.0
9,1800,0.0,3,38.5
9,1800,0.0,4,38.5
9,1800,1.0,1,34.8
9,1800,1.0,2,35.9
9,1800,1.0,3,36.1
9,1800,1.0,4,40.25
9,2000,0.0,1,39.1
9,2000,0.0,2,39.1
9,2000,0.0,3,38.6
9,2000,0.0,4,38.4
9,2000,1.0,1,35.5
9,2000,1.0,2,36.0
9,2000,1.0,3,36.7
9,2200,1.0,1,35.7
9,2200,1.0,2,37.0
9,2200,1.0,3,36.9
9,2400,1.0,1,35.1
9,2400,1.0,2,36.7
9,2400,1.0,3,36.2
9,2600,1.0,1,35.2
9,2600,1.0,2,36.7
9,2970,1.0,1,13.9
9,2970,1.0,2,14.0
9,2970,1.0,3,13.9
9,2970,1.0,4,14.3
9,3000,1.0,1,36.1
9,3000,1.0,2,36.7
9,3000,1.0,3,38.2
9,3110,1.0,1,13.7
9,3110,1.0,2,13.6
9,3110,1.0,3,13.8
9,3110,1.0,4,13.8
9,3140,1.0,1,13.6
9,3200,1.0,1,36.1
9,3900,1.0,1,13.850000000000001
9,3900,1.0,2,13.4
10,1000,0.0,1,36.4
10,1000,0.0,2,36.2
10,1000,0.0,3,35.7
10,1000,0.0,4,35.6
10,1200,1.0,1,35.2
10,1200,1.0,2,35.6
10,1200,1.0,3,36.1
10,1200,1.0,4,36.4
10,1700,0.0,1,39.1
10,1700,0.0,2,38.9
10,1700,0.0,3,38.2
10,1700,0.0,4,38.4
10,1700,1.0,1,35.4
10,1800,1.0,1,36.1
10,1800,1.0,2,36.7
10,1800,1.0,3,36.9
10,1800,1.0,4,38.2
10,2000,1.0,1,36.3
10,2000,1.0,2,36.9
10,2000,1.0,3,37.6
10,2000,1.0,4,38.2
10,2400,0.0,1,39.3
10,2400,0.0,2,39.3
10,2400,0.0,3,37.55
10,2400,0.0,4,38.1
10,2600,1.0,1,36.5
10,2600,1.0,2,37.1
10,2600,1.0,3,38.4
10,2860,1.0,1,13.6
10,2860,1.0,2,13.7
10,2860,1.0,3,13.7
10,2860,1.0,4,13.6
10,3390,1.0,1,13.5
10,3390,1.0,2,13.6
10,3390,1.0,3,13.7
