構成,券種,通算,CI下,最悪年,収支,依存,点数,R数
複勝 軸のみ,複勝,79.4,68.9,70.9,-14870,3.9,1.0,723
ワイド 軸×◎,ワイド,78.7,54.1,64.7,-9350,17.9,1.0,439
ワイド 軸×○,ワイド,100.5,68.9,62.0,280,19.9,1.0,514
ワイド 軸×△×,ワイド,81.0,61.9,58.8,-25860,10.3,1.9,723
ワイド 軸×◎○,ワイド,90.5,69.5,63.3,-9070,11.9,1.3,723
ワイド 軸×◎○▲,ワイド,78.5,63.1,55.5,-32800,8.8,2.1,723
ワイド 軸×○▲△,ワイド,81.1,66.2,51.6,-32950,9.0,2.4,723
ワイド 軸×全印,ワイド,79.7,67.2,57.0,-58660,6.3,4.0,723
ワイド 軸×▲△×,ワイド,74.4,59.6,53.9,-49590,8.6,2.7,723
馬連 軸×◎,馬連,83.8,41.0,77.9,-7090,38.9,1.0,439
馬連 軸×○,馬連,80.3,40.1,38.4,-10140,35.7,1.0,514
馬連 軸×△×,馬連,102.4,67.0,92.8,3290,20.3,1.9,723
馬連 軸×◎○,馬連,81.9,52.9,62.3,-17230,21.7,1.3,723
馬連 軸×◎○▲,馬連,75.1,51.1,52.5,-38030,19.1,2.1,723
馬連 軸×○▲△,馬連,88.0,61.6,45.5,-20970,18.9,2.4,723
馬連 軸×全印,馬連,88.0,66.3,71.3,-34740,11.4,4.0,723
馬連 軸×▲△×,馬連,91.0,62.9,75.9,-17510,16.5,2.7,723
馬単 軸→◎○▲,馬単,120.3,74.0,83.5,30990,25.0,2.1,723
馬単 軸→全印,馬単,123.7,85.6,97.5,68440,17.5,4.0,723
馬単 軸→○▲△×,馬単,117.6,74.0,80.7,43170,21.7,3.4,723
馬単 軸→▲△×,馬単,119.7,69.9,84.7,38200,27.0,2.7,723
馬単 軸→△×,馬単,127.5,67.4,84.2,37450,34.5,1.9,723
馬単 軸→全印＋全印→軸,馬単,92.0,69.4,73.4,-46500,12.2,8.0,723
3連複 軸+◎○▲から2頭,3連複,51.0,23.6,31.7,-43450,44.3,1.2,723
3連複 軸+◎○▲△から2頭,3連複,78.1,46.4,25.8,-48680,31.6,3.1,723
3連複 軸+全印から2頭,3連複,67.6,46.2,33.0,-140750,22.7,6.0,723
3連単 軸1着→◎○▲の2頭,3連単,116.2,21.4,10.1,28740,78.9,2.5,723
3連単 軸1着→全印の2頭,3連単,116.2,59.1,56.8,140420,37.2,12.0,723
