構成,券種,最低年,通算,的中
単勝 軸のみ,単勝,111.5,113.6,64
馬単 軸→◎○▲△×,馬単,97.5,123.7,48
馬連 軸×△×,馬連,92.8,102.4,39
馬単 軸→◎○▲,馬単,83.5,120.3,27
馬連 軸×◎のみ,馬連,77.9,83.8,16
馬連 軸×◎○▲△×,馬連,71.3,88.0,86
ワイド 軸×◎のみ,ワイド,64.7,78.7,42
ワイド 軸×◎○,ワイド,63.3,90.5,94
馬連 軸×◎○,馬連,62.3,81.9,34
ワイド 軸×○のみ,ワイド,62.0,100.5,58
馬連 軸××のみ,馬連,60.9,90.5,15
馬連 軸×△のみ,馬連,59.8,115.1,25
ワイド 軸×△×,ワイド,58.8,81.0,84
ワイド 軸××のみ,ワイド,57.1,76.8,38
ワイド 軸×◎○▲△×,ワイド,57.0,79.7,164
ワイド 軸×◎○▲,ワイド,55.5,78.5,121
馬連 軸×◎○▲△,馬連,54.7,87.2,72
ワイド 軸×◎○▲△,ワイド,54.3,80.7,148
馬連 軸×◎○▲,馬連,52.5,75.1,47
ワイド 軸×○▲,ワイド,51.7,78.5,91
ワイド 軸×△のみ,ワイド,51.5,85.6,50
馬単 ◎○▲△×→軸,馬単,48.1,60.3,38
ワイド 軸×▲のみ,ワイド,42.1,58.7,39
馬連 軸×○のみ,馬連,38.4,80.3,18
馬連 軸×○▲,馬連,36.9,71.6,31
馬連 軸×▲のみ,馬連,35.6,63.8,13
馬単 ◎○▲→軸,馬単,2.3,37.8,20
