構成,券種,R24,R25,ROI24,ROI25,最低年
単勝 EV最大の1頭・EV≥1.0,単勝,2966,3035,116.9,51.7,51.7
単勝 EV最大の1頭・EV≥1.2,単勝,2952,3024,117.4,51.9,51.9
単勝 EV最大の1頭・EV≥1.5,単勝,2899,2961,119.2,52.4,52.4
単勝 EV最大の1頭・EV≥2.0,単勝,2692,2682,122.9,51.1,51.1
複勝 確率比最大の1頭・比≥1.2,複勝,2966,3036,70.6,59.6,59.6
複勝 確率比最大の1頭・比≥1.5,複勝,2960,3023,70.1,59.8,59.8
複勝 確率比最大の1頭・比≥2.0,複勝,2903,2956,70.5,58.8,58.8
単勝 EV最大・EV≥1.2・20倍以下,単勝,214,267,74.1,90.7,74.1
単勝 EV最大・EV≥1.2・30倍以下,単勝,424,446,86.9,92.7,86.9
単勝 EV最大・EV≥1.2・50倍以下,単勝,823,857,95.2,73.1,73.1
複勝 比率最大・比≥1.5・30倍以下,複勝,137,141,74.2,83.8,74.2
単勝 乖離≥2・20倍以下・EV≥1.0,単勝,1418,1492,80.4,76.4,76.4
単勝 乖離≥2・20倍以下・EV≥1.2,単勝,1178,1232,78.2,80.5,78.2
単勝 乖離≥2・20倍以下・EV≥1.5,単勝,825,829,92.3,85.7,85.7
単勝 乖離≥3・20倍以下・EV≥1.0,単勝,793,855,82.9,86.1,82.9
単勝 乖離≥3・20倍以下・EV≥1.2,単勝,690,736,80.6,88.6,80.6
単勝 乖離≥3・20倍以下・EV≥1.5,単勝,514,529,96.0,91.7,91.7
複勝 乖離≥2・20倍以下・比≥1.0,複勝,1627,1748,75.9,76.1,75.9
複勝 乖離≥2・20倍以下・比≥1.2,複勝,1412,1513,75.7,77.6,75.7
複勝 乖離≥3・20倍以下・比≥1.0,複勝,892,976,72.8,80.6,72.8
複勝 乖離≥3・20倍以下・比≥1.2,複勝,827,911,74.6,81.1,74.6
複勝 ★(乖離≥3・20倍以下・モデル1位)【現行】,複勝,270,271,78.0,91.7,78.0
単勝 ★【現行】,単勝,270,271,78.8,70.6,70.6
