日付,買い方,点数,的中数,購入額,収支,回収率
2026-07-18,3連単 ◎→○▲→○▲△,52,1,5200,2950,156.7
2026-07-18,3連単 妙→上位3→上位5,108,0,10800,-10800,0.0
2026-07-18,3連単 妙◎軸マルチ上位5,48,0,4800,-4800,0.0
2026-07-18,3連複 ◎○▲,13,0,1300,-1300,0.0
2026-07-18,3連複 妙◎軸-人気上位6,55,2,5500,-1910,65.3
2026-07-18,◎単勝,13,7,1300,1190,191.5
2026-07-18,ワイド 妙-◎,2,0,200,-200,0.0
2026-07-18,妙単勝,11,0,1100,-1100,0.0
2026-07-18,妙複勝,2,0,200,-200,0.0
2026-07-18,馬単 ◎→○▲△,39,3,3900,-990,74.6
2026-07-18,馬単 妙→12位内80倍内,17,0,1700,-1700,0.0
2026-07-18,馬単 妙→人気12位内,93,0,9300,-9300,0.0
2026-07-18,馬連 妙-人気9位内,72,1,7200,2710,137.6
2026-07-18,馬連 妙-人気上位5,10,0,1000,-1000,0.0
2026-07-18,＝合計＝,535,14,53500,-26450,50.6
2026-07-25,3連単 ◎→○▲→○▲△,6,1,600,2180,463.3
2026-07-25,3連単 妙→複勝3→複勝5,2,0,200,-200,0.0
2026-07-25,3連複 ◎○▲,6,1,600,150,125.0
2026-07-25,3連複 妙◎軸-複勝上位5,10,1,1000,18070,1907.0
2026-07-25,◎単勝,6,4,3000,2050,168.3
2026-07-25,ワイド 複妙-複勝上位3,11,0,2100,-2100,0.0
2026-07-25,妙単勝,11,2,4400,2230,150.7
2026-07-25,妙複勝,4,0,1300,-1300,0.0
2026-07-25,馬単 ◎→○▲△,18,2,1800,-120,93.3
2026-07-25,馬単 妙→複勝上位5,35,1,3500,-780,77.7
2026-07-25,馬単 妙→複勝上位6,18,0,1800,-1800,0.0
2026-07-25,馬連 妙-複勝上位5,35,2,3500,3110,188.9
2026-07-25,馬連 妙-複勝上位6,6,0,600,-600,0.0
2026-07-25,＝合計＝,168,14,24400,20890,185.6
2026-07-26,3連単 ◎→○▲→○▲△,10,0,1000,-1000,0.0
2026-07-26,3連単 妙→複勝3→複勝5,2,0,200,-200,0.0
2026-07-26,3連複 ◎○▲,10,0,1000,-1000,0.0
2026-07-26,3連複 妙◎軸-複勝上位5,6,0,600,-600,0.0
2026-07-26,◎単勝,10,2,5000,-2000,60.0
2026-07-26,ワイド 複妙-複勝上位3,6,2,1200,9060,855.0
2026-07-26,妙単勝,9,1,4000,-2230,44.2
2026-07-26,妙複勝,2,1,600,1290,315.0
2026-07-26,馬単 ◎→○▲△,30,1,3000,-850,71.7
2026-07-26,馬単 妙→複勝上位5,33,0,3600,-3600,0.0
2026-07-26,馬単 妙→複勝上位6,12,0,1200,-1200,0.0
2026-07-26,馬連 妙-複勝上位5,30,0,3000,-3000,0.0
2026-07-26,＝合計＝,160,7,24400,-5330,78.2
2026-07-28,3連単 ◎→○▲→○▲△,10,0,1000,-1000,0.0
2026-07-28,3連単 妙→複勝3→複勝5,2,0,200,-200,0.0
2026-07-28,3連複 ◎○▲,10,0,1000,-1000,0.0
2026-07-28,3連複 妙◎軸-複勝上位5,6,0,600,-600,0.0
2026-07-28,◎単勝,10,2,5000,-2000,60.0
2026-07-28,ワイド 複妙-複勝上位3,6,2,1200,9060,855.0
2026-07-28,妙単勝,9,1,4000,-2230,44.2
2026-07-28,妙複勝,2,1,600,1290,315.0
2026-07-28,馬単 ◎→○▲△,30,1,3000,-850,71.7
2026-07-28,馬単 妙→複勝上位5,33,0,3600,-3600,0.0
2026-07-28,馬単 妙→複勝上位6,12,0,1200,-1200,0.0
2026-07-28,馬連 妙-複勝上位5,30,0,3000,-3000,0.0
2026-07-28,＝合計＝,160,7,24400,-5330,78.2
2026-07-29,3連単 ◎→○▲→○▲△,10,0,1000,-1000,0.0
2026-07-29,3連単 妙→複勝3→複勝5,2,0,200,-200,0.0
2026-07-29,3連複 ◎○▲,10,0,1000,-1000,0.0
2026-07-29,3連複 妙◎軸-複勝上位5,6,0,600,-600,0.0
2026-07-29,◎単勝,10,2,5000,-2000,60.0
2026-07-29,ワイド 複妙-複勝上位3,6,2,1200,9060,855.0
2026-07-29,妙単勝,9,1,4000,-2230,44.2
2026-07-29,妙複勝,2,1,600,1290,315.0
2026-07-29,馬単 ◎→○▲△,30,1,3000,-850,71.7
2026-07-29,馬単 妙→複勝上位5,33,0,3600,-3600,0.0
2026-07-29,馬単 妙→複勝上位6,12,0,1200,-1200,0.0
2026-07-29,馬連 妙-複勝上位5,30,0,3000,-3000,0.0
2026-07-29,＝合計＝,160,7,24400,-5330,78.2
2026-07-30,3連単 ◎→○▲→○▲△,10,0,1000,-1000,0.0
2026-07-30,3連単 妙→複勝3→複勝5,2,0,200,-200,0.0
2026-07-30,3連複 ◎○▲,10,0,1000,-1000,0.0
2026-07-30,3連複 妙◎軸-複勝上位5,6,0,600,-600,0.0
2026-07-30,◎単勝,10,2,5000,-2000,60.0
2026-07-30,ワイド 複妙-複勝上位3,6,2,1200,9060,855.0
2026-07-30,妙単勝,9,1,4000,-2230,44.2
2026-07-30,妙複勝,2,1,600,1290,315.0
2026-07-30,馬単 ◎→○▲△,30,1,3000,-850,71.7
2026-07-30,馬単 妙→複勝上位5,33,0,3600,-3600,0.0
2026-07-30,馬単 妙→複勝上位6,12,0,1200,-1200,0.0
2026-07-30,馬連 妙-複勝上位5,30,0,3000,-3000,0.0
2026-07-30,＝合計＝,160,7,24400,-5330,78.2
2026-07-31,3連単 ◎→○▲→○▲△,10,0,1000,-1000,0.0
2026-07-31,3連単 妙→複勝3→複勝5,2,0,200,-200,0.0
2026-07-31,3連複 ◎○▲,10,0,1000,-1000,0.0
2026-07-31,3連複 妙◎軸-複勝上位5,6,0,600,-600,0.0
2026-07-31,◎単勝,10,2,5000,-2000,60.0
2026-07-31,★単勝,1,1,500,8000,1700.0
2026-07-31,★複勝,1,1,300,1380,560.0
2026-07-31,ワイド 複妙-複勝上位3,6,2,1200,9060,855.0
2026-07-31,妙単勝,9,1,4000,-2230,44.2
2026-07-31,妙複勝,2,1,600,1290,315.0
2026-07-31,馬単 ◎→○▲△,30,1,3000,-850,71.7
2026-07-31,馬単 妙→複勝上位5,33,0,3600,-3600,0.0
2026-07-31,馬単 妙→複勝上位6,12,0,1200,-1200,0.0
2026-07-31,馬連 妙-複勝上位5,30,0,3000,-3000,0.0
2026-07-31,＝合計＝,162,9,25200,4050,116.1
2026-08-01,★○単勝,12,0,6000,-6000,0.0
