レース条件,ボックス,人気,券種,R数,点数,的中,的中率,累計ROI,最悪年,100%超年数
道悪,MF複勝5位以内,全馬4番人気以下,3連複,1804,692,4,0.6,111.1,0.0,2
長距離2100+,MF複勝5位以内,全馬3番人気以内,3連複,1556,1182,128,10.8,92.1,64.2,2
重賞級クラス5+,MF複勝2位以内,全馬3番人気以内,馬連,724,724,96,13.3,91.7,75.8,1
長距離2100+,MF複勝2位以内,制限なし,ワイド,1591,1591,466,29.3,90.8,83.5,1
重賞級クラス5+,MF複勝3位以内,全馬3番人気以内,馬連,1045,1587,186,11.7,90.6,78.5,1
長距離2100+,MF複勝2位以内,全馬3番人気以内,馬連,1075,1075,192,17.9,89.9,82.6,1
長距離2100+,MF複勝2位以内,制限なし,馬連,1591,1591,224,14.1,89.9,72.3,1
ダート,MF複勝3位以内,全馬4番人気以下,ワイド,1075,1177,61,5.2,89.6,38.6,1
ダート,MF複勝3位以内,全馬3番人気以内,3連複,6267,2143,254,11.9,88.9,79.6,1
長距離2100+,MF複勝5位以内,制限なし,3連複,1591,15910,515,3.2,88.6,73.6,1
長距離2100+,MF複勝2位以内,制限なし,馬単,1591,3182,224,7.0,88.1,61.8,1
ダート,MF複勝5位以内,全馬3番人気以内,3連複,7131,5109,493,9.6,87.5,79.2,0
長距離2100+,MF複勝4位以内,全馬3番人気以内,3連複,1522,932,102,10.9,86.6,65.8,1
長距離2100+,MF複勝5位以内,全馬3番人気以内,ワイド,1556,3920,1111,28.3,86.3,81.7,0
ダート,MF複勝4位以内,全馬3番人気以内,3連複,6859,3913,397,10.1,86.1,72.3,0
重賞級クラス5+,MF複勝4位以内,全馬3番人気以内,馬連,1173,2337,244,10.4,86.0,77.9,0
長距離2100+,MF複勝4位以内,全馬3番人気以内,ワイド,1522,3386,991,29.3,86.0,81.2,0
重賞級クラス5+,MF複勝3位以内,全馬3番人気以内,馬単,1045,3174,187,5.9,85.9,74.9,0
長距離2100+,MF複勝2位以内,全馬3番人気以内,馬単,1075,2150,192,8.9,85.9,71.3,1
重賞級クラス5+,MF複勝4位以内,全馬3番人気以内,3連複,1173,582,51,8.8,85.8,62.1,1
長距離2100+,MF複勝3位以内,全馬3番人気以内,馬連,1402,2442,351,14.4,85.8,78.6,0
多頭数16+,MF複勝5位以内,全馬3番人気以内,3連複,5964,4049,314,7.8,85.7,70.9,1
重賞級クラス5+,MF複勝2位以内,全馬3番人気以内,ワイド,724,724,199,27.5,85.6,63.7,1
重賞級クラス5+,MF複勝2位以内,制限なし,ワイド,1307,1307,265,20.3,85.6,67.9,1
重賞級クラス5+,MF複勝2位以内,全馬3番人気以内,馬単,724,1448,97,6.7,85.6,72.3,1
長距離2100+,MF複勝2位以内,全馬3番人気以内,ワイド,1075,1075,375,34.9,85.5,80.2,0
長距離2100+,MF複勝3位以内,全馬3番人気以内,ワイド,1402,2442,753,30.8,85.3,83.9,0
重賞級クラス5+,MF複勝5位以内,全馬3番人気以内,馬連,1233,2825,282,10.0,85.0,76.7,0
ダート,MF複勝2位以内,制限なし,ワイド,7342,7342,1939,26.4,84.8,75.3,0
ダート,MF複勝2位以内,全馬3番人気以内,馬連,4802,4802,776,16.2,84.5,80.4,0
長距離2100+,MF複勝5位以内,全馬3番人気以内,馬連,1556,3920,487,12.4,84.4,75.0,0
少頭数-12,MF複勝2位以内,制限なし,ワイド,4381,4381,1475,33.7,84.4,82.0,0
重賞級クラス5+,MF複勝4位以内,全馬3番人気以内,ワイド,1173,2337,543,23.2,84.4,77.8,0
ダート,MF複勝5位以内,全馬3番人気以内,ワイド,7131,17349,4505,26.0,84.3,81.2,0
少頭数-12,MF複勝2位以内,制限なし,馬連,4381,4381,701,16.0,84.1,77.0,0
長距離2100+,MF複勝4位以内,全馬3番人気以内,馬連,1522,3386,440,13.0,84.1,76.0,0
ダート,MF複勝2位以内,全馬3番人気以内,ワイド,4802,4802,1553,32.3,84.0,76.6,0
全体,MF複勝2位以内,全馬4番人気以下,ワイド,360,360,21,5.8,83.9,0.0,2
少頭数-12,MF複勝2位以内,全馬3番人気以内,馬連,3102,3102,613,19.8,83.8,72.6,0
少頭数-12,MF複勝4位以内,全馬3番人気以内,ワイド,4239,9617,3225,33.5,83.8,77.0,0
重賞級クラス5+,MF複勝3位以内,全馬3番人気以内,ワイド,1045,1587,393,24.8,83.8,72.9,0
ダート,MF複勝3位以内,全馬3番人気以内,ワイド,6267,10553,3026,28.7,83.7,81.2,0
ダート,MF複勝4位以内,全馬3番人気以内,ワイド,6859,14685,3939,26.8,83.6,80.1,0
重賞級クラス5+,MF複勝5位以内,全馬3番人気以内,ワイド,1233,2825,629,22.3,83.6,74.7,0
ダート,MF複勝3位以内,全馬3番人気以内,馬連,6267,10553,1407,13.3,83.5,78.4,0
少頭数-12,MF複勝3位以内,全馬3番人気以内,馬連,3958,6988,1129,16.2,83.4,74.0,0
長距離2100+,MF複勝3位以内,制限なし,ワイド,1591,4773,1070,22.4,83.2,74.7,0
多頭数16+,MF複勝2位以内,全馬3番人気以内,馬連,3828,3828,530,13.8,83.1,69.4,1
道悪,MF複勝2位以内,全馬3番人気以内,ワイド,1199,1199,383,31.9,83.0,58.5,0
全体,MF複勝2位以内,全馬3番人気以内,馬連,9860,9860,1575,16.0,82.9,77.7,0
長距離2100+,MF複勝5位以内,制限なし,ワイド,1591,15910,2346,14.7,82.9,76.1,0
少頭数-12,MF複勝2位以内,全馬3番人気以内,ワイド,3102,3102,1233,39.7,82.9,79.7,0
長距離2100+,MF複勝3位以内,全馬3番人気以内,馬単,1402,4884,351,7.2,82.7,75.3,0
少頭数-12,MF複勝5位以内,全馬3番人気以内,ワイド,4331,11175,3590,32.1,82.7,75.3,0
全体,MF複勝3位以内,全馬3番人気以内,馬連,12913,21899,2919,13.3,82.6,77.9,0
道悪,MF複勝2位以内,全馬3番人気以内,馬連,1199,1199,188,15.7,82.6,63.7,0
少頭数-12,MF複勝3位以内,全馬3番人気以内,ワイド,3958,6988,2450,35.1,82.6,75.8,0
少頭数-12,MF複勝4位以内,全馬3番人気以内,3連複,4239,2689,400,14.9,82.4,70.2,0
ダート,MF複勝5位以内,全馬3番人気以内,馬連,7131,17349,2000,11.5,82.3,78.2,0
多頭数16+,MF複勝3位以内,全馬3番人気以内,馬連,5143,8453,985,11.7,82.3,76.9,0
ダート,MF複勝3位以内,制限なし,ワイド,7342,22026,4468,20.3,82.2,76.3,0
多頭数16+,MF複勝3位以内,全馬3番人気以内,3連複,5143,1655,152,9.2,82.2,64.6,0
少頭数-12,MF複勝5位以内,全馬3番人気以内,馬連,4331,11175,1579,14.1,82.0,73.6,0
少頭数-12,MF複勝2位以内,制限なし,馬単,4381,8762,703,8.0,82.0,74.9,0
ダート,MF複勝2位以内,制限なし,馬連,7342,7342,914,12.4,81.9,76.2,0
少頭数-12,MF複勝4位以内,全馬3番人気以内,馬連,4239,9617,1421,14.8,81.9,73.7,0
多頭数16+,MF複勝3位以内,全馬4番人気以下,ワイド,1037,1143,48,4.2,81.9,40.8,1
多頭数16+,MF複勝5位以内,全馬3番人気以内,ワイド,5964,14062,3201,22.8,81.8,77.1,0
芝,MF複勝3位以内,全馬3番人気以内,馬連,6646,11346,1512,13.3,81.8,74.5,0
全体,MF複勝5位以内,全馬3番人気以内,ワイド,14584,35714,9294,26.0,81.8,79.0,0
道悪,MF複勝4位以内,全馬4番人気以下,馬単,817,2098,16,0.8,81.7,14.2,1
長距離2100+,MF複勝4位以内,制限なし,ワイド,1591,9546,1724,18.1,81.7,76.0,0
多頭数16+,MF複勝4位以内,全馬3番人気以内,3連複,5711,3024,242,8.0,81.6,72.9,0
全体,MF複勝2位以内,制限なし,ワイド,14972,14972,3919,26.2,81.6,75.8,0
重賞級クラス5+,MF複勝4位以内,全馬3番人気以内,馬単,1173,4674,245,5.2,81.4,76.6,0
全体,MF複勝5位以内,全馬3番人気以内,3連複,14584,10565,1030,9.7,81.4,73.3,0
全体,MF複勝4位以内,全馬3番人気以内,ワイド,14079,30353,8177,26.9,81.4,77.8,0
少頭数-12,MF複勝4位以内,制限なし,3連複,4381,17524,1100,6.3,81.4,75.9,0
全体,MF複勝3位以内,全馬3番人気以内,ワイド,12913,21899,6254,28.6,81.3,76.8,0
多頭数16+,MF複勝5位以内,全馬3番人気以内,馬連,5964,14062,1430,10.2,81.3,75.7,0
ダート,MF複勝2位以内,全馬3番人気以内,馬単,4802,9604,777,8.1,81.3,74.7,0
芝,MF複勝2位以内,全馬3番人気以内,馬連,5058,5058,799,15.8,81.3,73.5,0
重賞級クラス5+,MF複勝5位以内,全馬3番人気以内,馬単,1233,5650,283,5.0,81.3,73.7,0
全体,MF複勝2位以内,全馬3番人気以内,ワイド,9860,9860,3162,32.1,81.2,78.2,0
重賞級クラス5+,MF複勝5位以内,全馬3番人気以内,3連複,1233,796,61,7.7,81.2,67.3,0
少頭数-12,MF複勝3位以内,全馬3番人気以内,馬単,3958,13976,1131,8.1,81.1,72.0,0
長距離2100+,MF複勝5位以内,全馬3番人気以内,馬単,1556,7840,487,6.2,81.0,72.1,0
少頭数-12,MF複勝5位以内,全馬3番人気以内,3連複,4331,3422,474,13.9,81.0,69.4,0
ダート,MF複勝5位以内,制限なし,ワイド,7342,73420,9859,13.4,80.9,76.2,0
少頭数-12,MF複勝2位以内,全馬3番人気以内,馬単,3102,6204,615,9.9,80.9,71.1,0
長距離2100+,MF複勝3位以内,制限なし,馬連,1591,4773,451,9.4,80.8,72.4,0
ダート,MF複勝3位以内,全馬3番人気以内,馬単,6267,21106,1410,6.7,80.8,75.6,0
ダート,MF複勝4位以内,全馬3番人気以内,馬連,6859,14685,1762,12.0,80.8,74.9,0
多頭数16+,MF複勝2位以内,全馬3番人気以内,ワイド,3828,3828,1077,28.1,80.7,70.8,0
