較正,EV下,EV上,頭数,予測,実勝率,比,ROI
現行(1次元較正),0.0,0.5,33216,0.0491,0.1039,2.11,60.7
現行(1次元較正),0.5,1.0,53376,0.097,0.1133,1.17,75.6
現行(1次元較正),1.0,1.5,30027,0.078,0.0509,0.65,67.2
現行(1次元較正),1.5,2.0,16609,0.0625,0.0311,0.5,73.6
現行(1次元較正),2.0,3.0,16631,0.0562,0.02,0.36,75.8
現行(1次元較正),3.0,5.0,11104,0.0533,0.0118,0.22,77.7
現行(1次元較正),5.0,999.0,5642,0.0555,0.0073,0.13,86.1
現行(1次元較正),1.0,,80013,,,,73.1
現行(1次元較正),1.3,,59734,,,,74.8
現行(1次元較正),1.7,,42287,,,,75.0
現行(1次元較正),2.2,,28795,,,,78.0
2次元較正,0.0,0.5,10821,0.0021,0.0018,0.82,20.9
2次元較正,0.5,1.0,155163,0.077,0.0771,1.0,74.9
2次元較正,1.0,1.5,572,0.1033,0.0962,0.93,88.2
2次元較正,1.0,,621,,,,87.8
2次元較正,1.3,,97,,,,125.6
2次元較正,1.7,,23,,,,89.1
2次元較正,2.2,,0,,,,
