角度,構成,点数,的中,的中率,累計ROI,CI下,CI上,最悪年,100超年
3.分裂,勝率1位 かつ 複勝5位以下,164,21,12.8,109.8,60.1,174.9,63.1,4
4.合議×条件,重賞級 × 2モデル一致 × 1-20倍,441,107,24.3,93.1,75.8,111.6,76.3,2
4.合議×条件,ダート × 完全合議 × 5-20倍,370,52,14.1,92.9,69.5,119.6,65.1,1
4.合議×条件,長距離2100+ × 完全合議 × 1-20倍,800,307,38.4,92.6,83.5,101.9,78.6,1
4.合議×条件,長距離2100+ × 完全合議 × 1-99倍,800,307,38.4,92.6,83.7,102.1,78.6,1
4.合議×条件,重賞級 × 2モデル一致 × 1-99倍,446,107,24.0,92.1,74.4,109.4,73.6,2
2.合議×オッズ,完全合議 × 5-20倍,803,109,13.6,91.3,74.2,108.8,58.8,1
4.合議×条件,長距離2100+ × 2モデル一致 × 1-99倍,551,153,27.8,90.1,76.6,104.5,73.0,2
4.合議×条件,長距離2100+ × 2モデル一致 × 1-20倍,551,153,27.8,90.1,76.0,104.8,73.0,2
4.合議×条件,芝 × 完全合議 × 5-20倍,433,57,13.2,89.9,66.9,115.0,28.5,2
2.合議×オッズ,完全合議 × 5-10倍,698,100,14.3,88.0,72.2,104.5,67.2,1
4.合議×条件,ダート × 完全合議 × 1-99倍,3990,1411,35.4,87.0,82.8,91.6,83.8,0
4.合議×条件,ダート × 完全合議 × 1-20倍,3981,1410,35.4,86.4,82.2,90.7,83.8,0
4.合議×条件,多頭数16+ × 完全合議 × 5-20倍,426,56,13.1,85.6,62.7,107.8,51.4,1
4.合議×条件,少頭数-12 × 2モデル一致 × 1-20倍,1318,386,29.3,85.4,77.7,93.6,74.9,0
3.分裂,勝率1位 かつ 複勝2位以下,3109,634,20.4,85.0,78.0,92.4,78.1,0
4.合議×条件,少頭数-12 × 2モデル一致 × 1-99倍,1324,386,29.2,85.0,76.9,93.1,74.6,0
3.分裂,勝率1位 かつ 3モデルの開き1以上,3981,842,21.2,84.3,78.1,90.7,77.7,0
3.分裂,勝率1位 かつ 3モデルの開き3以上,541,69,12.8,84.0,61.2,109.2,63.4,1
3.分裂,勝率1位 かつ 複勝3位以下,1070,169,15.8,83.7,69.0,99.4,70.7,1
4.合議×条件,多頭数16+ × 完全合議 × 1-99倍,3219,1013,31.5,83.3,78.0,88.7,78.1,0
4.合議×条件,重賞級 × 完全合議 × 1-20倍,638,181,28.4,83.2,71.2,96.1,61.4,0
4.合議×条件,重賞級 × 完全合議 × 1-99倍,638,181,28.4,83.2,70.1,96.2,61.4,0
2.合議×オッズ,完全合議 × 3-5倍,2284,523,22.9,83.1,76.7,89.3,76.8,0
1.合議,3モデル中3つが1位,8071,2714,33.6,83.0,79.9,86.1,79.1,0
3.分裂,勝率1位 かつ 3モデルの開き0以上,13119,3813,29.1,83.0,80.0,85.7,80.5,0
4.合議×条件,多頭数16+ × 完全合議 × 1-20倍,3206,1012,31.6,82.7,77.9,87.6,77.9,0
2.合議×オッズ,完全合議 × 1-10倍,7944,2704,34.0,82.5,79.7,85.5,79.9,0
4.合議×条件,少頭数-12 × 完全合議 × 1-20倍,2460,909,37.0,81.5,76.7,86.3,72.7,0
2.合議×オッズ,完全合議 × 1-3倍,4962,2081,41.9,81.4,78.7,84.3,77.4,0
4.合議×条件,少頭数-12 × 完全合議 × 1-99倍,2466,909,36.9,81.3,76.6,86.2,72.4,0
4.合議×条件,道悪 × 2モデル一致 × 1-20倍,582,135,23.2,81.2,66.9,95.4,57.7,0
1.合議,3モデル中1つが1位,6540,1295,19.8,81.2,76.4,86.2,75.7,0
4.合議×条件,ダート × 2モデル一致 × 1-99倍,2262,552,24.4,81.1,74.1,88.2,69.6,0
4.合議×条件,道悪 × 2モデル一致 × 1-99倍,583,135,23.2,81.0,67.5,96.1,57.7,0
4.合議×条件,ダート × 2モデル一致 × 1-20倍,2235,551,24.7,80.9,74.6,87.8,70.5,0
4.合議×条件,道悪 × 完全合議 × 1-20倍,955,317,33.2,80.2,72.2,88.7,74.5,0
4.合議×条件,道悪 × 完全合議 × 1-99倍,957,317,33.1,80.0,71.9,88.2,74.5,0
4.合議×条件,芝 × 完全合議 × 1-20倍,4068,1303,32.0,79.5,75.3,83.8,71.5,0
4.合議×条件,芝 × 完全合議 × 1-99倍,4081,1303,31.9,79.2,75.0,83.6,71.2,0
1.合議,3モデル中2つが1位,4673,1129,24.2,78.9,74.3,83.6,72.0,0
4.合議×条件,芝 × 2モデル一致 × 1-20倍,2392,577,24.1,77.4,71.0,83.5,69.1,0
4.合議×条件,芝 × 2モデル一致 × 1-99倍,2409,577,24.0,76.8,70.5,82.9,68.5,0
4.合議×条件,多頭数16+ × 2モデル一致 × 5-20倍,590,61,10.3,76.6,56.6,95.9,50.0,0
4.合議×条件,多頭数16+ × 2モデル一致 × 1-99倍,1979,416,21.0,76.3,68.9,84.4,63.0,0
4.合議×条件,多頭数16+ × 2モデル一致 × 1-20倍,1957,415,21.2,75.8,68.1,83.5,63.7,0
4.合議×条件,少頭数-12 × 2モデル一致 × 5-20倍,235,27,11.5,74.6,47.5,101.6,44.8,0
4.合議×条件,ダート × 2モデル一致 × 5-20倍,530,52,9.8,72.6,53.0,92.2,43.6,1
1.合議,3モデル中0つが1位,188234,9859,5.2,70.8,68.1,73.5,68.6,0
4.合議×条件,芝 × 2モデル一致 × 5-20倍,595,57,9.6,66.5,48.7,84.2,55.9,0
