競馬場cd,_band,is_turf,コース好走相対4角,コース先行勝率,コース差し複勝率
1,中,0.0,0.2662838724386204,0.21990049751243781,0.12436177972283005
1,中,1.0,0.3247502447592375,0.18395879323031641,0.15567533291058971
1,短,0.0,0.3072498343724759,0.23661971830985915,0.1400462962962963
1,短,1.0,0.3287002854754956,0.16,0.15572232645403378
1,長,0.0,0.23473193473193474,0.1956521739130435,0.11320754716981132
1,長,1.0,0.283705308224539,0.19680851063829788,0.13626373626373625
2,中,0.0,0.269550716772939,0.22434017595307917,0.11404561824729892
2,中,1.0,0.3376047674105443,0.16091954022988506,0.16758241758241757
2,短,0.0,0.27437615695191453,0.23460410557184752,0.12077922077922078
2,短,1.0,0.34327886789340534,0.1798298906439854,0.15978630403108304
2,長,0.0,0.27433643797280166,0.275,0.10810810810810811
2,長,1.0,0.3438901804642545,0.20430107526881722,0.19111111111111112
3,中,0.0,0.2616219371620606,0.20506108202443282,0.11684628474191719
3,中,1.0,0.3099172452020553,0.15177797051170858,0.14417634792969913
3,短,0.0,0.25150477829049256,0.2253922967189729,0.10225375626043405
3,短,1.0,0.3060728209199825,0.1608888888888889,0.13544754001185536
3,長,0.0,0.22035742035742034,0.18181818181818182,0.09
3,長,1.0,0.25253519044132766,0.2409448818897638,0.10572429906542057
4,中,0.0,0.2761735942394226,0.19732654360280077,0.126057713169885
4,中,1.0,0.3996624683074263,0.11615628299894404,0.1822429906542056
4,短,0.0,0.2883644454882211,0.19909159727479184,0.11897738446411013
4,短,1.0,0.33327772632030433,0.13609022556390976,0.1391378574477166
4,長,0.0,0.3036363636363636,0.23529411764705882,0.16216216216216217
4,長,1.0,0.2968122296075429,0.19470046082949308,0.13799283154121864
5,中,0.0,0.35642185818591554,0.14391829155060354,0.15402738919157707
5,中,1.0,0.3966543481512348,0.12604790419161677,0.19111267440497126
5,短,0.0,0.32594122407408577,0.1363040629095675,0.13865546218487396
5,短,1.0,0.3727401664880941,0.11567877629063097,0.16747720364741642
5,長,0.0,0.3399705437082888,0.15135135135135136,0.15328798185941042
5,長,1.0,0.3888567211915349,0.13137755102040816,0.1883656509695291
6,中,0.0,0.2566049328570284,0.20461811722912968,0.10785876993166287
6,中,1.0,0.3156713042960639,0.1575274177467597,0.14814814814814814
6,短,0.0,0.2848568609106569,0.1862589356632248,0.1170421721548238
6,短,1.0,0.33029265785568307,0.13687150837988826,0.14232730644413538
6,長,0.0,0.28705940117230433,0.2222222222222222,0.12052117263843648
6,長,1.0,0.28229074261498754,0.19584245076586435,0.12984891792568395
7,中,0.0,0.3152202820123174,0.18121827411167513,0.1450980392156863
7,中,1.0,0.37084286442733616,0.14988938053097345,0.1769891500904159
7,短,0.0,0.3234639052636557,0.1723404255319149,0.1347740019795447
7,短,1.0,0.35780855382060445,0.13047619047619047,0.15848353014294592
7,長,1.0,0.34756708608701015,0.15625,0.1670886075949367
8,中,0.0,0.300718348196847,0.19481382978723405,0.13612950699043413
8,中,1.0,0.39239552942865863,0.1452991452991453,0.19024264326277748
8,短,0.0,0.2974898357035388,0.18188353702372395,0.12975440121712672
8,短,1.0,0.38409617047724465,0.11624441132637854,0.17599596570852244
8,長,1.0,0.3477531095735723,0.1568627450980392,0.17244367417677642
9,中,0.0,0.30591970780223793,0.19109947643979058,0.14178628389154704
9,中,1.0,0.39451639910973185,0.13546487168700042,0.19264936422226092
9,短,0.0,0.309589484358811,0.1700854700854701,0.13685330496076606
9,短,1.0,0.3457745918312301,0.16307692307692306,0.15575868372943327
9,長,1.0,0.35515853811701564,0.17391304347826086,0.17141126589945488
10,中,0.0,0.25161628814478554,0.19448476052249636,0.10740135419098762
10,中,1.0,0.31964325980587593,0.16016307513104253,0.15403477485510478
10,短,0.0,0.23949390316503127,0.2352,0.09565727699530517
10,短,1.0,0.31822482433846694,0.16295353278166771,0.13109210264571314
10,長,0.0,0.3037134162134162,0.1590909090909091,0.1686746987951807
10,長,1.0,0.25364846380471384,0.24191063174114022,0.10574412532637076
