競馬場cd,_track,_距離帯,_脚質bin,コース脚質バイアス
4,0,6.0,4.0,0.3
3,0,6.0,4.0,0.28205128205128205
3,1,8.0,2.0,0.15151515151515152
6,1,9.0,4.0,0.16279069767441862
10,1,7.0,1.0,0.4666666666666667
10,1,8.0,4.0,0.189873417721519
10,0,6.0,3.0,0.25806451612903225
10,0,6.0,4.0,0.2826086956521739
9,0,5.0,1.0,0.22807017543859648
6,1,5.0,1.0,0.2608695652173913
6,1,8.0,2.0,0.4716981132075472
6,1,8.0,3.0,0.24285714285714285
6,1,8.0,4.0,0.14814814814814814
6,1,4.0,1.0,0.20245398773006135
6,0,3.0,1.0,0.21081081081081082
6,1,7.0,2.0,0.27586206896551724
6,1,7.0,3.0,0.2785714285714286
6,1,7.0,4.0,0.3024390243902439
6,1,3.0,1.0,0.2682926829268293
6,1,4.0,2.0,0.3069544364508393
6,1,4.0,4.0,0.25379609544468545
6,0,6.0,2.0,0.24242424242424243
6,0,6.0,3.0,0.2702702702702703
6,0,6.0,4.0,0.26119402985074625
6,1,3.0,2.0,0.28365384615384615
6,1,3.0,3.0,0.2648221343873518
6,1,3.0,4.0,0.19444444444444445
6,0,4.0,1.0,0.22764227642276422
6,0,4.0,2.0,0.25280898876404495
6,1,4.0,3.0,0.35294117647058826
6,0,4.0,3.0,0.2832764505119454
6,0,4.0,4.0,0.22653061224489796
6,0,3.0,2.0,0.257847533632287
6,0,3.0,3.0,0.24483306836248012
6,0,3.0,4.0,0.2
6,1,5.0,2.0,0.2721518987341772
6,1,5.0,3.0,0.2549800796812749
6,1,5.0,4.0,0.2909930715935335
6,1,6.0,1.0,0.19148936170212766
6,1,6.0,2.0,0.23423423423423423
6,1,6.0,3.0,0.2978723404255319
6,1,6.0,4.0,0.2587601078167116
8,1,8.0,3.0,0.3333333333333333
5,0,3.0,3.0,0.24096385542168675
8,1,7.0,3.0,0.30434782608695654
8,1,7.0,4.0,0.22950819672131148
5,1,5.0,1.0,0.2777777777777778
5,0,3.0,2.0,0.3380281690140845
8,1,8.0,2.0,0.24528301886792453
8,1,8.0,4.0,0.17582417582417584
5,0,5.0,1.0,0.1388888888888889
8,0,5.0,1.0,0.3
8,1,3.0,1.0,0.24074074074074073
8,1,3.0,2.0,0.18324607329842932
8,1,3.0,3.0,0.1939799331103679
8,1,3.0,4.0,0.17966101694915254
8,0,3.0,1.0,0.29073482428115016
8,0,3.0,2.0,0.25426621160409557
8,0,3.0,3.0,0.21185185185185185
8,0,3.0,4.0,0.17289073305670816
8,1,5.0,1.0,0.2765957446808511
8,1,5.0,2.0,0.3288888888888889
8,1,5.0,3.0,0.340153452685422
8,1,5.0,4.0,0.23941068139963168
8,0,5.0,2.0,0.2978723404255319
8,0,5.0,3.0,0.2664359861591695
8,0,5.0,4.0,0.23433874709976799
8,1,6.0,1.0,0.22413793103448276
8,1,6.0,2.0,0.3416149068322981
8,1,6.0,3.0,0.31333333333333335
8,1,6.0,4.0,0.2528957528957529
8,1,4.0,2.0,0.29368421052631577
8,0,4.0,1.0,0.31942215088282505
8,0,4.0,2.0,0.3014967925873129
8,0,4.0,3.0,0.26171875
8,0,4.0,4.0,0.1892446633825944
8,1,4.0,1.0,0.3005181347150259
8,1,4.0,3.0,0.28168044077134985
8,1,4.0,4.0,0.20918367346938777
4,1,3.0,1.0,0.2647058823529412
5,0,3.0,4.0,0.2097902097902098
5,1,5.0,2.0,0.2785714285714286
5,1,5.0,3.0,0.352
5,1,5.0,4.0,0.30446927374301674
9,1,7.0,2.0,0.39473684210526316
9,1,7.0,3.0,0.3473684210526316
9,1,7.0,4.0,0.2923076923076923
9,0,5.0,2.0,0.20809248554913296
9,0,5.0,3.0,0.2608695652173913
9,0,5.0,4.0,0.2604166666666667
9,1,3.0,1.0,0.30666666666666664
9,1,3.0,2.0,0.225
5,1,6.0,2.0,0.20909090909090908
9,1,5.0,1.0,0.3380281690140845
9,1,5.0,3.0,0.3055555555555556
9,1,3.0,3.0,0.21680216802168023
9,1,3.0,4.0,0.23076923076923078
9,0,3.0,1.0,0.30184331797235026
5,1,6.0,3.0,0.3383084577114428
5,1,6.0,4.0,0.28895184135977336
5,1,4.0,1.0,0.3045267489711934
5,0,5.0,2.0,0.2753623188405797
5,0,5.0,3.0,0.3007518796992481
5,0,5.0,4.0,0.24102564102564103
9,1,8.0,2.0,0.4166666666666667
9,1,8.0,3.0,0.3017241379310345
9,1,8.0,4.0,0.1746031746031746
9,0,3.0,2.0,0.2939841089670829
9,0,3.0,3.0,0.21975992613111728
9,0,3.0,4.0,0.15488215488215487
9,1,6.0,1.0,0.24050632911392406
9,1,6.0,2.0,0.2610619469026549
2,0,6.0,4.0,0.4166666666666667
5,1,8.0,2.0,0.24705882352941178
5,1,8.0,3.0,0.37142857142857144
5,1,8.0,4.0,0.2254335260115607
5,0,4.0,1.0,0.2857142857142857
5,0,4.0,4.0,0.22845087402049427
5,0,4.0,2.0,0.3001345895020188
5,1,4.0,2.0,0.3098995695839311
5,1,4.0,3.0,0.29646017699115046
5,1,4.0,4.0,0.2792022792022792
5,0,4.0,3.0,0.28125
9,1,6.0,3.0,0.29555555555555557
9,1,6.0,4.0,0.2855072463768116
9,0,4.0,1.0,0.2632821723730815
9,1,5.0,2.0,0.32075471698113206
9,1,5.0,4.0,0.2391304347826087
9,1,4.0,1.0,0.23828920570264767
