競馬場cd,_track,_距離帯,_脚質bin,日付,コース脚質バイアス
8,0,4.0,4.0,2019-02-02,0.16666666666666666
8,0,4.0,4.0,2019-02-03,0.22727272727272727
8,0,4.0,2.0,2019-02-09,0.3333333333333333
8,0,4.0,3.0,2019-02-09,0.36363636363636365
8,0,4.0,4.0,2019-02-09,0.2222222222222222
8,0,4.0,2.0,2019-02-10,0.3055555555555556
8,0,4.0,3.0,2019-02-10,0.3888888888888889
8,0,4.0,4.0,2019-02-10,0.24193548387096775
8,0,4.0,2.0,2019-02-16,0.3157894736842105
8,0,4.0,1.0,2019-02-16,0.3333333333333333
8,0,4.0,3.0,2019-02-16,0.36585365853658536
8,0,4.0,4.0,2019-02-16,0.22388059701492538
8,0,4.0,2.0,2019-02-17,0.3333333333333333
8,0,4.0,4.0,2019-02-17,0.2222222222222222
8,0,4.0,1.0,2019-02-17,0.3125
8,0,4.0,3.0,2019-02-17,0.3488372093023256
9,0,4.0,4.0,2019-03-02,0.16216216216216217
10,1,3.0,4.0,2019-03-02,0.2727272727272727
9,0,4.0,4.0,2019-03-03,0.17647058823529413
10,1,3.0,4.0,2019-03-03,0.24390243902439024
9,0,4.0,4.0,2019-03-09,0.18461538461538463
9,0,4.0,3.0,2019-03-10,0.3225806451612903
9,0,4.0,4.0,2019-03-10,0.1643835616438356
9,1,4.0,4.0,2019-03-10,0.375
9,1,4.0,4.0,2019-03-16,0.4166666666666667
9,0,4.0,2.0,2019-03-16,0.3055555555555556
9,0,4.0,3.0,2019-03-16,0.3142857142857143
9,0,4.0,4.0,2019-03-16,0.18292682926829268
7,0,4.0,3.0,2019-03-17,0.4
9,1,4.0,4.0,2019-03-17,0.42105263157894735
9,0,4.0,2.0,2019-03-17,0.3170731707317073
9,0,4.0,3.0,2019-03-17,0.2926829268292683
9,0,4.0,4.0,2019-03-17,0.19607843137254902
7,0,4.0,3.0,2019-03-23,0.40540540540540543
7,0,4.0,4.0,2019-03-23,0.2857142857142857
9,0,4.0,1.0,2019-03-23,0.22580645161290322
9,0,4.0,2.0,2019-03-23,0.32608695652173914
9,0,4.0,3.0,2019-03-23,0.2653061224489796
9,0,4.0,4.0,2019-03-23,0.2
9,1,4.0,2.0,2019-03-23,0.43333333333333335
9,1,4.0,3.0,2019-03-23,0.2631578947368421
9,1,4.0,4.0,2019-03-23,0.3695652173913043
9,0,3.0,4.0,2019-03-23,0.15151515151515152
7,0,4.0,2.0,2019-03-24,0.375
7,0,4.0,3.0,2019-03-24,0.391304347826087
7,0,4.0,4.0,2019-03-24,0.2926829268292683
9,1,4.0,2.0,2019-03-24,0.3939393939393939
9,1,4.0,3.0,2019-03-24,0.22727272727272727
9,1,4.0,4.0,2019-03-24,0.34615384615384615
9,0,4.0,1.0,2019-03-24,0.23684210526315788
9,0,4.0,2.0,2019-03-24,0.32727272727272727
9,0,4.0,3.0,2019-03-24,0.23728813559322035
9,0,4.0,4.0,2019-03-24,0.20155038759689922
9,0,3.0,4.0,2019-03-30,0.1388888888888889
