jyo,is_turf,距離,回り,件数
01,0,1000,右,1411
01,0,1700,右,4403
01,0,2400,右,173
01,1,1000,右,13
01,1,1200,右,2487
01,1,1500,右,1716
01,1,1800,右,1543
01,1,2000,右,2035
01,1,2600,右,751
02,0,1000,右,1351
02,0,1700,右,2791
02,0,2400,右,137
02,1,1000,右,74
02,1,1200,右,3429
02,1,1800,右,1464
02,1,2000,右,1013
02,1,2600,右,381
03,0,1150,右,3828
03,0,1700,右,5819
03,0,2400,右,160
03,1,1200,右,5593
03,1,1800,右,3104
03,1,2000,右,2586
03,1,2600,右,1152
04,0,1200,左,6395
04,0,1800,左,7427
04,0,2500,左,123
04,1,1000,直,2709
04,1,1200,左,1951
04,1,1400,左,2582
04,1,1600,左,2920
04,1,1800,左,3160
04,1,2000,左,2539
04,1,2200,左,918
04,1,2400,左,521
05,0,1300,左,2608
05,0,1400,左,9774
05,0,1600,左,11230
05,0,2100,左,3754
05,1,1400,左,5391
05,1,1600,左,6619
05,1,1800,左,5007
05,1,2000,左,3198
05,1,2300,左,137
05,1,2400,左,2221
05,1,2500,左,130
05,1,3400,左,113
06,0,1200,右,14098
06,0,1800,右,14848
06,0,2400,右,962
06,0,2500,右,91
06,1,1200,右,3500
06,1,1600,右,6496
06,1,1800,右,3182
06,1,2000,右,4952
06,1,2200,右,1757
06,1,2500,右,971
06,1,3600,右,99
07,0,1200,左,4065
07,0,1400,左,5645
07,0,1800,左,6823
07,0,1900,左,2219
07,1,1200,左,2209
07,1,1400,左,3049
07,1,1600,左,3498
07,1,2000,左,4321
07,1,2200,左,1731
07,1,3000,左,60
08,0,1200,右,3888
08,0,1400,右,4539
08,0,1800,右,6391
08,0,1900,右,1465
08,1,1200,右,1502
08,1,1400,右,2093
08,1,1600,右,3454
08,1,1800,右,2070
08,1,2000,右,2200
08,1,2200,右,816
08,1,2400,右,782
08,1,3000,右,125
08,1,3200,右,92
09,0,1200,右,5682
09,0,1400,右,6968
09,0,1800,右,9548
09,0,2000,右,1564
09,1,1200,右,1783
09,1,1400,右,2910
09,1,1600,右,4752
09,1,1800,右,2854
09,1,2000,右,3003
09,1,2200,右,927
09,1,2400,右,1114
09,1,2600,右,195
09,1,3000,右,128
09,1,3200,右,24
10,0,1000,右,2741
10,0,1700,右,6580
10,0,2400,右,162
10,1,1200,右,7776
10,1,1700,右,14
10,1,1800,右,3777
10,1,2000,右,3522
10,1,2600,右,866
