年,構成,上3に2頭,全5に3頭,上3平均,上5平均,一位複勝率,一位平均人気
2024,①二値+重みあり,50.9,31.6,1.49,2.09,61.4,1.76
2024,②二値+重みなし,51.6,32.1,1.51,2.09,61.9,1.77
2024,③順位学習NDCG@3,48.8,31.1,1.48,2.07,60.5,2.04
2024,③順位学習NDCG@5,48.8,31.1,1.48,2.07,60.5,2.04
2024,"③順位学習NDCG@3,5",48.8,31.1,1.48,2.07,60.5,2.04
2024,①二値+重みあり+調教,51.4,32.8,1.5,2.1,62.6,1.72
2024,②二値+重みなし+調教,52.1,31.9,1.51,2.1,63.4,1.72
2024,③順位学習NDCG@3+調教,49.0,31.2,1.47,2.08,59.3,2.0
2024,③順位学習NDCG@5+調教,49.0,31.2,1.47,2.08,59.3,2.0
2024,"③順位学習NDCG@3,5+調教",49.0,31.2,1.47,2.08,59.3,2.0
2025,①二値+重みあり,48.7,27.3,1.45,2.01,59.7,1.81
2025,②二値+重みなし,48.4,27.7,1.45,2.02,59.6,1.79
2025,③順位学習NDCG@3,46.2,26.2,1.42,2.0,57.8,2.05
2025,③順位学習NDCG@5,46.2,26.2,1.42,2.0,57.8,2.05
2025,"③順位学習NDCG@3,5",46.2,26.2,1.42,2.0,57.8,2.05
2025,①二値+重みあり+調教,49.7,27.9,1.47,2.03,60.5,1.73
2025,②二値+重みなし+調教,50.0,27.8,1.47,2.03,59.2,1.76
2025,③順位学習NDCG@3+調教,47.7,27.1,1.44,2.01,57.8,1.99
2025,③順位学習NDCG@5+調教,47.7,27.1,1.44,2.01,57.8,1.99
2025,"③順位学習NDCG@3,5+調教",47.7,27.1,1.44,2.01,57.8,1.99
