構成,レース数,上位3印に2頭,全5印に3頭,一位の勝率,一位の複勝率,一位平均人気,下2印が絡む率,上位3印平均,全5印平均
現行印（MFのscore順）,3039,50.7,28.9,27.9,62.8,1.92,50.3,1.5,2.06
人気順（市場のみ）,3039,56.0,35.4,32.2,64.1,1.0,53.4,1.58,2.17
混合 モデル0%／市場100%,3039,56.0,35.4,32.2,64.1,1.0,53.4,1.58,2.17
混合 モデル20%／市場80%,3039,56.1,35.1,32.1,64.0,1.04,52.7,1.58,2.17
混合 モデル30%／市場70%,3039,55.9,34.9,32.2,64.5,1.1,52.8,1.58,2.17
混合 モデル40%／市場60%,3039,55.6,34.2,31.6,63.8,1.19,52.3,1.57,2.16
混合 モデル50%／市場50%,3039,55.4,33.0,31.1,63.8,1.31,51.4,1.57,2.14
混合 モデル60%／市場40%,3039,54.9,32.4,30.1,63.2,1.43,50.6,1.56,2.13
混合 モデル70%／市場30%,3039,52.7,30.4,29.1,62.9,1.63,50.8,1.53,2.1
混合 モデル80%／市場20%,3039,51.5,29.5,28.2,62.8,1.8,51.1,1.5,2.08
混合 モデル100%／市場0%,3039,50.7,28.9,27.9,62.8,1.92,50.3,1.5,2.06
神の目（着順そのもの）,3039,100.0,100.0,100.0,100.0,3.34,0.3,3.0,3.0
