対象,EV上位,EV下位,R数,ROI中央,95%下限,最低年,年R数
全体,1.7,2.2,917,86.5,69.9,57.2,183.0
全体,1.7,2.6,641,85.8,64.4,50.5,128.0
全体,1.7,3.0,515,82.0,51.6,41.5,103.0
全体,1.7,3.4,454,79.0,55.4,39.6,91.0
全体,1.9,2.2,819,86.8,67.1,54.8,164.0
全体,1.9,2.6,539,87.1,61.0,47.4,108.0
全体,1.9,3.0,412,83.7,55.6,45.8,82.0
全体,1.9,3.4,356,77.5,57.0,36.9,71.0
全体,2.1,2.2,748,88.3,58.1,55.1,150.0
全体,2.1,2.6,471,88.2,59.6,45.7,94.0
全体,2.1,3.0,332,83.5,55.9,36.4,66.0
全体,2.1,3.4,279,81.6,47.5,34.9,56.0
全体,2.3,2.2,692,84.5,57.4,47.8,138.0
全体,2.3,2.6,406,85.0,49.3,39.0,81.0
全体,2.3,3.0,277,80.2,47.5,30.6,55.0
全体,2.3,3.4,225,74.9,34.9,23.1,45.0
全体,2.5,2.2,642,86.1,57.6,50.9,128.0
全体,2.5,2.6,363,83.8,56.6,36.0,73.0
全体,2.5,3.0,232,85.0,31.8,24.2,46.0
全体,2.5,3.4,179,69.6,33.3,10.5,36.0
芝のみ,1.7,2.2,493,97.6,70.4,48.1,99.0
芝のみ,1.7,2.6,347,97.9,67.6,21.9,70.0
芝のみ,1.7,3.0,277,92.2,56.2,3.5,55.0
芝のみ,1.7,3.4,247,84.3,49.1,0.0,50.0
芝のみ,1.9,2.2,440,102.4,69.5,44.1,88.0
芝のみ,1.9,2.6,293,99.5,64.2,22.2,59.0
芝のみ,1.9,3.0,220,92.9,48.8,0.0,44.0
芝のみ,1.9,3.4,196,80.5,53.2,0.0,39.0
芝のみ,2.1,2.2,404,97.9,66.0,38.9,81.0
芝のみ,2.1,2.6,252,101.6,56.9,25.6,50.0
芝のみ,2.1,3.0,186,86.2,44.2,0.0,37.0
芝のみ,2.1,3.4,150,80.7,41.4,0.0,30.0
芝のみ,2.3,2.2,368,101.3,71.6,42.7,74.0
芝のみ,2.3,2.6,217,93.9,50.7,19.8,43.0
芝のみ,2.3,3.0,151,98.7,44.0,0.0,30.0
芝のみ,2.3,3.4,120,81.6,36.2,0.0,24.0
芝のみ,2.5,2.2,351,103.7,65.9,44.2,70.0
芝のみ,2.5,2.6,197,109.5,52.8,24.5,39.0
芝のみ,2.5,3.0,129,95.2,50.7,0.0,26.0
芝のみ,2.5,3.4,98,81.4,30.9,0.0,20.0
