構成,券種,R24,R25,ROI24,ROI25,最低年,的中
1位はEV≥1.5 / 2-5位はEV≥2.5,単勝,178,222,108.0,109.7,108.0,9.4
乖離≥3・20倍以下・EV≥1.5・勝率≥0.15,単勝,231,271,103.8,101.7,101.7,9.5
EV≥2.5,単勝,89,131,98.1,127.6,98.1,7.0
EV≥2.2,単勝,167,200,98.1,117.3,98.1,7.5
乖離≥3・20倍以下・ケリー≥0.08,単勝,253,296,96.1,112.9,96.1,9.0
乖離≥3・20倍以下・ケリー≥0.12,単勝,97,149,94.7,113.8,94.7,10.3
モデル5位以内・20倍以下・EV≥1.5,単勝,511,527,96.9,92.4,92.4,7.8
1位はEV≥1.5 / 2-5位はEV≥2.0,単勝,303,329,92.4,100.3,92.4,7.9
EV≥1.8,単勝,336,352,92.1,98.2,92.1,7.4
乖離≥3・20倍以下・EV≥1.5・勝率≥0.08,単勝,511,528,96.7,91.9,91.9,7.8
乖離≥3・EV≥1.5・20倍以下,単勝,514,529,96.0,91.7,91.7,7.8
EV≥2.0,単勝,248,277,91.7,105.7,91.7,7.2
EV≥1.5,単勝,514,529,96.0,91.7,91.7,7.8
EV≥1.7,単勝,395,415,91.8,90.2,90.2,7.4
モデル3位以内・20倍以下・EV≥1.5,単勝,427,443,95.9,89.6,89.6,7.9
EV≥1.4,単勝,576,618,88.9,92.9,88.9,7.7
乖離≥3・EV≥1.5・40倍以下,単勝,1065,1148,88.5,97.2,88.5,5.9
EV≥1.3,単勝,631,674,87.8,91.3,87.8,7.9
乖離≥3・20倍以下・EV≥1.5・勝率≥0.12,単勝,381,401,100.0,86.9,86.9,8.2
EV≥1.6,単勝,447,478,92.6,84.9,84.9,7.2
乖離≥3・20倍以下・ケリー≥0.03,単勝,622,642,84.7,93.0,84.7,8.1
乖離≥3・EV≥1.5・10倍以下,単勝,89,89,84.7,118.6,84.7,12.9
乖離≥3・20倍以下・ケリー≥0.05,単勝,468,488,90.4,84.0,84.0,7.8
1位はEV≥1.3 / 2-5位はEV≥1.8,単勝,404,422,83.2,98.9,83.2,7.8
乖離≥3・20倍以下・ケリー≥0.02,単勝,699,721,82.9,90.8,82.9,8.0
1位はEV≥1.2 / 2-5位はEV≥2.0,単勝,353,385,82.8,100.8,82.8,8.1
乖離≥3・20倍以下・EV≥1.5・勝率≥0.10,単勝,465,483,100.3,81.5,81.5,7.7
乖離≥3・EV≥1.5・15倍以下,単勝,285,305,92.2,81.0,81.0,8.6
EV≥1.2+2.0×(0.2-複勝確率),単勝,688,735,80.8,88.9,80.8,7.6
EV≥1.2+1.0×(0.2-複勝確率),単勝,689,736,80.7,88.6,80.7,7.6
EV≥1.2,単勝,690,736,80.6,88.6,80.6,7.6
EV≥1.2+0.0×(0.2-複勝確率),単勝,690,736,80.6,88.6,80.6,7.6
EV≥1.2+0.5×(0.2-複勝確率),単勝,690,736,80.6,88.6,80.6,7.6
乖離≥3・20倍以下・ケリー≥0.01,単勝,752,792,79.9,83.3,79.9,7.7
乖離≥3・EV≥1.5・25倍以下,単勝,669,720,87.3,79.5,79.5,6.6
乖離≥3・EV≥1.5・30倍以下,単勝,811,885,78.4,88.3,78.4,6.2
モデル2位以内・20倍以下・EV≥1.5,単勝,270,297,100.5,78.2,78.2,8.5
複勝 ★【現行】,複勝,270,271,78.0,91.7,78.0,34.9
モデル1位以内・20倍以下・EV≥1.5,単勝,111,128,112.3,73.1,73.1,10.1
