軸と相手,券種,点数,的中,的中率,回収率
EV軸 × 人気上位3,単勝,248,15,6.05,78.8
EV軸 × 人気上位3,複勝,248,62,25.0,74.8
EV軸 × 人気上位3,馬連,735,36,4.9,112.8
EV軸 × 人気上位3,馬単,735,9,1.22,76.6
EV軸 × 人気上位3,ワイド,735,79,10.75,81.5
EV軸 × 人気上位3,3連複,726,21,2.89,72.7
EV軸 × 人気上位3,3連単,1452,4,0.28,56.4
EV軸 × 人気上位5,単勝,248,15,6.05,78.8
EV軸 × 人気上位5,複勝,248,62,25.0,74.8
EV軸 × 人気上位5,馬連,1144,38,3.32,82.0
EV軸 × 人気上位5,馬単,1144,9,0.79,49.2
EV軸 × 人気上位5,ワイド,1144,89,7.78,65.6
EV軸 × 人気上位5,3連複,2101,30,1.43,48.4
EV軸 × 人気上位5,3連単,4202,8,0.19,60.2
EV軸 × MF複勝上位3,単勝,248,15,6.05,78.8
EV軸 × MF複勝上位3,複勝,248,62,25.0,74.8
EV軸 × MF複勝上位3,馬連,512,23,4.49,105.7
EV軸 × MF複勝上位3,馬単,512,7,1.37,93.8
EV軸 × MF複勝上位3,ワイド,512,56,10.94,85.3
EV軸 × MF複勝上位3,3連複,280,9,3.21,78.5
EV軸 × MF複勝上位3,3連単,560,3,0.54,118.5
EV軸 × 評価上位3,単勝,248,15,6.05,78.8
EV軸 × 評価上位3,複勝,248,62,25.0,74.8
EV軸 × 評価上位3,馬連,507,26,5.13,119.8
EV軸 × 評価上位3,馬単,507,8,1.58,111.2
EV軸 × 評価上位3,ワイド,507,57,11.24,85.0
EV軸 × 評価上位3,3連複,270,7,2.59,51.6
EV軸 × 評価上位3,3連単,540,2,0.37,83.1
★かつMF1位 × 人気上位3,単勝,295,26,8.81,69.4
★かつMF1位 × 人気上位3,複勝,295,100,33.9,81.2
★かつMF1位 × 人気上位3,馬連,876,40,4.57,85.0
★かつMF1位 × 人気上位3,馬単,876,13,1.48,56.6
★かつMF1位 × 人気上位3,ワイド,876,113,12.9,85.6
★かつMF1位 × 人気上位3,3連複,867,28,3.23,74.4
★かつMF1位 × 人気上位3,3連単,1734,6,0.35,57.2
★かつA以上 × 人気上位3,単勝,457,40,8.75,82.9
★かつA以上 × 人気上位3,複勝,457,140,30.63,81.4
★かつA以上 × 人気上位3,馬連,1360,66,4.85,96.5
★かつA以上 × 人気上位3,馬単,1360,23,1.69,81.6
★かつA以上 × 人気上位3,ワイド,1360,157,11.54,77.7
★かつA以上 × 人気上位3,3連複,1349,37,2.74,59.7
★かつA以上 × 人気上位3,3連単,2698,10,0.37,75.3
★かつS以上 × 人気上位3,単勝,139,14,10.07,87.6
★かつS以上 × 人気上位3,複勝,139,42,30.22,67.0
★かつS以上 × 人気上位3,馬連,412,17,4.13,77.8
★かつS以上 × 人気上位3,馬単,412,8,1.94,96.7
★かつS以上 × 人気上位3,ワイド,412,50,12.14,66.4
★かつS以上 × 人気上位3,3連複,407,13,3.19,47.2
★かつS以上 × 人気上位3,3連単,814,4,0.49,91.6
