券種,構成,レース数,点数,点数per,的中率,回収率,CI下,CI上
馬連,★◎軸 - モデル上位2,319,638,2.0,12.5,154.3,82.8,259.8
馬連,★◎○軸 - モデル上位2,664,1368,2.1,11.3,131.8,89.2,188.0
馬連,★◎○▲軸 - モデル上位2,892,1902,2.1,11.2,126.9,92.9,167.7
馬連,★◎軸 - モデル上位3,319,957,3.0,15.0,124.1,73.0,197.0
馬単,★◎○▲軸 - モデル上位2,892,2022,2.3,4.7,122.6,83.4,169.3
馬単,★◎○軸 - モデル上位2,664,1408,2.1,4.8,120.4,74.2,171.0
ワイド,★◎軸 - モデル上位2,319,638,2.0,29.8,118.5,93.7,148.1
ワイド,★◎○軸 - モデル上位2,664,1368,2.1,26.4,117.6,95.4,142.8
ワイド,★◎軸 - モデル上位3,319,957,3.0,35.7,115.8,93.9,141.5
ワイド,★◎軸 - モデル上位5,319,1595,5.0,41.7,112.5,92.9,133.0
馬連,★◎軸 - モデル上位5,319,1595,5.0,21.3,112.2,76.7,161.2
ワイド,★◎○▲軸 - モデル上位2,892,1902,2.1,25.1,109.7,92.5,128.8
ワイド,★◎○軸 - モデル上位3,664,2072,3.1,30.3,108.0,89.8,126.2
馬連,★◎○軸 - モデル上位3,664,2072,3.1,13.3,103.9,73.0,142.3
ワイド,★◎○▲軸 - モデル上位3,892,2913,3.3,29.3,102.0,86.8,117.6
ワイド,1着=★◎○▲ × 2着=モデル上位3,892,2913,3.3,29.3,102.0,87.9,117.8
馬連,◎軸 - モデル2〜3位(2点),3039,6078,2.0,22.2,100.2,87.9,114.7
馬単,★◎○軸 - モデル上位3,664,2112,3.2,5.9,99.7,65.8,137.9
馬連,1着=★◎○▲ × 2着=モデル上位3,892,2913,3.3,13.0,99.3,74.3,128.6
馬連,★◎○▲軸 - モデル上位3,892,2913,3.3,13.0,99.3,74.7,128.8
ワイド,★◎○軸 - モデル上位5,664,3480,5.2,35.8,98.7,85.4,112.9
馬単,★◎軸 - モデル上位2,319,638,2.0,4.4,97.6,51.3,154.1
ワイド,◎軸 - モデル2〜3位(2点),3039,6078,2.0,42.8,95.4,89.6,101.3
馬単,★◎○▲軸 - モデル上位3,892,3033,3.4,5.5,95.3,65.8,127.8
馬単,1着=★◎○▲ × 2着=モデル上位3,892,3033,3.4,5.5,95.3,64.1,129.1
ワイド,モデル上位2頭BOX,3039,3039,1.0,27.7,95.0,87.6,103.2
馬連,★◎○軸 - モデル上位5,664,3480,5.2,18.4,95.0,73.2,120.8
馬連,モデル上位2頭BOX,3039,3039,1.0,13.2,94.8,82.7,107.0
ワイド,★◎○▲軸 - モデル上位5,892,4935,5.5,34.2,94.2,82.6,106.5
ワイド,1着=★◎○▲ × 2着=モデル上位5,892,4935,5.5,34.2,94.2,83.3,106.4
馬連,1着=★◎○▲ × 2着=モデル上位5,892,4935,5.5,18.0,93.9,75.2,114.7
馬連,★◎○▲軸 - モデル上位5,892,4935,5.5,18.0,93.9,76.0,116.4
ワイド,◎軸 - モデル2〜5位(4点),3039,12156,4.0,55.5,92.0,87.1,96.6
ワイド,◎軸 - モデル2〜4位(3点),3039,9117,3.0,50.4,92.0,87.1,97.3
ワイド,1着=上位1頭 × 2着=上位4頭,3039,9117,3.0,50.4,92.0,86.9,97.3
ワイド,◎軸 - 人気上位3(3点),3039,9117,3.0,53.7,91.5,87.2,95.9
馬連,モデル上位3頭BOX,3039,9117,3.0,27.5,91.3,81.7,102.7
馬単,モデル上位2頭BOX,3039,6078,2.0,13.2,91.3,79.1,104.6
ワイド,1着=上位1頭 × 2着=上位6頭,3039,15195,5.0,58.5,91.2,86.6,95.8
ワイド,モデル上位3頭BOX,3039,9117,3.0,50.7,91.2,86.0,97.3
ワイド,◎軸 - モデル2〜9位(8点),3039,24198,8.0,62.1,91.1,86.8,95.6
ワイド,◎軸 - モデル2〜7位(6点),3039,18234,6.0,60.3,90.2,86.0,94.6
ワイド,◎軸 - 人気上位6(6点),3039,18234,6.0,60.9,89.8,85.9,93.6
馬連,◎軸 - モデル2〜4位(3点),3039,9117,3.0,27.6,89.5,80.3,100.0
馬連,1着=上位1頭 × 2着=上位4頭,3039,9117,3.0,27.6,89.5,80.1,100.0
馬連,◎軸 - モデル2〜5位(4点),3039,12156,4.0,32.6,88.9,80.6,98.5
ワイド,1着=上位2頭 × 2着=上位5頭,3039,21273,7.0,71.3,87.5,83.4,91.9
馬単,モデル上位3頭BOX,3039,18234,6.0,27.5,87.1,77.4,97.4
馬単,1着=★◎○▲ × 2着=モデル上位5,892,5055,5.7,7.6,86.9,63.6,112.8
馬単,★◎○▲軸 - モデル上位5,892,5055,5.7,7.6,86.9,64.4,111.8
馬連,1着=上位1頭 × 2着=上位6頭,3039,15195,5.0,36.5,86.2,78.8,94.2
馬連,◎軸 - モデル2〜7位(6点),3039,18234,6.0,39.5,86.1,78.8,93.4
馬連,◎軸 - 人気上位3(3点),3039,9117,3.0,30.9,85.7,79.2,91.7
ワイド,1着=上位2頭 × 2着=上位7頭,3039,33429,11.0,78.7,85.5,82.4,88.9
馬連,◎軸 - モデル2〜9位(8点),3039,24198,8.0,43.8,85.2,78.0,92.3
馬連,◎軸 - 人気上位6(6点),3039,18234,6.0,41.7,85.2,79.2,91.2
馬単,★◎○軸 - モデル上位5,664,3520,5.3,8.0,84.9,59.3,113.2
馬単,★◎軸 - モデル上位3,319,957,3.0,5.6,83.9,47.3,125.8
ワイド,1着=上位3頭 × 2着=上位8頭,3039,54702,18.0,88.9,83.8,80.6,86.9
馬連,1着=上位2頭 × 2着=上位5頭,3039,21273,7.0,44.7,83.5,76.9,90.3
ワイド,1着=上位3頭 × 2着=上位6頭,3039,36468,12.0,83.1,83.5,80.0,86.8
ワイド,モデル上位4頭BOX,3039,18234,6.0,66.3,83.5,79.3,87.7
馬連,1着=上位2頭 × 2着=上位7頭,3039,33429,11.0,56.0,82.7,76.9,88.4
ワイド,モデル上位5頭BOX,3039,30390,10.0,78.5,82.7,79.0,86.7
馬単,◎軸 - モデル2〜3位(2点),3039,6078,2.0,11.6,81.9,70.6,93.6
馬連,1着=上位3頭 × 2着=上位8頭,3039,54702,18.0,69.4,80.9,75.0,86.9
馬単,◎軸 - 人気上位3(3点),3039,9117,3.0,16.9,80.4,72.2,88.4
馬連,モデル上位4頭BOX,3039,18234,6.0,39.8,80.4,73.9,87.4
馬単,1着=上位3頭 × 2着=上位8頭,3039,63819,21.0,52.5,80.2,73.4,87.6
馬連,モデル上位5頭BOX,3039,30390,10.0,51.5,78.7,73.0,83.9
馬単,モデル上位4頭BOX,3039,36468,12.0,39.8,78.6,72.2,85.7
馬連,1着=上位3頭 × 2着=上位6頭,3039,36468,12.0,58.0,78.5,73.4,84.1
馬単,1着=上位2頭 × 2着=上位5頭,3039,24312,8.0,31.2,78.4,71.7,85.4
馬単,◎軸 - モデル2〜5位(4点),3039,12156,4.0,18.2,78.2,69.2,86.7
馬単,1着=上位2頭 × 2着=上位7頭,3039,36468,12.0,37.7,77.5,70.6,84.1
馬単,◎軸 - 人気上位6(6点),3039,18234,6.0,23.8,77.4,70.5,84.2
馬単,◎軸 - モデル2〜9位(8点),3039,24198,8.0,24.9,77.4,69.0,85.6
馬単,モデル上位5頭BOX,3039,60780,20.0,51.5,77.3,71.9,83.3
馬単,1着=上位3頭 × 2着=上位6頭,3039,45585,15.0,45.7,77.0,71.7,83.0
馬単,◎軸 - モデル2〜7位(6点),3039,18234,6.0,22.2,76.6,69.3,84.2
馬単,1着=上位1頭 × 2着=上位6頭,3039,15195,5.0,20.6,76.2,68.7,84.4
馬単,◎軸 - モデル2〜4位(3点),3039,9117,3.0,14.6,75.0,66.6,84.9
馬単,1着=上位1頭 × 2着=上位4頭,3039,9117,3.0,14.6,75.0,66.2,84.2
馬単,★◎軸 - モデル上位5,319,1595,5.0,7.8,68.3,43.2,97.0
