券種,構成,レース数,的中率,回収率,CI下,トリム1,トリム2,トリム3,プラス期,期中央値
馬連,★◎軸 × 相手2頭,319,12.5,154.3,81.4,111.0,103.0,97.2,6,98.8
馬連,★◎軸 × 相手3頭,319,15.0,124.1,73.0,95.3,87.4,82.1,3,89.0
馬連,★◎軸 × 相手4頭,319,18.8,125.9,80.0,104.4,94.8,88.9,7,102.7
馬連,★◎軸 × 相手5頭,319,21.3,112.2,75.4,95.0,87.4,82.7,5,83.4
馬連,★◎軸 × 相手6頭,319,22.9,105.2,73.9,90.9,84.6,80.8,6,98.3
馬連,★◎○軸 × 相手2頭,664,11.3,131.8,86.6,111.5,104.3,97.8,8,109.9
馬連,★◎○軸 × 相手3頭,664,13.3,103.9,74.0,90.6,85.9,81.6,4,80.2
馬連,★◎○軸 × 相手4頭,664,16.3,103.3,76.8,93.4,89.0,85.5,5,87.1
馬連,★◎○軸 × 相手5頭,664,18.4,95.0,72.9,87.1,83.6,80.9,5,83.1
馬連,★◎○軸 × 相手6頭,664,20.2,99.9,77.3,93.4,88.1,85.2,6,103.6
馬連,★◎○▲軸 × 相手2頭,892,11.2,126.9,92.0,112.3,107.1,102.5,6,99.9
馬連,★◎○▲軸 × 相手3頭,892,13.0,99.3,75.9,89.8,86.5,83.4,4,80.8
馬連,★◎○▲軸 × 相手4頭,892,16.1,102.8,80.5,95.8,92.7,90.1,6,101.7
馬連,★◎○▲軸 × 相手5頭,892,18.0,93.9,76.6,88.4,86.0,84.0,4,93.5
馬連,★◎○▲軸 × 相手6頭,892,19.5,93.7,76.4,89.1,85.4,83.4,5,92.6
馬単,★◎軸 × 相手2頭,319,4.4,97.6,47.3,87.5,77.9,68.8,6,90.0
馬単,★◎軸 × 相手3頭,319,5.6,83.9,49.3,77.3,71.0,64.9,3,72.2
馬単,★◎軸 × 相手4頭,319,7.2,80.3,48.8,75.4,70.7,66.2,2,89.7
馬単,★◎軸 × 相手5頭,319,7.8,68.3,42.1,64.4,60.6,57.1,1,71.8
馬単,★◎軸 × 相手6頭,319,8.5,71.1,44.2,61.3,57.3,54.0,1,69.1
馬単,★◎○軸 × 相手2頭,664,4.8,120.4,77.3,106.4,95.7,91.2,6,102.8
馬単,★◎○軸 × 相手3頭,664,5.9,99.7,68.8,90.3,83.3,79.5,5,88.4
馬単,★◎○軸 × 相手4頭,664,7.4,98.2,69.1,90.7,83.8,78.5,4,85.8
馬単,★◎○軸 × 相手5頭,664,8.0,84.9,59.4,78.9,73.3,69.1,3,72.4
馬単,★◎○軸 × 相手6頭,664,9.2,100.1,70.3,90.7,85.8,81.1,4,89.7
馬単,★◎○▲軸 × 相手2頭,892,4.7,122.6,82.0,112.9,104.1,96.7,5,83.7
馬単,★◎○▲軸 × 相手3頭,892,5.5,95.3,66.7,88.8,83.0,78.0,5,60.4
馬単,★◎○▲軸 × 相手4頭,892,7.1,99.1,72.6,94.0,88.9,84.1,6,99.4
馬単,★◎○▲軸 × 相手5頭,892,7.6,86.9,62.2,82.7,78.7,74.8,5,85.9
馬単,★◎○▲軸 × 相手6頭,892,8.6,95.6,71.6,89.0,85.5,82.2,7,101.5
ワイド,★◎軸 × 相手2頭,319,29.8,118.5,92.6,109.6,105.2,103.0,9,109.2
ワイド,★◎軸 × 相手3頭,319,35.7,115.8,93.4,109.9,106.4,104.2,7,109.2
ワイド,★◎軸 × 相手4頭,319,40.4,115.9,93.9,111.6,107.3,104.5,7,105.4
ワイド,★◎軸 × 相手5頭,319,41.7,112.5,93.6,109.1,105.7,103.6,9,104.9
ワイド,★◎軸 × 相手6頭,319,43.6,111.8,93.1,108.6,105.8,103.5,7,110.7
ワイド,★◎○軸 × 相手2頭,664,26.4,117.6,95.7,109.9,105.7,103.7,9,118.9
ワイド,★◎○軸 × 相手3頭,664,30.3,108.0,90.5,102.9,100.2,97.3,9,108.3
ワイド,★◎○軸 × 相手4頭,664,34.3,103.4,87.7,99.7,97.7,95.6,5,96.2
ワイド,★◎○軸 × 相手5頭,664,35.8,98.7,85.3,95.4,93.8,92.3,6,92.3
ワイド,★◎○軸 × 相手6頭,664,37.2,101.6,88.2,98.9,97.4,96.1,6,98.7
ワイド,★◎○▲軸 × 相手2頭,892,25.1,109.7,93.2,104.1,101.1,99.6,7,109.8
ワイド,★◎○▲軸 × 相手3頭,892,29.3,102.0,88.1,98.4,96.5,94.4,6,104.7
ワイド,★◎○▲軸 × 相手4頭,892,33.0,99.9,87.5,97.2,95.8,94.4,6,93.7
ワイド,★◎○▲軸 × 相手5頭,892,34.2,94.2,83.0,91.8,90.7,89.6,4,91.0
ワイド,★◎○▲軸 × 相手6頭,892,35.7,97.1,85.9,95.1,93.2,92.1,3,91.1
