券種,相手,R数,的中,回収率,CI下,CI上,中央値倍率,p値,判定
馬連,2,319,40,154.3,82.3,261.1,2.76,0.0,正しいが測れない
馬連,3,319,48,124.1,72.4,198.8,2.66,0.0,正しいが測れない
馬連,4,319,60,125.9,80.4,185.4,2.55,0.0,正しいが測れない
馬連,5,319,68,112.2,75.8,161.4,2.41,0.0,正しいが測れない
馬単,2,319,14,97.6,48.5,154.3,4.37,0.0,正しいが測れない
馬単,3,319,18,83.9,45.8,125.7,4.22,0.0,正しいが測れない
馬単,4,319,23,80.3,48.6,113.4,3.87,0.0,正しいが測れない
馬単,5,319,25,68.3,43.5,96.4,3.45,0.0,正しいが測れない
ワイド,2,319,126,123.5,102.4,146.8,2.07,0.0,採用可
ワイド,3,319,170,121.2,102.1,141.7,2.02,0.0,採用可
ワイド,4,319,201,117.8,99.6,137.0,2.0,0.0,正しいが測れない
ワイド,5,319,225,116.7,98.6,135.1,2.06,0.0,正しいが測れない
