構成,n,roi,lo,hi
A-1 いまの全特徴量（基準）,8322,131.9718817591925,110.6346431146359,156.77724705599616
A-2 クラス系を除く,8266,115.25042342124365,99.4566598112751,132.66601137188482
A-3 賞金系を除く,8186,127.72294160762277,107.18855362814561,153.4106401172734
A-4 回り系を除く,8121,113.46262775520256,96.77588966876002,131.66897549562862
B-1 単勝＋ワイド（基準）,8322,131.9718817591925,110.93240807498198,156.2343487142514
B-2 単勝のみ,5691,127.51537515375153,106.0726585837287,150.38156738710245
C gap>=1.3,12647,121.2627500593026,107.16541472285917,138.2490709259113
C gap>=1.5,8322,131.9718817591925,111.5494772891132,156.67417688055758
C gap>=1.7,4790,155.6409185803758,120.28053235908142,197.25955114822548
C gap>=2.0,2229,199.650067294751,132.71287572902645,276.88313144908034
D-1 3シード（基準）,8322,131.9718817591925,110.86872146118722,156.7898942561884
D-2 7シード,7450,122.60939597315436,101.64610738255034,147.37791946308724
E rounds=300,6046,141.73337743962952,115.35329143235197,174.6075090969236
E rounds=600,8322,131.9718817591925,110.93928743090603,156.96614395577987
E rounds=1200,11080,111.9187725631769,98.24000451263538,127.0552346570397
