構成,券種,相手,ROI2023,ROI2024,ROI2025,通算,CI下,最低年,的中,R数,平均点数
現行軸 単勝 × 印×人気3,単勝,印×人気3,114.6,114.8,111.5,113.6,87.1,111.5,64,723,1.0
現行軸 複勝 × 印×人気3,複勝,印×人気3,88.6,70.9,77.0,79.4,68.7,70.9,182,723,1.0
現行軸 馬連 × 印×人気3,馬連,印×人気3,82.8,76.3,115.9,92.4,70.4,76.3,73,721,2.4
現行軸 馬連 × 印,馬連,印,102.8,71.3,86.5,88.0,66.6,71.3,86,723,4.0
現行軸 馬連 × 人気3,馬連,人気3,81.9,60.3,115.8,87.3,66.3,60.3,82,723,3.0
現行軸 馬連 × 人気5,馬連,人気5,72.1,56.6,74.4,68.3,53.6,56.6,90,723,4.7
現行軸 馬連 × 評価3,馬連,評価3,135.2,56.9,94.5,98.7,68.5,56.9,57,723,2.1
現行軸 馬連 × MF3,馬連,MF3,97.7,52.5,70.3,75.1,50.0,52.5,47,723,2.1
現行軸 馬単 × 印×人気3,馬単,印×人気3,128.6,118.1,153.1,134.1,95.8,118.1,41,721,2.4
現行軸 馬単 × 印,馬単,印,140.8,97.5,127.7,123.7,85.2,97.5,48,723,4.0
現行軸 馬単 × 人気3,馬単,人気3,111.6,93.4,128.0,112.0,78.7,93.4,42,723,3.0
現行軸 馬単 × 人気5,馬単,人気5,101.4,89.4,82.3,91.3,64.3,82.3,47,723,4.7
現行軸 馬単 × 評価3,馬単,評価3,204.3,104.4,113.6,144.5,89.2,104.4,31,723,2.1
現行軸 馬単 × MF3,馬単,MF3,163.3,109.0,83.5,120.3,72.8,83.5,27,723,2.1
現行軸 ワイド × 印×人気3,ワイド,印×人気3,76.7,63.8,98.3,80.5,67.2,63.8,140,721,2.4
現行軸 ワイド × 印,ワイド,印,96.5,57.0,81.2,79.7,66.6,57.0,164,723,4.0
現行軸 ワイド × 人気3,ワイド,人気3,88.8,62.3,99.8,84.9,71.5,62.3,162,723,3.0
現行軸 ワイド × 人気5,ワイド,人気5,88.6,61.5,75.7,76.3,63.9,61.5,173,723,4.7
現行軸 ワイド × 評価3,ワイド,評価3,111.9,57.3,93.9,89.9,73.1,57.3,130,723,2.1
現行軸 ワイド × MF3,ワイド,MF3,90.0,55.5,86.2,78.5,62.9,55.5,121,723,2.1
現行軸 3連複 × 印×人気3,3連複,印×人気3,55.7,41.8,94.1,65.2,43.3,41.8,38,660,2.0
現行軸 3連複 × 印,3連複,印,87.9,33.0,75.3,67.6,45.1,33.0,63,723,6.0
現行軸 3連複 × 人気3,3連複,人気3,60.6,43.7,115.2,74.5,54.2,43.7,59,723,3.0
現行軸 3連複 × 人気5,3連複,人気5,78.6,41.1,67.9,64.0,47.7,41.1,90,723,8.7
現行軸 3連複 × 評価3,3連複,評価3,133.8,25.7,58.1,78.1,28.1,25.7,19,723,1.2
