条件,構成,頭数,特徴量数,ΔR²
長距離2100+,全特徴（基準）,16375,323,0.00198
長距離2100+,−血統,16375,315,0.00039
長距離2100+,−騎手厩舎,16375,292,0.00155
長距離2100+,−スピード,16375,282,0.00139
長距離2100+,−脚質ペース,16375,279,0.00146
長距離2100+,−距離適性,16375,267,0.00062
長距離2100+,−調教,16375,315,0.00131
短距離-1400,全特徴（基準）,63708,323,0.00025
短距離-1400,−血統,63708,315,0.00013
短距離-1400,−騎手厩舎,63708,292,0.0004
短距離-1400,−スピード,63708,282,0.00026
短距離-1400,−脚質ペース,63708,279,0.0003
短距離-1400,−距離適性,63708,267,0.00013
短距離-1400,−調教,63708,315,0.00027
道悪,全特徴（基準）,19642,323,0.00027
道悪,−血統,19642,315,6e-05
道悪,−騎手厩舎,19642,292,0.00096
道悪,−スピード,19642,282,0.00029
道悪,−脚質ペース,19642,279,0.00073
道悪,−距離適性,19642,267,0.00049
道悪,−調教,19642,315,0.00075
多頭数16+,全特徴（基準）,80803,323,0.00025
多頭数16+,−血統,80803,315,0.00017
多頭数16+,−騎手厩舎,80803,292,0.00032
多頭数16+,−スピード,80803,282,0.00025
多頭数16+,−脚質ペース,80803,279,0.0002
多頭数16+,−距離適性,80803,267,0.00014
多頭数16+,−調教,80803,315,0.00017
