列,重要度%,欠損%,値の種類
大幅延長フラグ,0.0,0.0,2
先行馬フラグ,0.0011452722772127303,0.0,2
距離延長×前走好走,0.0013519960541156417,0.0,2
開催季節,0.0020530313208198046,0.0,4
長距離フラグ,0.0020544231731001094,0.0,2
大幅延長×長距離,0.0021419040366879014,0.0,2
重賞出走フラグ,0.0022430877826771175,13.105413105413104,2
連続勝利フラグ,0.002503411061815728,25.132841621064316,2
連闘,0.002916014086336347,13.195397670772401,2
大幅短縮フラグ,0.003726346304417507,0.0,2
前走余力,0.00436854989276346,13.195397670772401,3
休み明け,0.005905711694393708,13.195397670772401,2
連闘×距離短縮,0.006897417578056873,0.0,29
直近5走勝利数,0.0090409211657308,13.195397670772401,6
差し馬×ハイペース想定_R順,0.00980272491913176,0.0,50
距離カテゴリ,0.01024852295561526,0.0,3
距離短縮×前走好走,0.012008714486458606,0.0,2
延長×前走余力,0.012072459178195853,13.195397670772401,50
is_castrated,0.012213835037394646,0.0,2
芝ダート変更,0.012634155365976438,13.105413105413104,2
差し馬×ハイペース想定_R偏差,0.013152177084754961,16.137435409384018,50
連続複勝フラグ,0.013675820185042917,25.132841621064316,2
is_turf,0.014112503801864908,0.0,2
過去重賞出走数,0.01493009089929851,13.105413105413104,30
距離延長幅,0.01534152294411657,13.105413105413104,50
距離延長×先行,0.016232908359706828,0.0,50
坂あり,0.01725111985587243,0.0,2
is_female,0.01867894412561683,0.0,2
距離×クラス_過去勝率,0.02104729176186214,35.93617501540414,54
延長×距離経験不足,0.02158520584053159,13.105413105413104,50
経験範囲超過,0.02309388626029504,13.105413105413104,50
is_male,0.02551369153896371,0.0,2
クラス変化,0.027523630968677562,13.105413105413104,15
直近5走複勝数,0.027682361706923484,13.195397670772401,6
休養明け×距離延長,0.034160085416057515,0.0,50
差し馬×ハイペース想定,0.03741143004381248,0.0,18
回り_num,0.03757685469738513,2.9884026672035238,3
クラス_num,0.03962880622785766,0.0,8
乗り替わり,0.040676718016063165,0.0,2
開催月,0.04217081782473674,0.0,10
枠番,0.046014249423840844,0.0,8
年齢,0.053257150767945495,0.0,11
馬体重_相対_R順,0.05519032775829759,0.1735634497947132,50
馬場状態_num,0.05758577660309395,0.0,4
差し有利コース×差し馬_R順,0.057936582582295025,0.0,50
距離変化,0.05886458859030094,13.195397670772401,50
競馬場過去勝率,0.07084247098405018,46.21515767126046,50
競馬場距離過去勝率,0.07349998289997761,63.22376568629245,53
