特徴量,重要度,重要度%,カテゴリ
馬体重_相対,2348.418226917891,4.856250986213189,馬体・条件
騎手競馬場勝率,2253.420487823553,4.659806903605992,騎手
斤量_相対,2246.158876205766,4.64479075010481,馬体・条件
調教師複勝率,2223.5274478871047,4.5979916344991745,調教師
調教師勝率,2106.5074691253817,4.356008166327033,調教師
騎手複勝率,1976.237686637921,4.086625672004981,騎手
騎手勝率,1810.9112026735347,3.744750067567647,騎手
馬体重,1529.0900653857725,3.161977305798723,馬体・条件
上り偏差,1500.4284357330725,3.1027084474360986,走り・展開
過去平均先行指数,1416.255617583897,2.9286490203442956,走り・展開
距離別過去平均上り,1392.2609193699925,2.879030823921893,距離適性
過去平均体重増減,1389.142988666905,2.872583312197508,馬体・条件
近走改善度,1226.911676800363,2.537108157382122,過去成績
過去最速タイム秒,1189.661349949648,2.460078889583021,走り・展開
直近3走平均タイム秒,1055.297459711501,2.182230264920964,走り・展開
過去平均上り,1043.9830370673315,2.158833377818664,走り・展開
過去平均タイム秒,1043.5724887293907,2.157984412439261,走り・展開
直近3走平均上り,1041.989970897936,2.1547119528357648,走り・展開
距離別過去平均着順,983.0257181539782,2.0327808558714167,距離適性
同距離過去平均着順,982.8947850196324,2.0325101016439513,距離適性
前走間隔,930.0472371743572,1.9232276265716182,その他
前走上り,900.4313270972126,1.8619854292188538,走り・展開
過去最速上り,852.4295072824792,1.762723346280048,走り・展開
斤量×年齢_負担,826.1690097523115,1.708419745001712,馬体・条件
馬番,825.9797578992698,1.7080283945653025,枠・頭数
距離×馬場_過去平均着順,818.7797077279512,1.6931395428503593,距離適性
過去平均着順,809.0238254740357,1.6729655328405941,過去成績
体重増減,800.0552095671028,1.654419496472885,馬体・条件
競馬場過去平均着順,732.3585578388297,1.5144308317833688,過去成績
平均タイム差,656.9982633362824,1.358594660736606,走り・展開
レース内_騎手勝率ランク,650.2982024970971,1.3447397277927902,騎手
出走頭数,584.6727697531948,1.2090340988590962,枠・頭数
直近3走平均着順,558.8507209108669,1.155637157582084,過去成績
レース番号,551.112963303672,1.1396363905209568,その他
レース内_過去平均上りランク,510.8499903867374,1.0563773271673425,走り・展開
競馬場距離過去平均着順,481.1790324750325,0.9950212974069567,距離適性
距離,479.7108693769226,0.9919853098595105,距離適性
競馬場cd,440.90661696385047,0.9117427078858564,コース・馬場
前走着順,433.39780207190705,0.8962153672672523,過去成績
レース内_過去勝率ランク,428.5559882670238,0.8862030692891855,過去成績
過去複勝率,419.6451765307818,0.8677765651060367,過去成績
距離変化,415.0399050975773,0.8582534087606569,距離適性
芝ダート×先行_過去勝率,395.26311184411793,0.8173573406581314,走り・展開
レース内_直近3走平均着順ランク,383.7198137894852,0.793487166291646,過去成績
良馬場勝率,303.8306707118457,0.6282858723263534,過去成績
同距離過去勝率,290.16820188887243,0.6000335035893131,距離適性
過去出走数,287.28132577324374,0.5940637854092611,過去成績
斤量,285.46003456211275,0.5902975707125525,馬体・条件
枠番,284.4962466482054,0.5883045713593004,枠・頭数
過去勝率,205.74288730911096,0.4254519437589736,過去成績
前走距離,186.16618641514174,0.3849696429773494,距離適性
距離×馬場_過去勝率,173.08631540081547,0.3579220175651472,距離適性
重馬場勝率,108.44164312537062,0.22424448521901727,過去成績
競馬場過去勝率,104.52844585736814,0.21615245634862126,過去成績
年齢,101.44200905681369,0.20977007028774977,馬体・条件
開催月,81.18436983435755,0.16787966962367626,季節
競馬場距離過去勝率,76.84119347950032,0.15889849488451824,距離適性
is_turf,68.14643503551922,0.14091876334245634,その他
馬場状態_num,64.70807712689226,0.13380864607572157,コース・馬場
連続複勝フラグ,16.546104139193265,0.03421538532742482,過去成績
is_female,14.022155647927717,0.02899615852643638,その他
is_male,13.02639609088106,0.02693704559863159,その他
距離カテゴリ,12.629130895650244,0.02611554818645226,距離適性
距離延長×前走好走,11.396679253649202,0.023566984036623384,距離適性
is_castrated,6.670335718430579,0.013793464911705492,その他
連続勝利フラグ,6.454072369041255,0.013346257897334799,過去成績
距離短縮×前走好走,5.037011992320967,0.010415944730330012,距離適性
開催季節,4.155540990464099,0.008593167009981733,季節
先行馬フラグ,2.0339205511197753,0.004205907009680191,走り・展開
クラス_num,0.0,0.0,その他
距離×クラス_過去勝率,0.0,0.0,距離適性
