構成,券種,ROI2023,ROI2024,ROI2025,最低年,的中3年,点数,R年平均
1位EV≥1.6 / 2-5位EV≥2.6,単勝,112.4,120.5,110.8,110.8,52,1.0,179
1位EV≥1.7 / 2-5位EV≥2.2,単勝,114.2,112.7,110.2,110.2,65,1.0,241
1位EV≥1.7 / 2-5位EV≥2.6,単勝,108.9,133.6,116.6,108.9,50,1.0,167
1位EV≥1.7 / 2-5位EV≥2.4,単勝,111.5,111.0,107.7,107.7,54,1.0,195
1位EV≥1.5 / 2-5位EV≥2.6,単勝,106.9,117.7,110.2,106.9,55,1.0,191
1位EV≥1.6 / 2-5位EV≥2.2,単勝,116.3,105.3,106.0,105.3,67,1.0,253
1位EV≥1.4 / 2-5位EV≥2.6,単勝,105.1,106.8,110.5,105.1,62,1.0,215
1位EV≥1.6 / 2-5位EV≥2.5,単勝,104.8,109.7,110.2,104.8,53,1.0,193
1位EV≥1.5 / 2-5位EV≥2.2,単勝,112.4,104.3,105.8,104.3,70,1.0,263
1位EV≥1.6 / 2-5位EV≥2.4,単勝,114.3,101.8,102.9,101.8,56,1.0,208
1位EV≥1.7 / 2-5位EV≥2.5,単勝,101.1,120.5,115.6,101.1,51,1.0,180
1位EV≥1.5 / 2-5位EV≥2.4,単勝,109.5,100.7,102.9,100.7,59,1.0,219
1位EV≥1.5 / 2-5位EV≥2.5,単勝,100.0,108.0,109.7,100.0,56,1.0,204
単勝（基準）,単勝,100.0,108.0,109.7,100.0,56,1.0,204
1位EV≥1.4 / 2-5位EV≥2.5,単勝,99.1,98.7,110.1,98.7,63,1.0,228
1位EV≥1.4 / 2-5位EV≥2.2,単勝,110.6,97.5,106.4,97.5,77,1.0,287
1位EV≥1.4 / 2-5位EV≥2.4,単勝,107.7,92.6,103.9,92.6,66,1.0,243
ワイド 軸×人気上位2頭,ワイド,82.1,75.5,112.8,75.5,131,2.0,204
馬単 軸→人気上位3頭,馬単,84.9,74.1,122.8,74.1,35,3.1,204
複勝（軸そのもの）,複勝,81.4,73.6,82.0,73.6,168,1.0,204
複勝 1位比≥1.1 / 2-5位比≥1.4,複勝,82.6,70.9,79.9,70.9,701,1.1,827
複勝 1位比≥1.2 / 2-5位比≥1.8,複勝,82.4,70.6,84.8,70.6,460,1.1,554
複勝 1位比≥1.2 / 2-5位比≥1.5,複勝,83.4,70.5,79.9,70.5,622,1.1,755
複勝 1位比≥1.3 / 2-5位比≥1.6,複勝,83.3,69.0,79.3,69.0,526,1.1,667
ワイド 軸×人気上位3頭,ワイド,76.9,61.0,106.2,61.0,147,3.1,204
ワイド 軸×人気上位4頭,ワイド,71.0,60.8,86.2,60.8,153,4.1,204
馬連 軸×人気上位2頭,馬連,57.3,72.5,154.0,57.3,60,2.0,204
ワイド 軸×モデル上位2頭,ワイド,95.6,57.1,88.9,57.1,110,2.0,204
ワイド 軸×モデル上位3頭,ワイド,91.8,55.1,92.4,55.1,135,3.0,204
馬連 軸×人気上位3頭,馬連,56.3,54.3,117.6,54.3,71,3.1,204
3連複 軸+人気上位3頭から2頭,3連複,57.0,44.3,126.8,44.3,57,3.1,204
