構成,最低年,通算,ROI2023,ROI2024,ROI2025,的中3年,R年平均
1位EV≥1.1 / 2-5位EV≥1.4,82.7,85.2,85.7,87.2,82.7,124,157
1位EV≥1.2 / 2-5位EV≥1.8,82.1,93.8,109.2,85.4,82.1,56,64
1位EV≥1.2 / 2-5位EV≥1.8,75.7,85.8,91.1,75.7,89.8,189,217
EV≥1.0,75.6,80.1,82.3,75.6,81.8,714,834
EV≥1.2,75.3,79.5,81.5,75.3,81.2,701,829
1位EV≥1.0 / 2-5位EV≥1.3,75.2,83.5,86.0,75.2,88.1,180,228
EV≥1.0,74.6,80.5,82.9,74.6,82.8,381,499
EV≥1.3,74.6,79.9,80.9,74.6,83.4,607,741
EV≥1.1,74.3,80.3,80.2,74.3,86.1,604,731
1位EV≥1.0 / 2-5位EV≥1.3,73.9,80.7,84.3,73.9,83.0,690,793
EV≥1.2,73.7,80.8,81.3,73.7,86.5,474,603
EV≥1.3,73.6,79.0,79.8,73.6,83.0,352,478
EV≥1.1,72.8,78.9,82.7,72.8,80.5,774,896
1位EV≥1.2 / 2-5位EV≥1.5,72.4,84.5,98.2,72.4,77.5,69,92
1位EV≥1.0 / 2-5位EV≥1.3,72.4,80.2,82.7,72.4,84.3,463,562
EV≥1.0,72.2,79.3,83.3,72.2,81.8,832,935
1位EV≥1.2 / 2-5位EV≥1.5,72.0,80.3,82.7,72.0,85.1,262,338
1位EV≥1.2 / 2-5位EV≥1.8,71.9,81.4,84.2,71.9,86.8,357,421
1位EV≥1.1 / 2-5位EV≥1.4,71.7,80.9,84.4,71.7,85.4,602,711
EV≥1.5,71.4,81.1,81.3,71.4,89.3,413,542
1位EV≥1.1 / 2-5位EV≥1.4,71.0,81.3,83.9,71.0,87.5,360,448
1位EV≥1.2 / 2-5位EV≥1.5,71.0,81.5,82.8,71.0,89.2,504,611
EV≥1.1,69.1,79.1,81.6,69.1,85.0,253,352
EV≥1.5,65.7,74.4,78.1,65.7,77.7,170,266
EV≥1.2,61.4,79.4,88.3,61.4,83.1,152,226
EV≥1.3,59.1,71.3,78.7,59.1,72.8,79,143
EV≥1.5,49.2,56.5,63.3,49.2,53.2,20,48
