構成,最低年,ROI2023,ROI2024,ROI2025,的中3年,R年平均
1位EV≥1.1 / 2-5位EV≥1.45,76.7,78.2,76.7,81.4,225,264
1位EV≥1.05 / 2-5位EV≥1.45,76.2,79.7,76.2,80.9,246,284
複勝 EV≥1.05,75.8,78.5,75.8,82.7,553,661
1位EV≥0.95 / 2-5位EV≥1.45,75.2,79.7,75.2,85.7,293,324
1位EV≥1.0 / 2-5位EV≥1.45,74.9,80.4,74.9,83.4,268,302
1位EV≥1.1 / 2-5位EV≥1.35,74.2,79.6,74.2,83.8,287,342
1位EV≥1.05 / 2-5位EV≥1.35,73.9,80.7,73.9,83.3,308,361
1位EV≥0.95 / 2-5位EV≥1.35,73.4,80.6,73.4,86.8,355,400
1位EV≥1.0 / 2-5位EV≥1.35,73.0,81.2,73.0,85.1,330,379
複勝 EV≥1.00,72.3,78.6,72.3,81.4,605,727
複勝 EV≥1.10,71.7,78.3,71.7,80.2,470,579
1位EV≥1.1 / 2-5位EV≥1.15,71.4,78.1,71.4,80.1,418,521
1位EV≥1.05 / 2-5位EV≥1.15,71.3,78.9,71.3,79.9,439,538
1位EV≥0.95 / 2-5位EV≥1.15,71.2,78.9,71.2,82.5,484,574
1位EV≥1.0 / 2-5位EV≥1.15,70.8,79.3,70.8,81.2,461,554
複勝 EV≥1.15,70.3,77.6,70.3,79.4,395,505
単勝EV基準(1.7/2.2)の馬を複勝で,69.6,87.2,69.6,76.1,183,241
複勝 EV≥1.30,68.7,81.5,68.7,83.8,239,310
複勝 EV≥1.20,68.5,80.1,68.5,79.8,340,435
1位EV≥0.95 / 2-5位EV≥1.25,68.3,83.4,68.3,80.4,404,473
1位EV≥1.05 / 2-5位EV≥1.25,68.0,83.6,68.0,76.9,358,436
1位EV≥1.1 / 2-5位EV≥1.25,68.0,83.0,68.0,77.0,337,418
1位EV≥1.0 / 2-5位EV≥1.25,67.6,84.0,67.6,78.7,380,453
