定義,R数,的中率,回収率,CI下,配当中央値
順位差≥2 かつ 比率≥3.0,185,51.9,154.4,127.4,560
比率≥3.0 & 20倍以下 & MF1位,207,53.1,150.2,125.0,540
順位差≥3 かつ 比率≥3.0,139,46.8,148.2,116.0,675
比率≥2.5 & 20倍以下 & MF1位,335,50.4,133.1,115.2,520
比率≥3.0 & 20倍以下（順位不問）,305,45.6,128.2,108.3,550
順位差≥3 かつ 比率≥2.0,250,42.4,126.5,104.1,625
順位差≥3 & 20倍以下 & MF1位,319,40.8,121.2,102.4,625
比率≥2.0 & 20倍以下 & MF1位,607,50.1,118.2,106.2,440
順位差≥4 & 20倍以下 & MF1位,167,35.9,116.0,88.6,700
順位差≥2 & 20倍以下 & MF1位,632,41.9,108.8,96.5,510
比率≥1.5 & 20倍以下 & MF1位,1215,51.3,106.7,99.1,390
比率≥2.0 & 20倍以下（順位不問）,1082,43.1,103.6,93.9,490
