テスト年,種別,条件,頭数,勝率,連対,複勝,平均点,回収率,的中率
2024,grade,S,3431,30.3,49.6,63.6,1.44,,
2024,grade,A,3437,16.4,32.1,44.9,0.93,,
2024,grade,B,4632,11.0,23.6,35.4,0.7,,
2024,grade,C,8224,6.5,14.5,23.1,0.44,,
2024,grade,D,22219,1.9,4.8,8.8,0.16,,
2024,filter,現行,220,,,,,116.3,9.1
2024,filter,C以上,220,,,,,116.3,9.1
2024,filter,B以上,216,,,,,118.4,9.3
2024,filter,A以上,162,,,,,140.7,11.1
2024,filter,S以上,67,,,,,126.4,11.9
2025,grade,S,3591,28.0,47.7,61.2,1.37,,
2025,grade,A,3663,15.1,30.3,42.7,0.88,,
2025,grade,B,4685,11.2,22.1,32.8,0.66,,
2025,grade,C,7977,7.0,14.7,24.1,0.46,,
2025,grade,D,23619,2.2,5.4,9.4,0.17,,
2025,filter,現行,271,,,,,81.1,6.3
2025,filter,C以上,271,,,,,81.1,6.3
2025,filter,B以上,265,,,,,75.6,6.0
2025,filter,A以上,200,,,,,83.4,7.0
2025,filter,S以上,95,,,,,102.9,9.5
