name,点数,的中,5年ROI,直近2年点数,直近2年的中,直近2年ROI,CI下,CI上,7分前ROI,影響pt,買うR数,1R点数,y2021,y2022,y2023,y2024,y2025,100超年
軸 1-3倍,81,5,75.3,29,1,36.9,0.0,110.7,13.7,-23.2,81,1.0,47.1,159.0,70.0,0.0,71.3,1
軸 1-5倍,758,30,114.1,297,7,69.5,15.7,139.2,73.6,4.1,758,1.0,75.4,124.9,234.6,65.7,73.2,2
軸 1-7倍,1240,51,132.2,483,18,121.6,58.7,195.1,95.6,-26.0,1240,1.0,121.7,114.5,183.6,107.8,134.3,5
軸 1-10倍,1525,52,110.0,570,18,103.0,50.6,163.7,108.0,5.0,1525,1.0,96.5,103.3,143.0,90.3,115.0,3
軸 1-15倍,1677,54,103.7,619,20,104.8,54.6,165.7,103.0,-1.7,1677,1.0,85.1,93.0,132.4,85.1,122.6,2
軸 1-20倍,1735,54,100.2,637,20,101.8,52.7,163.7,101.3,-0.5,1735,1.0,81.0,91.1,126.7,82.3,119.6,2
軸 1-30倍,1768,54,98.3,643,20,100.9,48.0,165.2,100.0,-0.9,1768,1.0,79.0,88.8,123.9,82.3,117.5,2
軸 1-40倍,1782,54,97.6,647,20,100.2,53.3,160.7,99.8,-0.5,1782,1.0,78.0,88.1,123.2,81.8,116.8,2
軸 1-60倍,1796,54,96.8,650,20,99.8,50.8,157.6,99.5,-0.3,1796,1.0,77.1,87.3,122.2,81.5,116.2,2
軸 1-∞倍,1802,54,96.5,653,20,99.3,52.5,157.5,99.3,0.0,1802,1.0,76.9,86.8,122.2,81.0,115.8,2
軸1-10倍 + 相手40倍以下,1507,52,111.3,564,18,104.1,49.9,172.0,105.7,1.6,1507,1.0,97.5,104.5,145.3,91.3,116.2,3
軸1-10倍 + 相手20倍以下,1437,50,97.4,534,18,110.0,51.8,179.0,110.4,0.5,1437,1.0,101.6,108.3,57.9,94.8,124.8,3
