日付,race_id,馬番,馬名,jyo,race_no,距離,馬場,馬場状態,クラス,推奨ランク,妙味,妙味軸,乖離,買い指数,購入推奨,人気,単勝オッズ,勝ち確率,連対確率,複勝確率,3着内確率,単勝期待値,MF予測順位,MF勝ち確率,MF複勝率,MF複勝順位,予測順位,連対順位,複勝順位,能力_勝負,能力_安定,能力_末脚,能力_先行,能力_距離,能力_実績,着順,単勝,複勝,model版,MF版,較正版,1着,2着内,3着内,確定単勝オッズ,確定人気,オッズ変化率
2026-08-09,202604020601,6,アオイノリプー,新潟,1,2000,芝,良,未勝利,,,,-10.0,40,見送り,4.0,8.0,0.0399002731521874,0.0712599938577065,0.0878533161155287,0.0878533161155287,-0.6807978147825005,7.0,0.0399002731521874,0.051353226925746,14.0,4,4.0,5.0,59.0,25.0,,,,,8.0,,,2026-08-03,2026-08-04,2026-08-04,0,0,0,,,
2026-08-09,202604020601,10,ウィモウェ,新潟,1,2000,芝,良,未勝利,,,,0.0,40,見送り,7.0,38.9,0.0236327667881249,0.0849539551993749,0.1367256243637733,0.1367256243637733,-0.0806853719419395,10.0,0.0236327667881249,0.0799207397622192,7.0,7,7.0,7.0,38.0,59.0,27.0,77.0,63.0,53.0,9.0,,,2026-08-03,2026-08-04,2026-08-04,0,0,0,,,
2026-08-09,202604020601,2,エイシンウルクンデ,新潟,1,2000,芝,良,未勝利,▲,,,6.0,40,見送り,9.0,43.5,0.1185154809828464,0.2717236286148581,0.3617215953848466,0.3617215953848466,4.15542342275382,4.0,0.1185154809828464,0.2114384748700173,3.0,9,9.0,9.0,84.0,88.0,13.0,7.0,87.0,53.0,13.0,,,2026-08-03,2026-08-04,2026-08-04,0,0,0,,,
2026-08-09,202604020601,1,エクスマキナ,新潟,1,2000,芝,良,未勝利,○,★,,3.0,40,見送り,5.0,12.2,0.1185154809828464,0.1973034611367724,0.3748653571724994,0.3748653571724994,0.4458888679907264,3.0,0.1185154809828464,0.2191214470284237,2.0,5,5.0,4.0,84.0,94.0,57.0,40.0,97.0,53.0,4.0,,,2026-08-03,2026-08-04,2026-08-04,0,0,0,,,
2026-08-09,202604020601,7,コスモフラムオット,新潟,1,2000,芝,良,未勝利,,,,3.0,40,見送り,14.0,95.6,0.0399002731521874,0.0828369519876122,0.1147976681873214,0.1147976681873214,2.81446611334912,9.0,0.0399002731521874,0.0671031096563011,11.0,13,13.0,13.0,59.0,38.0,73.0,100.0,37.0,53.0,11.0,,,2026-08-03,2026-08-04,2026-08-04,0,0,0,,,
2026-08-09,202604020601,16,コスモモノポリー,新潟,1,2000,芝,良,未勝利,,,,-3.0,40,見送り,13.0,89.2,0.0088888310322418,0.0199867254976055,0.0199867254976055,0.0199867254976055,-0.2071162719240292,16.0,0.0088888310322418,0.010062893081761,16.0,14,14.0,15.0,9.0,6.0,7.0,63.0,7.0,53.0,15.0,,,2026-08-03,2026-08-04,2026-08-04,0,0,0,,,
2026-08-09,202604020601,11,シアルナーレ,新潟,1,2000,芝,良,未勝利,△,,,-2.0,40,見送り,2.0,6.2,0.160401540115033,0.2157207725604694,0.3144048628746576,0.3144048628746576,-0.0055104512867949,2.0,0.160401540115033,0.1837802485284499,4.0,3,2.0,1.0,94.0,81.0,87.0,40.0,63.0,53.0,2.0,,210.0,2026-08-03,2026-08-04,2026-08-04,0,1,1,,,
2026-08-09,202604020601,13,スーパーユタカ,新潟,1,2000,芝,良,未勝利,◎,,,2.0,40,見送り,3.0,6.6,0.266108773757144,0.376163454425624,0.6285069467961775,0.6285069467961775,0.7563179067971502,1.0,0.266108773757144,0.3673835125448028,1.0,2,3.0,3.0,100.0,100.0,80.0,17.0,97.0,53.0,5.0,,,2026-08-03,2026-08-04,2026-08-04,0,0,0,,,
2026-08-09,202604020601,9,セイウンオオゾラ,新潟,1,2000,芝,良,未勝利,×,,,2.0,40,見送り,8.0,39.2,0.0399002731521874,0.1447408252384438,0.1611921035841748,0.1611921035841748,0.5640907075657482,6.0,0.0399002731521874,0.0942222222222222,6.0,8,8.0,8.0,59.0,69.0,93.0,63.0,37.0,53.0,6.0,,,2026-08-03,2026-08-04,2026-08-04,0,0,0,,,
2026-08-09,202604020601,3,セレスタイト,新潟,1,2000,芝,良,未勝利,,,,4.0,40,見送り,12.0,69.8,0.0399002731521874,0.0981350221756703,0.1367256243637733,0.1367256243637733,1.785039066022684,8.0,0.0399002731521874,0.0799207397622192,8.0,12,12.0,12.0,59.0,59.0,20.0,27.0,37.0,53.0,7.0,,,2026-08-03,2026-08-04,2026-08-04,0,0,0,,,
2026-08-09,202604020601,14,ツーハーツ,新潟,1,2000,芝,良,未勝利,,,,-7.0,40,見送り,6.0,12.2,0.0150499948052391,0.0547428835121209,0.0878533161155287,0.0878533161155287,-0.8163900633760827,13.0,0.0150499948052391,0.051353226925746,13.0,6,6.0,6.0,22.0,25.0,57.0,53.0,63.0,53.0,10.0,,,2026-08-03,2026-08-04,2026-08-04,0,0,0,,,
2026-08-09,202604020601,5,マイホームパパ,新潟,1,2000,芝,良,未勝利,,,,1.0,40,見送り,11.0,65.4,0.0150499948052391,0.049642401907534,0.1194307816249782,0.1194307816249782,-0.0157303397373611,14.0,0.0150499948052391,0.0698113207547169,10.0,11,11.0,11.0,22.0,44.0,67.0,90.0,80.0,53.0,12.0,,,2026-08-03,2026-08-04,2026-08-04,0,0,0,,,
2026-08-09,202604020601,12,マスターボリューム,新潟,1,2000,芝,良,未勝利,,,,4.0,40,見送り,16.0,137.4,0.0236327667881249,0.0747388451785347,0.0878533161155287,0.0878533161155287,2.247142156688368,12.0,0.0236327667881249,0.051353226925746,12.0,15,15.0,14.0,38.0,25.0,40.0,40.0,13.0,53.0,16.0,,,2026-08-03,2026-08-04,2026-08-04,0,0,0,,,
2026-08-09,202604020601,15,マハロハ,新潟,1,2000,芝,良,未勝利,,,,1.0,40,見送り,10.0,46.9,0.0236327667881249,0.0788991450823801,0.1201540811250119,0.1201540811250119,0.10837676236306,11.0,0.0236327667881249,0.0702341137123745,9.0,10,10.0,10.0,38.0,50.0,40.0,17.0,63.0,53.0,3.0,,820.0,2026-08-03,2026-08-04,2026-08-04,0,0,1,,,
2026-08-09,202604020601,4,モンサンアミュザン,新潟,1,2000,芝,良,未勝利,,,,0.0,40,見送り,15.0,102.7,0.0088888310322418,0.0355408053429872,0.0371137089425398,0.0371137089425398,-0.0871170529887647,15.0,0.0088888310322418,0.021694214876033,15.0,16,16.0,16.0,9.0,12.0,40.0,90.0,20.0,53.0,14.0,,,2026-08-03,2026-08-04,2026-08-04,0,0,0,,,
2026-08-09,202604020601,8,ラガリーガ,新潟,1,2000,芝,良,未勝利,,,,-4.0,40,見送り,1.0,2.0,0.0580816795140435,0.1436111282823051,0.2135864494318611,0.2135864494318611,-0.8838366409719128,5.0,0.0580816795140435,0.1248484848484848,5.0,1,1.0,2.0,75.0,75.0,100.0,77.0,37.0,53.0,1.0,200.0,130.0,2026-08-03,2026-08-04,2026-08-04,1,1,1,,,
2026-08-09,202607020601,12,オレンジフィールド,中京,1,2000,芝,良,未勝利,,,,-1.0,40,見送り,6.0,18.0,0.0175223295637282,0.0854025142147793,0.1416709307672804,0.1416709307672804,-0.6845980678528913,7.0,0.0175223295637282,0.1168353265869365,7.0,7,6.0,6.0,41.0,66.0,60.0,33.0,7.0,53.0,8.0,,,2026-08-03,2026-08-04,2026-08-04,0,0,0,,,
2026-08-09,202607020601,7,カミノトップワン,中京,1,2000,芝,良,未勝利,,,,1.0,40,見送り,13.0,85.3,0.0175223295637282,0.0569575432480342,0.062269346686512,0.062269346686512,0.4946547117860203,12.0,0.0175223295637282,0.051353226925746,12.0,13,13.0,13.0,41.0,34.0,20.0,80.0,64.0,53.0,14.0,,,2026-08-03,2026-08-04,2026-08-04,0,0,0,,,
2026-08-09,202607020601,11,キービート,中京,1,2000,芝,良,未勝利,,,,6.0,40,見送り,16.0,146.1,0.0175223295637282,0.057496206430525,0.0655442867606017,0.0655442867606017,1.5600123492606983,11.0,0.0175223295637282,0.054054054054054,10.0,15,15.0,15.0,41.0,44.0,40.0,93.0,21.0,53.0,9.0,,,2026-08-03,2026-08-04,2026-08-04,0,0,0,,,
2026-08-09,202607020601,3,クロスボーダー,中京,1,2000,芝,良,未勝利,◎,,,1.0,40,見送り,2.0,3.5,0.2672516437228707,0.4204082175477479,0.669418426270675,0.669418426270675,-0.0646192469699523,1.0,0.2672516437228707,0.5520661157024794,1.0,2,2.0,2.0,100.0,100.0,77.0,20.0,100.0,53.0,5.0,,,2026-08-03,2026-08-04,2026-08-04,0,0,0,,,
2026-08-09,202607020601,8,ゴナビーオーライト,中京,1,2000,芝,良,未勝利,,,,2.0,40,見送り,11.0,67.8,0.0175223295637282,0.0545346751186523,0.0851637304565009,0.0851637304565009,0.1880139444207758,9.0,0.0175223295637282,0.0702341137123745,9.0,11,11.0,10.0,41.0,50.0,13.0,73.0,57.0,53.0,13.0,,,2026-08-03,2026-08-04,2026-08-04,0,0,0,,,
2026-08-09,202607020601,5,ストラドーネ,中京,1,2000,芝,良,未勝利,,,,0.0,40,見送り,14.0,92.8,0.0175223295637282,0.0441383922742788,0.0441383922742788,0.0441383922742788,0.6260721835139824,13.0,0.0175223295637282,0.0318091451292246,14.0,14,14.0,14.0,41.0,19.0,53.0,60.0,43.0,53.0,16.0,,,2026-08-03,2026-08-04,2026-08-04,0,0,0,,,
2026-08-09,202607020601,13,チュオンソン,中京,1,2000,芝,良,未勝利,×,,,3.0,40,見送り,8.0,23.1,0.0602263220047558,0.151880716875941,0.2656999407494368,0.2656999407494368,0.3912280383098605,5.0,0.0602263220047558,0.2191214470284237,5.0,9,8.0,8.0,75.0,78.0,90.0,27.0,50.0,53.0,6.0,,,2026-08-03,2026-08-04,2026-08-04,0,0,0,,,
2026-08-09,202607020601,15,ティタノマキア,中京,1,2000,芝,良,未勝利,▲,,,0.0,40,見送り,3.0,4.0,0.2382867522796862,0.3327551224858861,0.4819915547544096,0.4819915547544096,-0.046852990881255,2.0,0.2382867522796862,0.3974960876369327,3.0,3,3.0,3.0,94.0,88.0,77.0,7.0,86.0,53.0,2.0,,140.0,2026-08-03,2026-08-04,2026-08-04,0,1,1,,,
2026-08-09,202607020601,16,ディアーモルタル,中京,1,2000,芝,良,未勝利,,,,-1.0,40,見送り,10.0,53.9,0.0175223295637282,0.0478989320281362,0.062269346686512,0.062269346686512,-0.0555464365150468,14.0,0.0175223295637282,0.051353226925746,11.0,10,10.0,11.0,41.0,34.0,67.0,100.0,,53.0,7.0,,,2026-08-03,2026-08-04,2026-08-04,0,0,0,,,
2026-08-09,202607020601,10,ニテンイチリュウ,中京,1,2000,芝,良,未勝利,,,,-1.0,40,見送り,15.0,108.3,0.0029426015046618,0.0114893995411342,0.012201955271156,0.012201955271156,-0.6813162570451166,16.0,0.0029426015046618,0.010062893081761,16.0,16,16.0,16.0,6.0,6.0,27.0,13.0,14.0,53.0,15.0,,,2026-08-03,2026-08-04,2026-08-04,0,0,0,,,
2026-08-09,202607020601,6,バンブラボー,中京,1,2000,芝,良,未勝利,,,,-3.0,40,見送り,12.0,82.8,0.0039035579077156,0.0223328929701236,0.0242999860735697,0.0242999860735697,-0.6767854052411435,15.0,0.0039035579077156,0.0200400801603206,15.0,12,12.0,12.0,12.0,12.0,7.0,67.0,29.0,53.0,12.0,,,2026-08-03,2026-08-04,2026-08-04,0,0,0,,,
2026-08-09,202607020601,14,フィンガーレイクス,中京,1,2000,芝,良,未勝利,○,,,-1.0,40,見送り,1.0,3.0,0.1776490092403648,0.345116110345177,0.5224769359335143,0.5224769359335143,-0.4670529722789055,3.0,0.1776490092403648,0.4308841843088418,2.0,1,1.0,1.0,88.0,94.0,90.0,47.0,79.0,53.0,1.0,360.0,130.0,2026-08-03,2026-08-04,2026-08-04,1,1,1,,,
2026-08-09,202607020601,4,マイコンプリート,中京,1,2000,芝,良,未勝利,,,,-9.0,40,見送り,4.0,13.0,0.0175223295637282,0.0595707455308352,0.0595707455308352,0.0595707455308352,-0.7722097156715326,8.0,0.0175223295637282,0.0385964912280701,13.0,4,4.0,5.0,41.0,25.0,,,,,3.0,,240.0,2026-08-03,2026-08-04,2026-08-04,0,0,1,,,
