区分,レース,頭数,市場R2,市場+モデルR2,ΔR2,Benter比
全体,14972,207518,0.2571832744360113,0.2577113672846396,0.0005280928486283143,0.029668137563388444
芝,7630,103197,0.2479837298797699,0.24821530224877764,0.00023157236900772649,0.013009683652119465
ダート,7342,104321,0.2665263833420436,0.26765638229843625,0.0011299989563926527,0.06348308743778948
短距離(<1400),3541,51965,0.254719719008498,0.2554383715440097,0.0007186525355117324,0.04037373795009733
マイル(1400-1799),4669,67102,0.2593926784869163,0.26044019668780205,0.0010475182008857775,0.05884933712841447
中距離(1800-2199),5340,71065,0.25698177117888,0.2570841151626292,0.00010234398374919795,0.005749662008381907
長距離(2200+),1422,17386,0.2576457568542617,0.2594457293513396,0.0017999724970778619,0.1011220503976327
新馬・未勝利(<=1),6712,95035,0.28595217749663504,0.2862976516251957,0.0003454741285606744,0.019408658907903057
1-2勝(2-3),6028,80923,0.2452339524444943,0.24608518621986875,0.0008512337753744381,0.04782212221204708
3勝-OP(4+),2232,31560,0.2027803938011402,0.20324291149168683,0.0004625176905466155,0.025984139918349185
少頭数(<=12),4527,47071,0.2554548454303617,0.25622906573083204,0.0007742203004703629,0.043495522498335
多頭数(13+),10445,160447,0.2578243898998581,0.2582661359459898,0.0004417460461316747,0.024817193602903072
道悪,14972,207518,0.2571832744360113,0.2577113672846396,0.0005280928486283143,0.029668137563388444
