角度,構成,券種,点数,的中,回収率,最悪年,最良年,年数
1.レース選択,堅い（エントロピー下位25%) × MF1位以内,複勝,4371,3283,89.2,87.3,90.4,0
3.突出度,1位が2位の2.0倍以上 × 人気6,複勝,2463,1729,88.3,87.2,89.8,0
3.突出度,1位が2位の2.0倍以上 × 人気3,複勝,2398,1702,88.1,86.8,89.4,0
3.突出度,1位が2位の2.0倍以上 × 人気不問,複勝,2474,1731,88.2,86.6,89.8,0
2.条件の掛合せ,重賞級×長距離2100+ × MF1位以内,複勝,318,186,91.0,85.6,94.8,0
3.突出度,1位が2位の2.0倍以上 × 人気6,単勝,2463,1012,86.6,85.5,89.5,0
3.突出度,1位が2位の1.6倍以上 × 人気3,複勝,4485,3052,86.7,85.3,88.1,0
3.突出度,1位が2位の2.0倍以上 × 人気不問,単勝,2474,1013,86.8,84.9,89.3,0
1.レース選択,堅い（エントロピー下位25%) × MF3位以内,複勝,13113,7636,86.5,84.7,87.5,0
3.突出度,1位が2位の1.6倍以上 × 人気不問,複勝,4722,3137,87.1,84.3,88.8,0
3.突出度,1位が2位の1.3倍以上 × 人気3,複勝,7786,5036,85.1,84.1,87.2,0
3.突出度,1位が2位の1.6倍以上 × 人気6,複勝,4691,3129,87.0,83.6,89.2,0
3.突出度,1位が2位の3.0倍以上 × 人気6,複勝,565,419,87.4,83.0,95.2,0
3.突出度,1位が2位の1.3倍以上 × 人気不問,複勝,8402,5229,84.8,82.8,87.2,0
1.レース選択,モデルと市場が一致(相関0.7+) × MF1位以内,複勝,13092,7903,84.3,82.7,85.3,0
3.突出度,1位が2位の2.0倍以上 × 人気3,単勝,2398,1004,86.2,82.7,90.5,0
3.突出度,1位が2位の3.0倍以上 × 人気3,複勝,560,416,86.9,82.7,95.2,0
3.突出度,1位が2位の3.0倍以上 × 人気不問,複勝,568,420,87.6,82.6,97.4,0
3.突出度,1位が2位の1.3倍以上 × 人気6,複勝,8298,5214,85.0,82.5,87.0,0
1.レース選択,モデルと市場が一致(相関0.7+) × MF3位以内,複勝,39276,19407,82.2,81.9,82.4,0
4.弱い1人気,1人気MF4位以下 × MF3位以内 × 1-50倍,単勝,5210,679,86.0,81.5,91.0,0
3.突出度,1位が2位の1.6倍以上 × 人気3,単勝,4485,1690,83.8,81.2,86.0,0
4.弱い1人気,1人気MF4位以下 × MF2位以内 × 1-50倍,単勝,3488,492,87.0,80.9,99.3,0
2.条件の掛合せ,道悪×長距離2100+ × MF5位以内,複勝,840,342,85.6,80.7,100.1,1
3.突出度,1位が2位の1.6倍以上 × 人気6,単勝,4691,1711,83.6,80.6,86.9,0
4.弱い1人気,1人気MF6位以下 × MF2位以内 × 1-10倍,複勝,956,401,82.5,80.6,88.5,0
3.突出度,1位が2位の1.6倍以上 × 人気不問,単勝,4722,1712,83.4,80.1,86.5,0
