種別,正式名,件数,直近
騎手,松山弘平,5754,1
騎手,丹内祐次,5750,1
騎手,横山武史,5339,1
騎手,幸英明,5249,1
騎手,戸崎圭太,5026,1
騎手,鮫島克駿,5012,1
騎手,菅原明良,5001,1
騎手,岩田望来,4985,1
騎手,西村淳也,4768,1
騎手,和田竜二,4699,1
騎手,三浦皇成,4625,1
騎手,団野大成,4410,1
騎手,津村明秀,4405,1
騎手,ルメール,4398,1
騎手,木幡巧也,4361,1
騎手,坂井瑠星,4357,1
騎手,大野拓弥,4339,1
騎手,菊沢一樹,4085,1
騎手,松若風馬,4081,1
騎手,内田博幸,3984,1
騎手,斎藤新,3978,1
騎手,田辺裕信,3894,1
騎手,武豊,3827,1
騎手,丸山元気,3788,1
騎手,横山和生,3766,1
騎手,石川裕紀,3636,1
騎手,吉田隼人,3622,1
騎手,岩田康誠,3607,1
騎手,川田将雅,3558,1
騎手,菱田裕二,3557,1
騎手,原優介,3536,1
騎手,柴田大知,3362,1
騎手,石橋脩,3353,1
騎手,Ｍ．デム,3282,1
騎手,藤岡康太,3138,1
騎手,北村友一,3106,1
騎手,富田暁,3083,1
騎手,武藤雅,3062,1
騎手,荻野極,3042,1
騎手,池添謙一,3033,1
騎手,酒井学,3010,1
騎手,野中悠太,3010,1
騎手,吉田豊,2975,1
騎手,江田照男,2906,1
騎手,佐々木大,2905,1
騎手,藤岡佑介,2854,1
騎手,亀田温心,2781,1
騎手,丸田恭介,2781,1
騎手,古川吉洋,2778,1
騎手,小沢大仁,2749,1
騎手,浜中俊,2672,1
騎手,北村宏司,2619,1
騎手,杉原誠人,2529,1
騎手,藤田菜七,2511,1
騎手,松岡正海,2500,1
騎手,永島まな,2495,1
騎手,秋山稔樹,2485,1
騎手,福永祐一,2469,0
騎手,黛弘人,2356,1
騎手,角田大和,2342,1
騎手,横山琉人,2302,1
騎手,永野猛蔵,2293,1
騎手,横山典弘,2272,1
騎手,国分優作,2257,1
騎手,田口貫太,2238,1
騎手,国分恭介,2200,1
騎手,川須栄彦,1952,1
騎手,泉谷楓真,1920,1
騎手,藤懸貴志,1909,1
騎手,小林凌大,1805,1
騎手,勝浦正樹,1793,1
騎手,松本大輝,1784,1
騎手,吉村誠之,1768,1
騎手,小林脩斗,1768,1
騎手,小崎綾也,1736,1
騎手,太宰啓介,1717,1
騎手,西塚洸二,1678,1
騎手,木幡育也,1652,1
騎手,今村聖奈,1647,1
騎手,川又賢治,1631,1
騎手,山田敬士,1565,0
騎手,中井裕二,1537,1
騎手,高杉吏麒,1536,1
騎手,柴田善臣,1524,1
騎手,武士沢友,1437,1
騎手,嶋田純次,1421,1
騎手,秋山真一,1385,1
騎手,角田大河,1382,1
騎手,高倉稜,1312,1
騎手,長浜鴻緒,1231,1
騎手,長岡禎仁,1203,1
騎手,小林美駒,1199,1
騎手,古川奈穂,1167,1
騎手,柴山雄一,1158,0
騎手,河原田菜,1124,1
騎手,木幡初也,1110,1
騎手,田中勝春,1029,0
騎手,藤井勘一,1016,0
騎手,城戸義政,1014,1
騎手,原田和真,1012,1
騎手,松田大作,1008,0
騎手,石田拓郎,970,1
騎手,石神深道,937,1
騎手,鷲頭虎太,920,1
騎手,荻野琢真,917,1
騎手,鮫島良太,906,1
騎手,加藤祥太,891,1
騎手,岩部純二,882,1
騎手,小林勝太,874,1
騎手,川端海翼,855,1
騎手,宮崎北斗,833,1
騎手,水口優也,825,1
騎手,水沼元輝,819,1
騎手,佐藤翔馬,812,1
騎手,小牧太,810,1
騎手,田中健,808,1
騎手,柴田裕一,800,1
騎手,田山旺佑,780,1
騎手,レーン,736,1
騎手,森裕太朗,715,1
騎手,上野翔,668,1
騎手,草野太郎,658,1
騎手,舟山瑠泉,658,1
騎手,五十嵐雄,656,1
騎手,川島信二,644,1
騎手,石神深一,633,1
騎手,伴啓太,623,1
騎手,伊藤工真,593,1
騎手,森一馬,588,1
騎手,大江原圭,571,1
騎手,小野寺祐,554,1
騎手,和田陽希,516,1
騎手,的場勇人,510,1
騎手,遠藤汰月,508,1
騎手,マーカン,504,1
騎手,嘉藤貴行,490,0
騎手,上里直汰,469,1
騎手,難波剛健,461,1
騎手,菅原隆一,444,1
騎手,森田誠也,442,1
騎手,シュタル,433,1
騎手,中村将之,421,1
騎手,岡田祥嗣,415,1
騎手,服部寿希,412,1
騎手,黒岩悠,409,1
騎手,小牧加矢,403,1
騎手,キング,391,1
騎手,土田真翔,389,1
騎手,モレイラ,379,1
騎手,高田潤,377,1
騎手,大久保友,359,1
騎手,中谷雄太,358,0
騎手,ミナリク,354,0
騎手,ムルザバ,345,1
騎手,井上敏樹,340,1
騎手,大庭和弥,338,1
騎手,Ｃ．デム,337,1
騎手,西田雄一,333,0
騎手,和田翼,330,1
騎手,蛯名正義,327,0
