券種,構成,R数,点数,的中率,回収率,CI下,配当中央値
ワイド,★BOX（ワイド）,211,1.3,7.1,110.5,56.1,1490
馬連,★BOX（馬連）,211,1.3,2.4,153.9,30.5,7820
ワイド,最大乖離軸 × MF上位3（ワイド）,211,3.0,16.6,83.2,54.7,1040
馬連,最大乖離軸 × MF上位3（馬連）,211,3.0,7.1,73.4,31.5,1860
3連複,最大乖離軸 × MF上位3の2頭（3連複）,211,3.0,3.8,60.1,17.6,3710
ワイド,★ × MF上位2（ワイド）,211,3.0,24.2,81.0,58.8,750
馬連,★ × MF上位2（馬連）,211,3.0,10.4,90.1,46.7,1720
ワイド,★BOX（ワイド）,787,1.8,4.1,85.0,53.8,3015
馬連,★BOX（馬連）,787,1.8,1.8,135.3,65.4,10840
3連複,★BOX（3連複）,217,2.0,0.5,102.9,0.0,44640
ワイド,最大乖離軸 × MF上位3（ワイド）,787,3.0,14.7,97.8,77.4,1175
馬連,最大乖離軸 × MF上位3（馬連）,787,3.0,6.1,81.8,53.5,2390
3連複,最大乖離軸 × MF上位3の2頭（3連複）,787,3.0,5.2,95.8,63.6,3740
ワイド,★ × MF上位2（ワイド）,787,4.0,23.6,95.4,79.6,1050
馬連,★ × MF上位2（馬連）,787,4.0,8.4,75.2,53.4,2385
ワイド,★BOX（ワイド）,1654,3.1,2.7,52.2,33.6,3840
馬連,★BOX（馬連）,1654,3.1,1.1,72.4,34.6,13040
3連複,★BOX（3連複）,885,3.4,0.2,55.7,0.0,83455
ワイド,最大乖離軸 × MF上位3（ワイド）,1654,3.0,9.4,94.2,70.6,1295
馬連,最大乖離軸 × MF上位3（馬連）,1654,3.0,4.0,81.8,51.8,2690
3連複,最大乖離軸 × MF上位3の2頭（3連複）,1654,3.0,3.2,108.5,57.1,4190
ワイド,★ × MF上位2（ワイド）,1654,5.2,19.1,87.7,72.2,1285
馬連,★ × MF上位2（馬連）,1654,5.2,7.3,88.2,63.9,3180
