馬名,馬主
アアル,加藤誠
アイアイテーラー,中西浩一
アイアゲート,シルクレーシング
アイアコス,尾上寿夫
アイアス,畑末廣郎
アイアムアッパレ,ワイズマン
アイアムアヒーロー,ワイズマン
アイアムイチオシ,堀紘一
アイアムイチバン,ワイズマン
アイアムイチリュウ,ワイズマン
アイアムイブシギン,堀紘一
アイアムカガヤキ,堀紘一
アイアムカチマショ,堀紘一
アイアムキレマスネ,ワイズマン
アイアムコロンブス,ワイズマン
アイアムジャイアン,ワイズマン
アイアムジュピター,堀紘一
アイアムスゴスギル,堀紘一
アイアムステキ,ワイズマン
アイアムツイテル,堀紘一
アイアムツヨスギル,ワイズマン
アイアムハヤスギル,堀紘一
アイアムヒメ,玉腰勇吉
アイアムビクトリア,堀紘一
アイアムピッカピカ,堀紘一
アイアムヤルワヨ,堀紘一
アイアムユウシュン,ワイズマン
アイアムラベンダー,堀紘一
アイアムルンルン,ワイズマン
アイアムレジェンド,グランド牧場
アイアムロージー,堀紘一
アイアン,石川達絵
アイアンウォール,宮川純造
アイアンオバーカム,池上一馬
アイアンオー,池上一馬
アイアンカレン,池上一馬
アイアンクラッド,ノースヒルズ
アイアンソリッド,池上一馬
アイアンゾーン,池上一馬
アイアンナックル,手嶋康雄
アイアンバローズ,猪熊広次
アイアンパイク,浅田次郎
アイアンパシュート,池上一馬
アイアンフラワー,池上一馬
アイアンブランド,池上一馬
アイアンブルー,日進牧場
アイアンプラン,池上一馬
アイアンポート,池上一馬
アイアンマジン,池上一馬
アイアンミリオン,池上一馬
アイアンムスメ,西村新一郎
アイアンムーン,廣崎双葉
アイアンメイデン,田原邦男
アイアンユウキャン,池上一馬
アイアンランナー,池上一馬
アイアンランラン,池上一馬
アイアンロッキー,池上一馬
アイアンロマン,池上一馬
アイウィットネス,社台レースホース
アイウィル,Ｇリビエール・レーシング
アイウィルビー,落合幸弘
アイオブザストーム,ゴールドアップ・カンパニー
アイオライト,田頭勇貴
アイオリア,井山登
アイオリスパルス,シルクレーシング
アイオロステソーロ,了徳寺健二ホールディングス
アイオープナー,サラブレッドクラブ・ラフィアン
アイオーン,Ｇ１レーシング
アイカチャン,岡田牧雄
アイカムインピース,ゴドルフィン
アイカリトマナカ,村田能光
アイカンアズーラ,コージーレーシング
アイガイッパイ,藤井謙
アイガー,ゴドルフィン
アイガーテソーロ,了徳寺健二ホールディングス
アイガーリー,小谷野宗靖
アイキャンテーラー,中西浩一
アイキャンドウイッ,吉澤ホールディングス
アイキューテーラー,中西浩一
アイク,村木慎吾
アイクルムズ,ブルースターズファーム
アイグローリー,ライフエンタープライズ
アイコトバ,由井健太郎
アイコニック,雅苑興業
アイコン,ゴドルフィン
アイコンテーラー,中西浩一
アイゴットイット,吉田千津
アイサイテーラー,中西浩一
アイサイト,伊藤弘人
アイサマン,伊藤弘人
アイサンサン,岡浩二
アイサーベル,伊藤弘人
アイザックバローズ,猪熊広次
アイシテルヨナオミ,塩澤正樹
アイシュウデイト,三岡陽
アイシーブルー,ディアレストクラブ
アイスアイスベイビ,千明牧場
アイスアンドスノー,吉田晴哉
アイスキング,村上憲政
アイスグリーン,シルクレーシング
アイスケイブ,シルクレーシング
アイスシェルフ,吉田勝己
アイスジェイド,キャロットファーム
アイスジャイアント,吉田勝己
アイスストーム,ゴドルフィン
アイスソード,橋元勇氣
アイスナイン,石瀬浩三
アイスノート,中村祐子
アイスバブル,金子真人ホールディングス
アイスバーグアリー,Ｈ．Ｈ．シェイク・ファハド
アイスフィヨルド,佐々木雄二
アイスフィールド,ミルファーム
アイスフォーク,藤田晋
アイスフォーゲル,サンデーレーシング
アイスブラスト,ＤＭＭドリームクラブ
アイスブレイカー,ミルファーム
アイスマン,岡浩二
アイスムーン,ゴドルフィン
アイスメルティング,ローレルレーシング
アイスモント,吉澤ホールディングス
アイスランドポピー,キャロットファーム
アイスリアン,村上憲政
アイスリンディ,村上憲政
アイスリーディング,薗部博之
アイスヴィスタ,村上憲政
アイスヴィレッジ,ノルマンディーサラブレッドレーシング
アイズ,古賀禎彦
アイズダンシング,ローレルレーシング
アイズミサクラ,二口雅一
アイゼングラフ,藤沼利夫
アイゼンハイム,江馬由将
アイゼンフォルク,田畑利彦
アイゼンヴァンド,ウエスト．フォレスト．ステイブル
アイソウザスター,吉岡泰治
アイソラシー,諸江幸祐
アイソリズム,Ｇ１レーシング
アイソーザライト,タイヘイ牧場
アイタイ,平井裕
アイタカ,岡浩二
アイヅオイワケ,福島徳佑
アイヅヒリュウ,真部晴徳
