構成,券種,最低年,通算,的中,点数
ワイド 全ペアEV≥1.5(上限6点),ワイド,57.7,58.2,244,5.6
ワイド 全ペアEV≥1.0(上限6点),ワイド,57.6,58.9,323,5.9
ワイド 全ペアEV≥1.2(上限6点),ワイド,57.4,58.6,295,5.8
ワイド 全ペアEV≥1.1(上限6点),ワイド,57.3,58.7,313,5.9
ワイド 全ペアEV≥2.0(上限6点),ワイド,55.8,57.2,168,5.1
馬連 全ペアEV≥1.0(上限6点),馬連,53.7,55.1,121,6.0
馬連 全ペアEV≥1.2(上限6点),馬連,53.6,53.9,116,5.9
馬連 全ペアEV≥1.1(上限6点),馬連,53.3,53.6,118,5.9
馬連 全ペアEV≥1.5(上限6点),馬連,53.0,53.4,101,5.8
ワイド EV最大の1点(EV≥1.2),ワイド,50.7,58.9,45,1.0
ワイド EV最大の1点(EV≥1.5),ワイド,50.5,58.7,41,1.0
ワイド EV最大の1点(EV≥1.0),ワイド,50.2,59.0,47,1.0
ワイド EV最大の2点(EV≥1.0),ワイド,49.6,61.1,103,2.0
ワイド EV最大の2点(EV≥1.2),ワイド,49.2,60.9,97,2.0
馬連 EV最大の2点(EV≥1.2),馬連,48.1,58.1,36,2.0
馬連 EV最大の2点(EV≥1.0),馬連,47.9,57.8,36,2.0
馬連 EV最大の1点(EV≥1.5),馬連,46.9,56.3,17,1.0
馬連 EV最大の1点(EV≥1.2),馬連,46.3,55.6,17,1.0
馬連 EV最大の1点(EV≥1.0),馬連,46.2,55.4,17,1.0
馬連 全ペアEV≥2.0(上限6点),馬連,46.0,47.4,69,5.5
