構成,券種,最低年,通算,ROI2023,ROI2024,ROI2025,的中3年,点数
馬連 単勝軸×モデル上位1頭,馬連,82.9,90.7,98.4,82.9,89.0,31,1.0
ワイド 人気上位3頭BOX（モデル不使用）,ワイド,79.1,81.1,79.1,82.8,81.5,5100,3.0
ワイド 人気上位2頭BOX（モデル不使用）,ワイド,77.9,81.4,77.9,83.3,83.1,2884,1.0
馬連 人気上位3頭BOX（モデル不使用）,馬連,77.2,80.6,77.2,83.5,81.3,2973,3.0
ワイド モデル上位3頭BOX,ワイド,76.3,80.0,82.3,81.4,76.3,4480,3.0
馬連 モデル上位2頭BOX,馬連,76.2,80.9,76.2,85.7,81.1,1162,1.0
ワイド モデル上位2頭BOX,ワイド,75.8,81.0,82.4,85.0,75.8,2414,1.0
馬連 人気上位2頭BOX（モデル不使用）,馬連,75.8,82.7,75.8,84.2,88.4,1449,1.0
馬連 モデル上位3頭BOX,馬連,75.3,78.8,81.9,79.1,75.3,2456,3.0
ワイド 単勝軸×モデル上位1頭,ワイド,72.1,97.4,115.6,72.1,99.4,85,1.0
馬連 全ペアEV≥1.5(上限8点),馬連,65.7,67.6,68.9,65.7,68.1,399,7.5
馬連 全ペアEV≥1.0(上限8点),馬連,64.4,66.6,64.4,65.0,70.4,661,7.9
馬連 単勝軸を含むペアでEV≥1.2,馬連,64.0,79.3,64.0,92.5,84.4,27,4.0
馬連 全ペアEV最大の1点(EV≥1.0),馬連,62.1,138.0,259.5,88.2,62.1,44,1.0
馬連 全ペアEV≥1.2(上限8点),馬連,61.6,67.1,65.4,61.6,74.2,535,7.8
馬連 全ペアEV最大の1点(EV≥1.5),馬連,61.6,138.6,261.1,88.4,61.6,39,1.0
馬連 全ペアEV≥2.0(上限8点),馬連,59.6,66.4,73.0,66.4,59.6,284,7.0
ワイド 全ペアEV≥1.5(上限8点),ワイド,58.8,61.9,61.1,58.8,65.8,739,7.7
ワイド 全ペアEV≥2.0(上限8点),ワイド,57.8,61.9,63.4,57.8,64.4,497,7.2
ワイド 全ペアEV≥1.0(上限8点),ワイド,56.9,60.2,56.9,60.7,62.9,1140,7.9
ワイド 全ペアEV最大の1点(EV≥1.0),ワイド,55.3,67.3,76.8,55.3,69.2,60,1.0
ワイド 全ペアEV最大の1点(EV≥1.5),ワイド,55.3,66.5,77.5,55.3,66.2,55,1.0
馬連 単勝軸×モデル上位2頭,馬連,55.1,77.5,100.2,55.1,72.1,47,2.0
ワイド 単勝軸×モデル上位2頭,ワイド,54.9,81.0,94.7,54.9,88.5,120,2.0
ワイド 全ペアEV≥1.2(上限8点),ワイド,54.5,59.2,59.7,54.5,63.3,947,7.8
馬連 単勝軸×モデル上位3頭,馬連,54.5,88.5,110.1,54.5,94.0,73,3.1
ワイド 単勝軸×モデル上位3頭,ワイド,54.0,81.5,96.9,54.0,88.3,149,3.1
ワイド 単勝軸を含むペアでEV≥1.2,ワイド,52.1,70.5,79.8,52.1,76.2,71,3.9
