構成,点数,的中,5年ROI,直近2年点数,直近2年的中,直近2年ROI,CI下,CI上,買うR数,1R点数,y2021,y2022,y2023,y2024,y2025,100超年
B,2052,88,94.9,858,39,104.0,61.3,152.3,2052,1.0,109.3,97.2,61.4,105.5,102.6,3
A,1735,54,100.2,637,20,101.8,50.1,163.3,1735,1.0,81.0,91.1,126.7,82.3,119.6,2
BG,7257,221,91.3,2769,94,99.5,72.4,129.4,3481,2.1,73.1,86.3,99.1,99.4,99.6,0
BC,3787,185,90.7,1495,76,99.3,71.0,132.8,3481,1.1,96.0,79.4,80.5,93.7,104.5,1
AG,6940,187,92.5,2548,75,98.6,71.0,128.8,1735,4.0,65.1,84.9,117.4,93.0,103.6,2
D,5274,147,94.1,1926,57,98.4,66.8,130.5,1758,3.0,67.7,101.8,104.7,90.0,105.8,3
BCG,8992,318,90.2,3406,131,98.3,75.5,123.7,3481,2.6,74.7,81.5,100.0,95.3,101.0,1
E,3050,90,100.1,1140,34,98.0,60.6,139.4,1525,2.0,66.7,92.6,144.4,87.9,107.5,2
EG,8255,223,93.7,3051,89,97.7,73.8,124.9,1735,4.8,62.3,86.5,125.5,93.3,101.7,2
AE,3260,92,95.6,1207,36,97.6,61.6,136.1,1735,1.9,60.9,86.8,135.7,83.8,110.5,2
AEG,8465,225,92.1,3118,91,97.5,74.8,124.5,1735,4.9,60.2,84.4,122.6,91.6,103.0,2
G,5205,133,89.9,1911,55,97.5,66.5,133.3,1735,3.0,59.8,82.8,114.3,96.6,98.3,1
ACG,8675,284,91.1,3185,112,97.4,73.8,121.9,1735,5.0,68.4,80.4,114.7,89.9,104.3,2
AC,3470,151,93.0,1274,57,97.3,68.5,131.4,1735,2.0,81.2,76.7,115.2,79.9,113.3,2
CD,7009,244,92.0,2563,94,97.0,73.7,123.5,1774,4.0,71.1,92.1,104.4,86.8,106.1,2
CEG,9990,320,92.3,3688,126,96.8,75.3,120.3,1735,5.8,65.6,82.3,121.7,90.6,102.6,2
BD,7162,229,92.5,2719,94,96.5,73.3,124.4,3510,2.0,80.0,99.6,89.9,97.3,95.8,0
ABG,8686,264,91.3,3298,110,96.5,73.6,121.9,3481,2.5,75.1,86.9,102.5,96.2,96.8,1
CG,6940,230,88.9,2548,92,96.3,71.2,125.5,1735,4.0,65.2,77.7,111.7,91.8,100.5,2
CE,4785,187,94.9,1777,71,96.1,69.6,126.4,1735,2.8,72.1,81.6,129.7,84.1,107.3,2
ACE,4995,189,92.2,1844,73,96.0,70.5,125.0,1735,2.9,68.1,78.3,124.6,81.6,109.3,2
BEG,10001,300,92.5,3801,124,96.0,75.4,120.7,3481,2.9,71.5,88.0,111.1,95.9,96.1,1
BCD,8897,326,91.2,3356,131,95.8,75.9,116.8,3520,2.5,80.3,92.1,92.6,93.5,97.9,0
F,7032,183,94.6,2568,69,95.3,71.2,123.9,1758,4.0,59.0,104.7,118.2,87.2,102.6,3
DF,7032,183,94.6,2568,69,95.3,70.4,124.9,1758,4.0,59.0,104.7,118.2,87.2,102.6,3
AB,3481,131,93.5,1387,55,95.1,64.5,130.8,3481,1.0,98.7,93.8,84.8,95.5,94.7,0
DG,9939,266,91.3,3635,105,95.1,73.0,120.3,1774,5.6,62.9,93.9,110.2,90.8,98.9,1
CF,8767,280,92.8,3205,106,94.8,72.9,119.1,1774,4.9,63.4,96.4,115.3,85.2,103.4,2
CDF,8767,280,92.8,3205,106,94.8,73.8,119.1,1774,4.9,63.4,96.4,115.3,85.2,103.4,2
CDG,11674,363,90.5,4272,142,94.7,75.0,116.2,1774,6.6,65.7,89.2,109.3,88.8,100.1,2
BF,8904,264,93.0,3360,106,94.6,72.5,118.0,3510,2.5,68.8,102.7,103.7,93.8,95.2,2
BE,4796,167,95.3,1890,69,94.6,67.2,122.5,3271,1.5,84.9,94.1,107.7,95.3,93.9,1
