構成,通算,CI下,最悪年,収支,総点数,依存
単勝,113.6,87.5,111.5,9840,723,7.1
馬単 相手3人気内,134.1,92.2,118.1,58380,1714,14.5
馬単 相手50倍以下,125.5,83.9,98.4,72640,2850,17.5
馬単 全印,123.7,86.2,97.5,68440,2892,17.5
馬単 相手EV≥0.7,141.2,75.5,103.0,60760,1474,30.1
馬連 相手EV≥1.1,110.9,52.6,54.8,8110,746,35.2
馬連 相手EV≥0.9,100.2,53.6,78.1,220,1046,27.8
馬連 30倍以下,86.1,65.6,73.7,-38340,2754,12.0
単勝＋馬単 相手3人気内,128.0,97.9,117.2,68220,2437,10.7
単勝＋馬単 相手50倍以下,123.1,91.1,101.7,82480,3573,14.3
単勝＋馬単 全印,121.7,90.8,101.0,78280,3615,14.3
単勝＋馬単 相手EV≥0.7,132.1,87.9,106.9,70600,2197,21.6
単勝＋馬連 相手EV≥1.1,112.2,79.3,85.3,17950,1469,17.7
単勝＋馬連 相手EV≥0.9,105.7,76.0,91.9,10060,1769,15.6
単勝＋馬連 30倍以下,91.8,73.6,82.1,-28500,3477,8.9
単勝＋馬単 相手3人気内＋馬連 相手EV≥1.1,124.0,96.4,103.2,76330,3183,8.5
単勝＋馬単 相手3人気内＋馬連 相手EV≥0.9,119.6,93.4,106.7,68440,3483,8.0
単勝＋馬単 相手3人気内＋馬連 30倍以下,105.8,87.6,93.9,29880,5191,6.1
単勝＋馬単 相手50倍以下＋馬連 相手EV≥1.1,121.0,92.2,94.0,90590,4319,12.0
単勝＋馬単 相手50倍以下＋馬連 相手EV≥0.9,117.9,91.2,97.3,82700,4619,11.5
単勝＋馬単 相手50倍以下＋馬連 30倍以下,107.0,85.9,89.4,44140,6327,9.3
単勝＋馬単 全印＋馬連 相手EV≥1.1,119.8,91.4,93.5,86390,4361,12.0
単勝＋馬単 全印＋馬連 相手EV≥0.9,116.8,90.0,96.8,78500,4661,11.5
単勝＋馬単 全印＋馬連 30倍以下,106.3,85.9,89.0,39940,6369,9.3
単勝＋馬単 相手EV≥0.7＋馬連 相手EV≥1.1,126.7,91.0,94.3,78710,2943,16.8
単勝＋馬単 相手EV≥0.7＋馬連 相手EV≥0.9,121.8,86.1,99.0,70820,3243,15.9
単勝＋馬単 相手EV≥0.7＋馬連 30倍以下,106.5,82.3,88.3,32260,4951,11.9
