着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数タイム指数(通常)タイム指数マスター,ﾀｲﾑ指数Mタイム指数(通常)タイム指数マスター,ｽﾀｰﾄ指数,追走指数,上がり指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),race_id
1,7,14,シュバルツガイスト,牡3,56,武豊,1:12.6,,**,,,,,5-5,38.1,1.8,1,486(-4),,,,[東]国枝栄,インゼルレーシング,550.0,202306010101
2,3,5,ジェイケイファイン,牡3,56,内田博幸,1:12.9,1.3/4,**,,,,,4-3,38.9,7.4,3,472(-8),,,,[東]奥平雅士,小谷野次郎,220.0,202306010101
3,1,1,レディアス,牝3,54,津村明秀,1:12.9,クビ,**,,,,,10-7,37.7,36.1,6,428(+6),,,,[東]鈴木慎太,中山栄一,140.0,202306010101
4,8,15,ハローマイラブリー,牝3,54,三浦皇成,1:13.4,3,**,,,,,1-1,39.7,4.2,2,536(0),,,,[東]伊坂重信,平賀久枝,83.0,202306010101
5,5,9,ベアカワイコチャン,牝3,54,松岡正海,1:13.9,3,**,,,,,2-2,40.1,7.9,4,478(+10),,,,[東]杉浦宏昭,熊木浩,55.0,202306010101
6,1,2,ラディーヴァ,牝3,52,原優介,1:14.0,1/2,**,,,,,6-6,39.3,255.6,13,456(-2),,,,[東]武市康男,小林竜太郎,,202306010101
7,6,12,メルティーショコラ,牝3,54,武藤雅,1:14.0,クビ,**,,,,,2-3,40.1,58.8,7,470(+14),,,,[東]武藤善則,明栄商事,,202306010101
8,8,16,ニシノスイセイ,牡3,56,野中悠太,1:14.1,1/2,**,,,,,11-11,38.4,137.1,11,468(+6),,,,[東]青木孝文,西山茂行,,202306010101
9,7,13,タッカーカムカム,牝3,52,山田敬士,1:14.2,クビ,**,,,,,12-11,38.4,322.0,14,426(-2),,,,[東]鈴木伸尋,小松崎孝,,202306010101
10,3,6,ペイシャコリン,牝3,52,小林凌大,1:14.4,1.1/2,**,,,,,9-9,39.4,86.0,10,454(-10),,,,[東]伊藤伸一,北所直人,,202306010101
11,6,11,オメガキャプテン,牡3,56,横山和生,1:14.7,1.1/2,**,,,,,6-7,40.1,10.7,5,474(+16),,,,[東]大和田成,原禮子,,202306010101
