kaisai_key,date
2019010101,2019-07-27
2019010102,2019-07-28
2019010103,2019-08-03
2019010104,2019-08-04
2019010105,2019-08-10
2019010106,2019-08-11
2019010201,2019-08-17
2019010202,2019-08-18
2019010203,2019-08-24
2019010204,2019-08-25
2019010205,2019-08-31
2019010206,2019-09-01
2019020101,2019-06-15
2019020102,2019-06-16
2019020103,2019-06-22
2019020104,2019-06-23
2019020105,2019-06-29
2019020106,2019-06-30
2019020201,2019-07-06
2019020202,2019-07-07
2019020203,2019-07-13
2019020204,2019-07-14
2019020205,2019-07-20
2019020206,2019-07-21
2019030101,2019-04-06
2019030102,2019-04-07
2019030103,2019-04-13
2019030104,2019-04-14
2019030105,2019-04-20
2019030106,2019-04-21
2019030201,2019-06-29
2019030202,2019-06-30
2019030203,2019-07-06
2019030204,2019-07-07
2019030205,2019-07-13
2019030206,2019-07-14
2019030207,2019-07-20
2019030208,2019-07-21
2019030301,2019-11-02
2019030302,2019-11-03
2019030303,2019-11-09
2019030304,2019-11-10
2019030305,2019-11-16
2019030306,2019-11-17
2019040101,2019-04-27
2019040102,2019-04-29
2019040103,2019-05-04
2019040104,2019-05-05
2019040105,2019-05-11
2019040106,2019-05-12
2019040107,2019-05-18
2019040108,2019-05-19
2019040201,2019-07-27
2019040202,2019-07-28
2019040203,2019-08-03
2019040204,2019-08-04
2019040205,2019-08-10
2019040206,2019-08-11
2019040207,2019-08-17
2019040208,2019-08-18
2019040209,2019-08-24
2019040210,2019-08-25
2019040211,2019-08-31
2019040212,2019-09-01
2019040301,2019-10-05
2019040302,2019-10-06
2019040303,2019-10-19
2019040304,2019-10-20
2019040305,2019-10-26
2019040306,2019-10-27
2019050101,2019-01-26
2019050102,2019-01-27
2019050103,2019-02-02
2019050104,2019-02-03
2019050105,2019-02-11
2019050106,2019-02-10
2019050107,2019-02-16
2019050108,2019-02-17
2019050201,2019-04-20
2019050202,2019-04-21
2019050203,2019-04-27
2019050204,2019-04-28
2019050205,2019-05-04
