年,構成,上3に2頭,全5に3頭,上3平均,一位複勝率
2024,①二値分類(現行),50.9,31.6,1.49,61.4
2024,②順位学習 ラベルA(3/2/1) 上位3位まで,49.7,30.4,1.46,60.9
2024,②順位学習 ラベルA(3/2/1) 上位5位まで,49.4,30.5,1.47,60.5
2024,②順位学習 ラベルA(3/2/1) 上位10位まで,49.3,30.6,1.47,61.0
2024,②順位学習 ラベルA(3/2/1) 上位30位まで,48.8,31.1,1.48,60.5
2024,②順位学習 ラベルB(1/0) 上位3位まで,50.4,31.7,1.48,60.7
2024,②順位学習 ラベルB(1/0) 上位5位まで,49.8,31.0,1.47,61.1
2024,②順位学習 ラベルB(1/0) 上位10位まで,49.7,31.1,1.47,60.5
2024,②順位学習 ラベルB(1/0) 上位30位まで,49.6,30.9,1.47,60.8
2025,①二値分類(現行),48.7,27.3,1.45,59.7
2025,②順位学習 ラベルA(3/2/1) 上位3位まで,46.7,27.2,1.42,57.6
2025,②順位学習 ラベルA(3/2/1) 上位5位まで,46.3,27.1,1.42,57.8
2025,②順位学習 ラベルA(3/2/1) 上位10位まで,46.6,26.9,1.42,57.8
2025,②順位学習 ラベルA(3/2/1) 上位30位まで,46.2,26.2,1.42,57.8
2025,②順位学習 ラベルB(1/0) 上位3位まで,47.8,27.2,1.44,58.5
2025,②順位学習 ラベルB(1/0) 上位5位まで,46.4,27.5,1.42,58.3
2025,②順位学習 ラベルB(1/0) 上位10位まで,48.3,27.5,1.45,58.1
2025,②順位学習 ラベルB(1/0) 上位30位まで,46.4,26.7,1.42,58.7
