構成,最低年,通算,的中3年,ROI2023,ROI2024,ROI2025,R年平均
同上・EV最大の1頭だけ,111.5,113.6,64,114.6,114.8,111.5,241
乖離≥3・20倍以下・1位1.7/2-5位2.2,110.2,112.4,65,114.2,112.7,110.2,241
同上・EV最大の2頭まで,110.2,111.2,64,110.8,112.7,110.2,241
乖離≥3・20倍以下・1.7/2.2,110.2,112.4,65,114.2,112.7,110.2,241
距離0-1400m,104.4,107.1,25,106.3,110.9,104.4,98
頭数16-18のみ,104.0,118.6,26,104.0,159.9,106.5,98
クラス上級を除くのみ,100.0,114.9,58,125.7,118.9,100.0,208
較正を頭数別に分ける,97.9,108.0,62,114.2,112.6,97.9,243
クラス下級(1-2)のみ,97.0,113.8,44,119.2,129.1,97.0,161
乖離≥4・20倍以下・1.7/2.2,95.0,105.4,37,109.2,113.2,95.0,148
乖離≥2・20倍以下・1.7/2.2,93.4,109.0,87,110.4,126.2,93.4,324
頭数8-12のみ,89.4,111.3,22,98.0,89.4,149.1,72
クラス中級(3-4)のみ,85.3,118.6,14,142.1,85.3,114.9,47
乖離≥1・20倍以下・1.7/2.2,83.5,106.7,104,120.7,117.7,83.5,378
乖離≥0・20倍以下・1.7/2.2,79.3,105.1,107,122.4,115.2,79.3,395
距離1801-3600m,77.4,132.3,16,120.8,77.4,197.2,48
距離1401-1800m,77.3,107.8,24,118.5,133.4,77.3,94
頭数13-15のみ,76.2,104.6,17,150.4,86.6,76.2,69
乖離≥5・20倍以下・1.7/2.2,64.5,105.6,17,141.7,64.5,97.9,73
クラス上級(5+)のみ,42.6,96.5,7,42.6,76.1,177.6,33
