構成,点数,的中,的中率,ROI,100超年,年別
軸gap>=1.5 軸<10倍 馬単裏 相手gap>=1.6,205,3,1.4634146341463417,384.6829268292683,1,"{2021: np.float64(81.17021276595744), 2022: np.float64(0.0), 2025: np.float64(1826.4102564102564)}"
軸gap>=3.0 ワイド 相手gap>=1.3,325,7,2.1538461538461537,304.67692307692306,2,"{2021: np.float64(735.8536585365854), 2022: np.float64(415.9139784946237), 2023: np.float64(0.0), 2024: np.float64(0.0), 2025: np.float64(0.0)}"
軸gap>=3.0 馬連 相手gap>=1.3,325,4,1.2307692307692308,291.1384615384615,2,"{2021: np.float64(276.219512195122), 2022: np.float64(773.8709677419355), 2023: np.float64(0.0), 2024: np.float64(0.0), 2025: np.float64(0.0)}"
軸gap>=3.0 馬単裏 相手gap>=1.3,325,2,0.6153846153846154,270.5846153846154,2,"{2021: np.float64(275.4878048780488), 2022: np.float64(702.6881720430108), 2023: np.float64(0.0), 2024: np.float64(0.0), 2025: np.float64(0.0)}"
軸gap>=3.0 ワイド 相手上位2,640,25,3.90625,263.34375,3,"{2021: np.float64(395.7831325301205), 2022: np.float64(316.2878787878788), 2023: np.float64(467.2826086956522), 2024: np.float64(26.29032258064516), 2025: np.float64(87.6063829787234)}"
軸gap>=3.0 馬単表 相手gap>=1.3,325,2,0.6153846153846154,238.64615384615385,2,"{2021: np.float64(149.8780487804878), 2022: np.float64(701.8279569892474), 2023: np.float64(0.0), 2024: np.float64(0.0), 2025: np.float64(0.0)}"
軸gap>=2.0 馬単表 相手gap>=1.3,1978,9,0.455005055611729,216.97674418604652,2,"{2021: np.float64(71.8887262079063), 2022: np.float64(145.3674832962138), 2023: np.float64(7.256944444444445), 2024: np.float64(1564.141414141414), 2025: np.float64(8.38888888888889)}"
軸gap>=3.0 ワイド 相手上位3,960,32,3.3333333333333335,213.69791666666666,3,"{2021: np.float64(268.39357429718876), 2022: np.float64(265.050505050505), 2023: np.float64(473.2608695652174), 2024: np.float64(17.526881720430108), 2025: np.float64(67.02127659574468)}"
軸gap>=2.0 ワイド 相手gap>=1.6,602,19,3.1561461794019934,200.71428571428572,3,"{2021: np.float64(345.3070175438597), 2022: np.float64(185.66929133858267), 2023: np.float64(0.0), 2024: np.float64(269.0), 2025: np.float64(40.88709677419355)}"
軸gap>=3.0 単勝,320,15,4.6875,197.8125,3,"{2021: np.float64(488.0722891566265), 2022: np.float64(191.36363636363637), 2023: np.float64(118.47826086956522), 2024: np.float64(45.806451612903224), 2025: np.float64(35.0)}"
軸gap>=1.5 軸<10倍 馬連 相手gap>=1.6,205,5,2.4390243902439024,185.46341463414635,1,"{2021: np.float64(70.42553191489361), 2022: np.float64(0.0), 2025: np.float64(805.1282051282051)}"
軸gap>=3.0 ワイド 相手gap>=1.0,1034,22,2.127659574468085,183.65570599613153,3,"{2021: np.float64(273.75), 2022: np.float64(209.364406779661), 2023: np.float64(426.34615384615387), 2024: np.float64(0.0), 2025: np.float64(27.236842105263158)}"
軸gap>=2.0 軸<10倍 馬単表 相手上位3,1764,52,2.947845804988662,177.89115646258503,4,"{2021: np.float64(154.69418960244647), 2022: np.float64(172.27564102564102), 2023: np.float64(100.25641025641026), 2024: np.float64(81.21621621621621), 2025: np.float64(318.37270341207346)}"
軸gap>=3.0 馬連 相手上位2,640,7,1.09375,168.265625,2,"{2021: np.float64(174.81927710843374), 2022: np.float64(545.2272727272727), 2023: np.float64(0.0), 2024: np.float64(0.0), 2025: np.float64(35.638297872340424)}"
軸gap>=2.0 単勝,1891,203,10.735060814383923,156.98043363299843,3,"{2021: np.float64(177.6448598130841), 2022: np.float64(91.65333333333334), 2023: np.float64(227.14285714285714), 2024: np.float64(265.76763485477176), 2025: np.float64(86.5)}"
軸gap>=2.0 馬単表 相手上位3,5673,68,1.1986603208179094,155.66543275163053,3,"{2021: np.float64(98.66043613707166), 2022: np.float64(115.52), 2023: np.float64(58.61904761904762), 2024: np.float64(520.3319502074689), 2025: np.float64(122.71014492753623)}"
軸gap>=1.5 軸<10倍 馬単表 相手gap>=1.3,1776,34,1.9144144144144142,153.5472972972973,3,"{2021: np.float64(79.42622950819673), 2022: np.float64(274.09090909090907), 2023: np.float64(227.50830564784053), 2024: np.float64(69.5798319327731), 2025: np.float64(164.17508417508418)}"
軸gap>=3.0 馬単裏 相手上位2,640,4,0.625,152.890625,2,"{2021: np.float64(176.6265060240964), 2022: np.float64(495.07575757575756), 2023: np.float64(0.0), 2024: np.float64(0.0), 2025: np.float64(16.914893617021278)}"
軸gap>=2.0 ワイド 相手gap>=1.3,1978,66,3.336703741152679,147.0576339737108,3,"{2021: np.float64(180.43923865300147), 2022: np.float64(194.00890868596883), 2023: np.float64(32.25694444444444), 2024: np.float64(301.1111111111111), 2025: np.float64(32.27777777777778)}"
軸gap>=1.5 ワイド 相手gap>=1.6,1089,39,3.581267217630854,146.29017447199266,3,"{2021: np.float64(221.86274509803923), 2022: np.float64(135.08695652173913), 2023: np.float64(38.04054054054054), 2024: np.float64(174.45544554455446), 2025: np.float64(71.63366336633663)}"
軸gap>=1.5 軸<10倍 馬連 相手gap>=1.3,1776,53,2.9842342342342345,145.68693693693695,3,"{2021: np.float64(63.01639344262295), 2022: np.float64(268.06060606060606), 2023: np.float64(189.03654485049833), 2024: np.float64(53.78151260504202), 2025: np.float64(209.22558922558923)}"
軸gap>=2.0 馬連 相手gap>=1.3,1978,20,1.0111223458038423,142.75530839231547,2,"{2021: np.float64(69.57540263543191), 2022: np.float64(222.0489977728285), 2023: np.float64(80.86805555555556), 2024: np.float64(462.77777777777777), 2025: np.float64(56.19444444444444)}"
軸gap>=1.5 馬単表 相手gap>=1.3,6279,52,0.8281573498964804,138.0649784997611,2,"{2021: np.float64(75.16111707841031), 2022: np.float64(176.58291457286433), 2023: np.float64(84.35064935064935), 2024: np.float64(415.700365408039), 2025: np.float64(43.34222222222222)}"
軸gap>=3.0 馬単表 相手上位2,640,3,0.46875,136.203125,1,"{2021: np.float64(74.03614457831326), 2022: np.float64(494.469696969697), 2023: np.float64(0.0), 2024: np.float64(0.0), 2025: np.float64(51.11702127659574)}"
軸gap>=2.0 軸<10倍 単勝,588,145,24.65986394557823,128.35034013605443,4,"{2021: np.float64(125.41284403669725), 2022: np.float64(142.5), 2023: np.float64(123.23076923076923), 2024: np.float64(181.6216216216216), 2025: np.float64(93.38582677165354)}"
軸gap>=2.0 軸<10倍 馬連 相手上位3,1764,79,4.478458049886622,128.0952380952381,3,"{2021: np.float64(109.58715596330275), 2022: np.float64(125.7051282051282), 2023: np.float64(98.46153846153847), 2024: np.float64(84.41441441441441), 2025: np.float64(202.44094488188978)}"
軸gap>=1.5 軸<10倍 馬単裏 相手gap>=1.3,1776,19,1.0698198198198199,120.15202702702703,2,"{2021: np.float64(44.40983606557377), 2022: np.float64(256.3939393939394), 2023: np.float64(84.65116279069767), 2024: np.float64(20.92436974789916), 2025: np.float64(239.83164983164983)}"
軸gap>=2.0 ワイド 相手上位3,5673,322,5.676009166225983,118.41177507491626,4,"{2021: np.float64(123.93146417445483), 2022: np.float64(144.44444444444446), 2023: np.float64(130.33333333333334), 2024: np.float64(125.11756569847856), 2025: np.float64(80.0)}"
軸gap>=1.5 馬連 相手gap>=1.3,6279,98,1.560758082497213,118.26246217550566,3,"{2021: np.float64(71.77228786251342), 2022: np.float64(188.67910983488872), 2023: np.float64(111.19666048237477), 2024: np.float64(166.74786845310598), 2025: np.float64(79.40444444444445)}"
軸gap>=1.5 単勝,7135,1026,14.379817799579536,117.09880868955851,4,"{2021: np.float64(123.71716042481833), 2022: np.float64(103.21863799283155), 2023: np.float64(123.14460596786535), 2024: np.float64(167.06792777300086), 2025: np.float64(77.60297096556381)}"
軸gap>=1.5 軸<10倍 馬単表 相手上位3,10299,307,2.9808719293135257,117.04146033595495,4,"{2021: np.float64(80.98101265822785), 2022: np.float64(126.65601703940362), 2023: np.float64(122.8390993959363), 2024: np.float64(104.04721753794266), 2025: np.float64(166.13555892766817)}"
軸gap>=2.0 ワイド 相手上位2,3782,210,5.552617662612374,116.36964569011106,3,"{2021: np.float64(147.13084112149534), 2022: np.float64(149.85333333333332), 2023: np.float64(124.94642857142857), 2024: np.float64(89.89626556016597), 2025: np.float64(61.94565217391305)}"
軸gap>=2.0 馬単裏 相手gap>=1.3,1978,11,0.5561172901921132,114.9494438827098,2,"{2021: np.float64(55.710102489019036), 2022: np.float64(265.43429844097994), 2023: np.float64(125.59027777777777), 2024: np.float64(0.0), 2025: np.float64(94.36111111111111)}"
軸gap>=3.0 馬連 相手上位3,960,8,0.8333333333333334,113.88541666666667,2,"{2021: np.float64(123.13253012048193), 2022: np.float64(363.4848484848485), 2023: np.float64(0.0), 2024: np.float64(0.0), 2025: np.float64(23.75886524822695)}"
軸gap>=3.0 馬連 相手gap>=1.0,1034,8,0.7736943907156674,111.71179883945841,2,"{2021: np.float64(120.91666666666667), 2022: np.float64(304.95762711864404), 2023: np.float64(50.12820512820513), 2024: np.float64(0.0), 2025: np.float64(22.039473684210527)}"
軸gap>=2.0 馬単表 相手gap>=1.0,5850,36,0.6153846153846154,111.6,1,"{2021: np.float64(57.148125384142595), 2022: np.float64(73.79423868312757), 2023: np.float64(66.50963597430408), 2024: np.float64(477.7445652173913), 2025: np.float64(42.21225710014948)}"
軸gap>=2.0 馬連 相手上位3,5673,121,2.132910276749515,111.23038956460427,2,"{2021: np.float64(80.61682242990655), 2022: np.float64(148.59555555555556), 2023: np.float64(82.98809523809524), 2024: np.float64(181.93637621023512), 2025: np.float64(96.52173913043478)}"
軸gap>=1.5 軸<10倍 馬連 相手上位3,10299,518,5.029614525682105,110.06311292358481,4,"{2021: np.float64(72.95710267229255), 2022: np.float64(122.87539936102236), 2023: np.float64(109.61010433827568), 2024: np.float64(106.19449128724003), 2025: np.float64(155.16944865958524)}"
軸gap>=2.0 ワイド 相手gap>=1.0,5850,212,3.623931623931624,107.9094017094017,4,"{2021: np.float64(126.82851874615858), 2022: np.float64(126.61728395061728), 2023: np.float64(114.52890792291221), 2024: np.float64(132.52717391304347), 2025: np.float64(49.75336322869955)}"
軸gap>=2.0 馬連 相手gap>=1.0,5850,77,1.3162393162393162,107.49230769230769,4,"{2021: np.float64(131.65949600491703), 2022: np.float64(110.34567901234568), 2023: np.float64(105.32119914346895), 2024: np.float64(166.6576086956522), 2025: np.float64(44.48430493273543)}"
軸gap>=2.0 馬単裏 相手gap>=1.0,5850,41,0.7008547008547009,107.35897435897436,3,"{2021: np.float64(153.97049784880147), 2022: np.float64(129.35802469135803), 2023: np.float64(147.40899357601714), 2024: np.float64(25.054347826086957), 2025: np.float64(48.01943198804185)}"
軸gap>=3.0 複勝,320,39,12.1875,107.21875,2,"{2021: np.float64(180.0), 2022: np.float64(115.0), 2023: np.float64(96.95652173913044), 2024: np.float64(16.451612903225808), 2025: np.float64(72.44680851063829)}"
軸gap>=1.5 軸<10倍 ワイド 相手gap>=1.6,205,15,7.317073170731707,106.1951219512195,1,"{2021: np.float64(86.06382978723404), 2022: np.float64(22.43243243243243), 2025: np.float64(272.05128205128204)}"
軸gap>=1.5 ワイド 相手gap>=1.3,6279,283,4.507087115782768,105.88788023570632,3,"{2021: np.float64(120.91299677765844), 2022: np.float64(129.90667623833454), 2023: np.float64(67.57884972170686), 2024: np.float64(124.16565164433618), 2025: np.float64(74.64888888888889)}"
軸gap>=1.5 軸<10倍 ワイド 相手gap>=1.3,1776,146,8.220720720720722,105.71509009009009,2,"{2021: np.float64(81.8360655737705), 2022: np.float64(150.78787878787878), 2023: np.float64(93.52159468438538), 2024: np.float64(74.36974789915966), 2025: np.float64(142.15488215488216)}"
軸gap>=1.5 馬単表 相手上位3,21405,365,1.7052090633029666,104.95444989488438,2,"{2021: np.float64(84.06558598844792), 2022: np.float64(114.25328554360813), 2023: np.float64(81.70364702881918), 2024: np.float64(173.4078532530811), 2025: np.float64(88.19266261534999)}"
軸gap>=3.0 馬単表 相手gap>=1.0,1034,4,0.3868471953578337,104.41972920696325,2,"{2021: np.float64(51.208333333333336), 2022: np.float64(276.56779661016947), 2023: np.float64(133.33333333333334), 2024: np.float64(0.0), 2025: np.float64(31.611842105263158)}"
軸gap>=1.5 軸<10倍 単勝,3433,839,24.439265948150307,104.01980774832508,3,"{2021: np.float64(97.18354430379746), 2022: np.float64(112.90734824281151), 2023: np.float64(112.8171334431631), 2024: np.float64(114.03035413153457), 2025: np.float64(88.30045523520485)}"
軸gap>=1.5 馬単裏 相手gap>=1.6,1089,7,0.642791551882461,103.40679522497705,2,"{2021: np.float64(30.784313725490197), 2022: np.float64(28.043478260869566), 2023: np.float64(0.0), 2024: np.float64(185.14851485148515), 2025: np.float64(370.7920792079208)}"
軸gap>=2.0 軸<10倍 馬単表 相手gap>=1.0,1030,22,2.1359223300970873,102.59223300970874,3,"{2021: np.float64(114.97727272727273), 2022: np.float64(135.5), 2023: np.float64(114.01960784313725), 2024: np.float64(85.64516129032258), 2025: np.float64(45.869565217391305)}"
軸gap>=1.5 馬単裏 相手gap>=1.3,6279,47,0.7485268354833572,102.2105430801083,3,"{2021: np.float64(54.1890440386681), 2022: np.float64(181.18449389806173), 2023: np.float64(109.10946196660483), 2024: np.float64(61.985383678440925), 2025: np.float64(106.64888888888889)}"
軸gap>=3.0 馬単裏 相手上位3,960,4,0.4166666666666667,101.92708333333333,2,"{2021: np.float64(117.75100401606426), 2022: np.float64(330.050505050505), 2023: np.float64(0.0), 2024: np.float64(0.0), 2025: np.float64(11.27659574468085)}"
軸gap>=2.0 軸<10倍 ワイド 相手上位3,1764,197,11.16780045351474,101.34920634920636,2,"{2021: np.float64(107.18654434250764), 2022: np.float64(88.84615384615384), 2023: np.float64(62.82051282051282), 2024: np.float64(70.90090090090091), 2025: np.float64(139.0288713910761)}"
