構成,y2021,y2022,y2023,y2024,y2025,通算,CI下,最低年,P100,的中,R数
現行(1.7/2.2/20倍/乖離3/人気3),90.5,114.5,122.2,116.6,134.1,117.0,93.0,90.5,90.6,93,1097
EV 1.5/2.0,100.1,92.3,112.2,87.3,119.4,103.2,82.9,87.3,59.6,113,1503
EV 1.5/2.2,80.8,109.8,119.1,105.4,126.8,109.8,84.7,80.8,76.3,99,1215
EV 1.5/2.6,72.5,99.1,115.8,112.2,133.9,109.5,82.5,72.5,73.4,75,870
EV 1.5/3.0,89.8,114.8,121.6,108.4,77.9,102.0,72.6,77.9,52.9,64,715
EV 1.7/2.0,109.6,94.0,114.2,93.7,124.5,108.2,85.9,93.7,74.2,107,1388
EV 1.7/2.2,90.5,114.5,122.2,116.6,134.1,117.0,90.8,90.5,88.9,93,1097
EV 1.7/2.6,86.8,103.7,121.2,131.8,143.3,120.3,89.1,86.8,88.8,68,747
EV 1.7/3.0,113.9,124.9,129.7,132.5,81.4,114.5,82.6,81.4,78.1,57,590
EV 1.9/2.0,111.3,102.2,109.8,94.3,130.5,110.2,86.8,94.3,77.5,96,1279
EV 1.9/2.2,90.9,127.8,118.7,119.4,143.4,121.0,93.2,90.9,91.8,82,984
EV 1.9/2.6,86.7,122.1,115.5,138.6,157.8,127.0,89.8,86.7,91.9,57,634
EV 1.9/3.0,119.9,153.8,123.7,141.8,86.1,122.1,83.0,86.1,86.8,46,477
EV 2.1/2.0,110.7,92.8,97.0,70.3,130.4,100.8,77.7,70.3,51.9,79,1189
EV 2.1/2.2,88.0,118.8,102.2,89.3,144.0,109.6,82.9,88.0,73.7,65,893
EV 2.1/2.6,80.7,106.8,87.9,89.3,159.8,109.6,71.9,80.7,67.1,40,540
EV 2.1/3.0,120.2,143.3,84.7,71.4,81.7,96.5,57.7,71.4,41.6,29,382
EV 2.3/2.0,115.9,95.9,91.3,71.6,129.4,100.7,75.1,71.6,49.7,71,1123
EV 2.3/2.2,93.4,125.6,94.8,93.4,144.6,110.6,80.0,93.4,73.8,57,824
EV 2.3/2.6,91.2,118.5,58.7,97.2,163.0,108.4,68.3,58.7,63.1,31,468
EV 2.3/3.0,147.4,170.6,37.1,79.6,70.4,91.9,48.7,37.1,35.0,20,309
オッズ 0〜12倍,66.5,109.9,154.9,171.0,96.1,121.9,82.2,66.5,84.3,35,298
オッズ 0〜15倍,71.9,140.2,133.6,141.1,124.9,124.8,91.2,71.9,91.9,58,551
オッズ 0〜25倍,92.2,93.4,108.9,96.2,101.4,99.1,77.9,92.2,45.1,109,1662
オッズ 0〜30倍,72.3,99.1,119.3,85.7,93.1,94.9,75.5,72.3,30.5,121,2203
オッズ 5〜20倍,90.5,114.5,122.2,117.3,133.7,117.1,90.4,90.5,88.1,92,1095
オッズ 7〜20倍,90.5,115.2,124.5,116.4,139.4,118.6,90.9,90.5,90.4,90,1071
オッズ 5〜15倍,71.9,140.2,133.6,142.7,124.1,124.9,93.0,71.9,92.9,57,549
乖離>=2,69.4,93.6,113.9,121.5,109.0,103.2,82.0,69.4,64.4,116,1466
乖離>=4,76.8,86.1,121.9,127.4,123.3,109.0,77.5,76.8,69.1,55,691
乖離>=5,74.0,42.5,185.5,64.2,134.6,105.3,62.2,42.5,58.2,26,359
乖離>=6,52.7,22.0,36.0,115.8,0.0,47.1,13.5,0.0,1.5,7,162
相手人気<=1,108.2,89.8,145.5,112.5,112.8,115.9,89.2,89.8,87.9,93,1097
相手人気<=2,108.5,83.7,121.7,123.7,148.2,119.5,92.9,83.7,90.7,93,1097
相手人気<=4,92.6,113.1,110.0,103.8,120.1,108.6,85.1,92.6,75.9,93,1097
相手人気<=5,85.9,105.9,128.2,111.3,112.1,110.2,85.7,85.9,76.5,93,1097
OP以上を除外,64.9,108.8,136.7,125.3,122.6,113.7,86.8,64.9,83.4,79,958
下級のみ(未勝利1勝),44.2,65.1,134.5,111.4,119.3,97.9,69.2,44.2,43.9,58,749
芝のみ,101.9,170.0,147.4,122.8,189.8,148.9,110.8,101.9,99.4,61,589
ダートのみ,80.7,57.9,86.1,108.8,69.2,80.3,50.1,57.9,9.5,32,508
単勝のみ,123.8,103.9,114.6,114.8,111.5,113.7,91.2,103.9,87.9,93,1097
馬単のみ,63.0,123.4,128.6,118.1,153.1,119.8,87.8,63.0,88.0,54,1094
相手人気2 × オッズ15,86.2,89.6,127.0,169.4,130.8,124.2,90.5,86.2,91.4,58,551
相手人気2 × OP除外,77.7,70.4,135.6,130.4,133.0,112.5,85.3,70.4,79.5,79,958
オッズ15 × OP除外,70.1,142.7,148.7,146.8,121.8,128.6,89.1,70.1,91.2,52,487
相手人気2 × オッズ15 × OP除外,84.1,86.8,141.5,174.6,124.6,125.5,86.4,84.1,88.2,52,487
EV1.9/2.6 × 相手人気2,102.8,94.0,96.1,167.0,169.6,128.5,91.5,94.0,92.9,57,634
