券種,レース条件,馬,オッズ,人気,点数,的中,ROI,CI下,最悪年,年100超
複勝,長距離1900+,MF複勝1位,1-5,人気1-3,2498,1696,88.1,85.6,86.7,0
複勝,長距離1900+,MF複勝1位,1-5,人気不問,2499,1697,88.1,85.6,86.7,0
複勝,堅いR(1人気=MF1位),MF複勝1位,1-20,人気1-6,8137,5629,86.8,85.5,85.1,0
複勝,少頭数-12,MF複勝1位,1-20,人気1-3,3654,2544,87.5,85.5,84.2,0
複勝,少頭数-12,MF複勝1位,1-10,人気1-3,3654,2544,87.5,85.5,84.2,0
複勝,堅いR(1人気=MF1位),MF複勝1位,1-20,人気1-3,8137,5629,86.8,85.5,85.1,0
複勝,堅いR(1人気=MF1位),MF複勝1位,1-5,人気1-3,8115,5622,86.8,85.5,85.0,0
複勝,堅いR(1人気=MF1位),MF複勝1位,1-5,人気不問,8115,5622,86.8,85.5,85.0,0
複勝,長距離1900+,MF複勝1位,1-5,人気1-6,2499,1697,88.1,85.5,86.7,0
複勝,堅いR(1人気=MF1位),MF複勝1位,1-20,人気不問,8137,5629,86.8,85.4,85.1,0
複勝,堅いR(1人気=MF1位),MF複勝1位,1-5,人気1-6,8115,5622,86.8,85.4,85.0,0
複勝,堅いR(1人気=MF1位),MF複勝1位,1-10,人気1-6,8137,5629,86.8,85.4,85.1,0
複勝,堅いR(1人気=MF1位),MF複勝1位,1-10,人気不問,8137,5629,86.8,85.4,85.1,0
複勝,堅いR(1人気=MF1位),MF複勝2位以内,1-5,人気不問,11185,7391,86.5,85.3,85.0,0
複勝,堅いR(1人気=MF1位),MF複勝2位以内,1-5,人気1-3,11178,7386,86.5,85.3,85.0,0
複勝,堅いR(1人気=MF1位),MF複勝1位,1-10,人気1-3,8137,5629,86.8,85.3,85.1,0
複勝,堅いR(1人気=MF1位),MF複勝2位以内,1-5,人気1-6,11185,7391,86.5,85.2,85.0,0
複勝,少頭数-12,MF複勝1位,1-5,人気1-3,3450,2443,87.0,85.1,85.5,0
複勝,ダート,MF複勝1位,1-5,人気不問,5394,3577,86.7,85.1,85.4,0
複勝,少頭数-12,MF複勝1位,1-5,人気不問,3460,2450,87.1,85.1,85.5,0
複勝,少頭数-12,MF複勝1位,1-5,人気1-6,3460,2450,87.1,85.1,85.5,0
複勝,少頭数-12,MF複勝1位,1-20,人気1-6,3894,2637,87.1,85.0,84.8,0
複勝,ダート,MF複勝1位,1-5,人気1-3,5388,3572,86.7,85.0,85.2,0
複勝,長距離1900+,MF複勝1位,1-20,人気1-3,2731,1789,87.3,84.9,85.5,0
複勝,長距離1900+,MF複勝1位,1-10,人気1-3,2730,1789,87.4,84.9,85.5,0
複勝,少頭数-12,MF複勝1位,1-10,人気1-6,3852,2621,86.9,84.9,84.0,0
複勝,少頭数-12,MF複勝1位,1-10,人気不問,3852,2621,86.9,84.9,84.0,0
複勝,堅いR(1人気=MF1位),MF複勝3位以内,1-5,人気不問,13124,8428,86.0,84.9,84.8,0
複勝,堅いR(1人気=MF1位),MF複勝3位以内,1-5,人気1-3,13100,8416,86.0,84.9,84.8,0
複勝,堅いR(1人気=MF1位),MF複勝3位以内,1-5,人気1-6,13124,8428,86.0,84.9,84.8,0
複勝,ダート,MF複勝1位,1-20,人気1-3,5941,3810,86.5,84.8,84.4,0
複勝,全体,MF複勝1位,1-5,人気1-6,10920,7194,86.0,84.8,84.2,0
複勝,全体,MF複勝1位,1-5,人気不問,10920,7194,86.0,84.8,84.2,0
複勝,ダート,MF複勝1位,1-5,人気1-6,5394,3577,86.7,84.8,85.4,0
複勝,ダート,MF複勝1位,1-10,人気1-3,5937,3809,86.5,84.8,84.4,0
複勝,ダート,MF複勝3位以内,1-5,人気1-6,11478,7080,86.0,84.7,85.3,0
複勝,ダート,MF複勝3位以内,1-5,人気不問,11478,7080,86.0,84.7,85.3,0
複勝,全体,MF複勝1位,1-5,人気1-3,10905,7182,85.9,84.7,84.1,0
複勝,少頭数-12,MF複勝2位以内,1-5,人気不問,6116,4136,86.1,84.6,84.9,0
複勝,少頭数-12,MF複勝2位以内,1-10,人気1-3,7050,4589,86.3,84.6,84.2,0
複勝,少頭数-12,MF複勝2位以内,1-20,人気1-3,7069,4597,86.3,84.6,84.3,0
複勝,少頭数-12,MF複勝1位,1-20,人気不問,3908,2638,86.8,84.6,84.6,0
複勝,ダート,MF複勝3位以内,1-5,人気1-3,11451,7063,86.0,84.6,85.3,0
複勝,ダート,MF複勝2位以内,1-5,人気不問,9299,5848,85.9,84.5,84.8,0
複勝,ダート,MF複勝2位以内,1-5,人気1-3,9286,5839,85.9,84.5,84.8,0
複勝,ダート,MF複勝2位以内,1-5,人気1-6,9299,5848,85.9,84.5,84.8,0
複勝,堅いR(1人気=MF1位),MF複勝5位以内,1-5,人気1-6,14506,9130,85.6,84.5,84.1,0
複勝,堅いR(1人気=MF1位),MF複勝5位以内,1-5,人気1-3,14464,9109,85.6,84.5,84.2,0
複勝,少頭数-12,MF複勝2位以内,1-5,人気1-6,6116,4136,86.1,84.5,84.9,0
複勝,少頭数-12,MF複勝2位以内,1-5,人気1-3,6096,4122,86.1,84.5,84.8,0
複勝,長距離1900+,MF複勝1位,1-20,人気不問,2955,1867,87.1,84.4,85.4,0
複勝,堅いR(1人気=MF1位),MF複勝5位以内,1-5,人気不問,14506,9130,85.6,84.4,84.1,0
複勝,長距離1900+,MF複勝1位,1-20,人気1-6,2936,1861,86.9,84.3,85.5,0
複勝,少頭数-12,MF複勝2位以内,1-20,人気1-6,8006,4957,85.8,84.3,84.3,0
複勝,全体,MF複勝2位以内,1-5,人気不問,18920,11900,85.3,84.3,83.9,0
複勝,全体,MF複勝1位,1-10,人気1-3,12066,7656,85.4,84.2,83.2,0
複勝,長距離1900+,MF複勝1位,1-10,人気不問,2890,1843,86.5,84.2,84.7,0
複勝,全体,MF複勝1位,1-20,人気1-3,12073,7658,85.4,84.2,83.2,0
複勝,少頭数-12,MF複勝2位以内,1-10,人気不問,7718,4863,85.8,84.2,83.6,0
複勝,少頭数-12,MF複勝3位以内,1-20,人気1-3,9637,5960,85.6,84.2,83.3,0
複勝,少頭数-12,MF複勝2位以内,1-10,人気1-6,7718,4863,85.8,84.2,83.6,0
複勝,全体,MF複勝2位以内,1-5,人気1-3,18888,11877,85.2,84.2,83.8,0
