買い方,基準,条件,点数,的中,通算ROI,y2021,y2022,y2023,y2024,y2025,100超年数,最悪年
単勝,勝率,全体/勝率1位/1-99倍,12751,3693,82.6,81.8,81.4,81.8,88.9,79.0,0,79.0
複勝,勝率,全体/勝率1位/1-99倍,12751,7486,83.9,83.1,80.4,84.0,87.7,83.9,0,80.4
単勝,勝率,全体/勝率2位/1-99倍,27855,6552,82.1,79.8,80.9,80.7,88.1,81.2,0,79.8
複勝,勝率,全体/勝率2位/1-99倍,27855,14697,82.9,81.2,81.9,83.4,84.6,83.3,0,81.2
単勝,勝率,全体/勝率3位/1-99倍,42603,8610,83.0,81.1,86.2,84.5,83.9,79.6,0,79.6
複勝,勝率,全体/勝率3位/1-99倍,42603,20495,82.1,82.0,82.3,82.4,82.5,81.5,0,81.5
馬単表,勝率,全体/勝率1位軸x勝率上位2/1-99倍,10451,747,75.8,69.7,72.9,82.2,80.4,72.3,0,69.7
馬単裏,勝率,全体/勝率1位軸x勝率上位2/1-99倍,10451,562,78.3,82.4,69.5,75.3,89.4,75.9,0,69.5
馬連,勝率,全体/勝率1位軸x勝率上位2/1-99倍,10451,1307,80.0,80.7,75.9,79.8,86.2,77.5,0,75.9
ワイド,勝率,全体/勝率1位軸x勝率上位2/1-99倍,10451,2656,79.6,74.9,80.9,79.8,81.0,80.2,0,74.9
馬単表,勝率,全体/勝率1位軸x勝率上位3/1-99倍,23524,1394,76.7,69.6,77.7,82.0,84.6,68.1,0,68.1
馬単裏,勝率,全体/勝率1位軸x勝率上位3/1-99倍,23524,1033,77.1,73.4,72.9,80.7,79.5,77.9,0,72.9
馬連,勝率,全体/勝率1位軸x勝率上位3/1-99倍,23524,2423,79.3,74.4,78.5,81.8,84.6,75.9,0,74.4
ワイド,勝率,全体/勝率1位軸x勝率上位3/1-99倍,23524,5288,80.4,76.3,83.6,81.9,81.8,77.5,0,76.3
馬単表,勝率,全体/勝率1位軸x勝率上位4/1-99倍,36371,1912,78.5,70.0,80.2,81.5,86.4,72.5,0,70.0
馬単裏,勝率,全体/勝率1位軸x勝率上位4/1-99倍,36371,1351,75.6,70.1,75.0,78.4,77.8,75.6,0,70.1
馬連,勝率,全体/勝率1位軸x勝率上位4/1-99倍,36371,3258,79.9,73.9,80.7,81.7,84.8,77.2,0,73.9
ワイド,勝率,全体/勝率1位軸x勝率上位4/1-99倍,36371,7473,81.6,77.9,84.7,80.7,86.0,78.1,0,77.9
馬単表,勝率,全体/勝率1位軸x勝率上位5/1-99倍,48861,2310,77.5,67.6,77.0,77.9,87.8,74.9,0,67.6
馬単裏,勝率,全体/勝率1位軸x勝率上位5/1-99倍,48861,1569,72.2,63.7,69.9,83.0,69.2,72.7,0,63.7
馬連,勝率,全体/勝率1位軸x勝率上位5/1-99倍,48861,3873,78.0,69.0,77.2,81.4,83.6,76.8,0,69.0
ワイド,勝率,全体/勝率1位軸x勝率上位5/1-99倍,48861,9081,80.7,77.2,79.5,82.3,83.8,80.0,0,77.2
馬単表,勝率,全体/勝率1位軸x勝率上位6/1-99倍,61690,2643,76.6,69.2,77.2,77.9,84.0,73.2,0,69.2
馬単裏,勝率,全体/勝率1位軸x勝率上位6/1-99倍,61690,1753,71.7,68.5,68.7,78.6,70.6,71.2,0,68.5
馬連,勝率,全体/勝率1位軸x勝率上位6/1-99倍,61690,4388,77.5,72.4,77.3,79.6,82.2,74.7,0,72.4
ワイド,勝率,全体/勝率1位軸x勝率上位6/1-99倍,61690,10478,80.4,76.8,78.2,83.8,83.7,78.3,0,76.8
馬単表,勝率,全体/勝率2位軸x勝率上位3/1-99倍,27550,1595,77.5,71.7,77.4,81.6,84.2,72.2,0,71.7
馬単裏,勝率,全体/勝率2位軸x勝率上位3/1-99倍,27550,1196,76.2,68.5,73.2,80.9,80.8,77.3,0,68.5
馬連,勝率,全体/勝率2位軸x勝率上位3/1-99倍,27550,2786,79.4,73.7,78.3,82.0,84.5,78.2,0,73.7
ワイド,勝率,全体/勝率2位軸x勝率上位3/1-99倍,27550,6125,80.3,75.2,83.9,81.1,82.1,79.1,0,75.2
馬単表,勝率,全体/勝率2位軸x勝率上位4/1-99倍,42568,2187,78.4,69.1,79.4,80.8,87.2,75.4,0,69.1
馬単裏,勝率,全体/勝率2位軸x勝率上位4/1-99倍,42568,1557,75.7,66.4,80.6,77.3,79.7,74.3,0,66.4
馬連,勝率,全体/勝率2位軸x勝率上位4/1-99倍,42568,3738,79.9,71.6,82.5,80.8,85.7,78.8,0,71.6
ワイド,勝率,全体/勝率2位軸x勝率上位4/1-99倍,42568,8628,81.4,76.8,85.1,80.1,86.2,79.1,0,76.8
馬単表,勝率,全体/勝率2位軸x勝率上位5/1-99倍,57204,2631,77.5,67.0,75.4,81.2,87.5,76.2,0,67.0
馬単裏,勝率,全体/勝率2位軸x勝率上位5/1-99倍,57204,1815,72.5,63.6,74.8,80.7,70.4,72.3,0,63.6
馬連,勝率,全体/勝率2位軸x勝率上位5/1-99倍,57204,4439,78.3,68.7,78.3,82.7,83.5,77.9,0,68.7
