feature,importance
人気,0.917223092558227
母父系_今回距離適性,0.5021665596685805
クラス変化,0.22399167625767363
距離×クラス_過去勝率,0.12348733653777108
前走間隔,0.12071693024260487
前走着順,0.09961572406187841
父系_複勝率,0.06105466509826074
前走着順×人気_乖離,0.05605972895861784
同距離過去勝率,0.05418386265271603
父系_芝ダ適性,0.04821311318659202
回,0.0481193125881288
騎手勝率_レース内偏差,0.042056528586493315
父系_今回距離適性_レース内偏差,0.041966466941166056
過去平均獲得賞金,0.03836702736171719
同距離過去平均着順,0.03779401435525751
過去平均上り_レース内偏差,0.03760584619334589
競馬場cd,0.036973332883770596
重賞出走フラグ,0.034912595675209386
メンバー過去勝率平均,0.034607532705844865
過去勝率,0.029157124502132786
連闘,0.026598275352331686
接戦×人気薄,0.025915604352552433
直線長変化,0.02573940137168805
賞金_対相手,0.022748874082848893
乗り替わり,0.022601650758042626
距離別過去平均着順,0.020993925372096392
回り替わりフラグ,0.020695310193399322
レース内_騎手勝率ランク,0.0201799778448449
メンバー賞金平均,0.020030277582969918
芝ダート×先行_過去勝率,0.01764066786259851
コース差し複勝率,0.016935486680655365
直近3走平均着順_レース内偏差,0.01644964081527091
過去複勝率_レース内偏差,0.015849746810612634
クラス_num,0.015237569843835534
父系_今回距離適性,0.014900196837076038
過去獲得賞金累計,0.014753373679062702
過去平均4角位置,0.014585594194134912
馬体重_相対,0.014335504771003552
過去獲得賞金累計_レース内偏差,0.013852062495372458
過去平均体重増減,0.013816434462139541
年齢,0.013316184758136819
過去勝率_レース内偏差,0.013091143485570738
距離変化比率,0.012518136690490164
過去勝率_対相手,0.01199813586946977
父系_長距離勝率,0.011977897457309657
馬主勝率_sm,0.011803174049975086
直近5走平均着順_レース内偏差,0.011748206455406423
体重増減_異常度,0.011223179053557505
過去重賞出走数,0.011192401130954169
馬主勝率,0.01101509207445622
騎手勝率_sm,0.010991235139406764
回り別_過去勝率,0.01040815322636663
差し有利コース×差し馬,0.010137087927350174
レース番号,0.009883430869521401
コース好走相対4角,0.009075687206023862
調教師勝率,0.008885987742355472
直近5走複勝数,0.008799385548055445
過去出走数,0.008766220703528695
騎手勝率,0.008714079529606386
過去着順_std,0.008695123457455468
上り偏差,0.008678881701153782
距離変化,0.008673814205189064
直近5走着順_std,0.00864180312892934
過去最速上り,0.008597393519049869
過去平均先行指数,0.008528269148015865
前走脚質指数,0.008456953040464985
騎手複勝率,0.008448303028099244
直近3走平均上り,0.00842245816459681
競馬場過去平均着順,0.008405248021037932
レース内_過去平均上りランク,0.00834772654583628
斤量_相対,0.008338183852894554
斤量×年齢_負担,0.008105302420242941
出走頭数,0.008097986170356297
直近5走勝利数,0.008080188372239217
休み明け,0.008067244762762629
馬体重,0.008057556409250833
調教師複勝率,0.008008972426925642
過去最速タイム秒,0.007906339615073367
過去平均着順,0.007904942652847573
メンバー過去勝率最大,0.00789251930746722
