母父名,母父_産駒数,母父_勝率,母父_連対率,母父_複勝率,母父_芝勝率,母父_ダート勝率,母父_短距離勝率,母父_中距離勝率,母父_長距離勝率,母父_良馬場勝率,母父_重馬場勝率,母父_平均着順
Acquant,9,0.1111111111111111,0.6666666666666666,0.8888888888888888,,0.1111111111111111,,0.1111111111111111,,0.14285714285714285,0.0,2.4444444444444446
Always Auditioning,7,0.0,0.0,0.2857142857142857,,0.0,,0.0,0.0,0.0,0.0,7.0
Appealing Stella,5,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,10.6
Beauty and Light,8,0.375,0.5,0.5,0.0,0.42857142857142855,0.375,,,0.5,0.0,5.375
Bellini Sunrise,11,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,8.363636363636363
Blading Gold Ring,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
Bodacious Babe,5,0.2,0.2,0.2,,0.2,,0.2,,0.0,1.0,7.6
Broadway Lullaby,6,0.0,0.16666666666666666,0.16666666666666666,0.0,,0.0,,,0.0,0.0,5.5
Cabaret Starlet,6,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,,0.0,0.0,9.166666666666666
Cape Elizabeth,5,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,13.4
Careless Jewel,7,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.3333333333333333,0.0,0.5,0.2,,0.2857142857142857,,7.714285714285714
Cat's Fair,7,0.0,0.14285714285714285,0.2857142857142857,,0.0,0.0,0.0,,0.0,0.0,6.857142857142857
Coco as in Chanel,7,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,,0.0,0.0,10.428571428571429
Cocoa Cowgirl,7,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.0,0.16666666666666666,0.14285714285714285,,,0.0,1.0,9.714285714285714
Combat's Love,6,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,,0.0,0.0,9.166666666666666
Country Cafe,10,0.2,0.3,0.3,0.0,0.2222222222222222,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,6.3
Cowgirl Lucky,8,0.25,0.375,0.5,,0.25,0.0,0.3333333333333333,,0.4,0.0,4.875
Crescent Moon,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,12.4
Date to Remember,5,0.0,0.2,0.2,0.0,0.0,,0.0,,0.0,0.0,6.8
Diamante,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.166666666666666
Dupe,5,0.2,0.6,0.8,0.2,,,0.2,,0.2,,2.4
Espial,17,0.058823529411764705,0.17647058823529413,0.29411764705882354,0.0,0.1,0.09090909090909091,0.0,,0.0,0.2,6.0
Fashionable,6,0.3333333333333333,0.5,0.5,0.3333333333333333,,0.0,0.6666666666666666,,0.25,,5.5
For Passion,13,0.23076923076923078,0.23076923076923078,0.38461538461538464,,0.23076923076923078,0.25,0.0,,0.25,0.0,6.769230769230769
Fraulein,5,0.0,0.2,0.2,0.0,0.0,,0.0,,0.0,,6.6
Frolic's Revenge,8,0.25,0.375,0.375,,0.25,,0.2,0.3333333333333333,0.16666666666666666,1.0,5.625
Glinda the Good,5,0.2,0.8,1.0,,0.2,0.2,,,0.0,,2.0
Glorious Success,5,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,7.6
Golden Made,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4
Gracious Lady,8,0.375,0.375,0.375,,0.375,0.375,,,0.2,1.0,5.0
Her Smile,6,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,11.833333333333334
Ilikecandy,12,0.25,0.3333333333333333,0.5833333333333334,,0.25,0.3333333333333333,0.2222222222222222,,0.2222222222222222,0.5,6.166666666666667
Into Reality,5,0.0,0.2,0.4,0.0,0.0,0.0,0.0,,0.0,0.0,8.4
Invitation,6,0.0,0.0,0.16666666666666666,0.0,0.0,,0.0,0.0,0.0,0.0,9.333333333333334
Jillnextdoor,5,0.2,0.2,0.2,0.0,0.25,0.5,0.0,,0.0,1.0,6.6
Kerry's Dream,6,0.16666666666666666,0.5,0.6666666666666666,0.0,0.2,0.2,0.0,,0.0,0.0,5.5
Kitten's Peak,14,0.14285714285714285,0.2857142857142857,0.35714285714285715,0.0,0.15384615384615385,0.14285714285714285,,,0.1111111111111111,0.25,5.071428571428571
Little Miss Muffet,10,0.4,0.5,0.7,0.4,,0.3333333333333333,0.5,0.0,0.16666666666666666,0.5,3.9
Love and Pride,5,0.2,0.4,0.6,0.0,0.25,,0.2,,0.3333333333333333,0.0,3.6
Maltese Googol,9,0.0,0.2222222222222222,0.3333333333333333,,0.0,0.0,0.0,0.0,0.0,0.0,7.777777777777778
Mare and Cher,8,0.125,0.125,0.125,,0.125,0.14285714285714285,0.0,,0.16666666666666666,0.0,7.5
Maria's Dance,8,0.0,0.375,0.375,0.0,0.0,0.0,,,0.0,,6.5
Mary's Follies,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,1.0,,0.6666666666666666,,0.5,1.0,5.5
Mayoress,5,0.0,0.0,0.2,,0.0,,0.0,0.0,0.0,0.0,7.2
