父名,父_産駒数,父_勝率,父_連対率,父_複勝率,父_芝勝率,父_ダート勝率,父_短距離勝率,父_中距離勝率,父_長距離勝率,父_良馬場勝率,父_重馬場勝率,父_平均着順
Adios Charlie,6,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,8.166666666666666
Air Force Blue,39,0.07692307692307693,0.10256410256410256,0.20512820512820512,0.0,0.10344827586206896,0.11764705882352941,0.047619047619047616,0.0,0.08695652173913043,0.0,6.743589743589744
Al Wukair,10,0.1,0.3,0.5,0.1,,0.0,0.1111111111111111,,0.125,0.0,3.9
Almanzor,18,0.05555555555555555,0.1111111111111111,0.1111111111111111,0.08333333333333333,0.0,0.5,0.0,,0.0,0.0,7.944444444444445
Always Dreaming,7,0.14285714285714285,0.42857142857142855,0.42857142857142855,,0.14285714285714285,,0.14285714285714285,,0.0,0.0,6.0
American Pharoah,377,0.16976127320954906,0.2440318302387268,0.32625994694960214,0.14705882352941177,0.17475728155339806,0.17218543046357615,0.17272727272727273,0.0,0.15953307392996108,0.21153846153846154,7.1485411140583555
Archarcharch,32,0.0,0.03125,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.78125
Army Mule,9,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.0,0.125,0.1111111111111111,,,0.14285714285714285,,6.555555555555555
Arrogate,126,0.1746031746031746,0.2698412698412698,0.35714285714285715,0.15384615384615385,0.17699115044247787,0.09090909090909091,0.20192307692307693,0.0,0.09876543209876543,0.29411764705882354,6.198412698412699
Australia,32,0.03125,0.03125,0.0625,0.034482758620689655,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,9.125
Authorized,12,0.25,0.4166666666666667,0.5833333333333334,0.2727272727272727,0.0,,0.16666666666666666,0.3333333333333333,0.0,1.0,4.833333333333333
Awesome Again,6,0.0,0.0,0.16666666666666666,,0.0,,0.0,0.0,0.0,,6.333333333333333
Bated Breath,13,0.07692307692307693,0.07692307692307693,0.23076923076923078,0.08333333333333333,0.0,0.125,0.0,,0.0,0.0,7.384615384615385
Bayern,13,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.1111111111111111,0.5,0.0,0.25,,0.1111111111111111,0.5,6.230769230769231
Belardo,7,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,,0.0,,8.142857142857142
Bernardini,59,0.1016949152542373,0.15254237288135594,0.22033898305084745,0.07692307692307693,0.10869565217391304,0.10810810810810811,0.1,0.0,0.05128205128205128,0.3333333333333333,8.271186440677965
Blame,40,0.025,0.075,0.15,0.0,0.05,0.0,0.045454545454545456,0.0,0.04,0.0,9.0
Blue Point,15,0.06666666666666667,0.13333333333333333,0.3333333333333333,0.1,0.0,0.07142857142857142,0.0,,0.08333333333333333,0.0,8.933333333333334
Bobby's Kitten,35,0.11428571428571428,0.22857142857142856,0.42857142857142855,0.0,0.125,0.1111111111111111,0.11764705882352941,,0.05555555555555555,0.25,5.9714285714285715
Bolt d'Oro,16,0.0625,0.125,0.1875,0.06666666666666667,0.0,0.07142857142857142,0.0,,0.0,0.25,9.9375
Brazen Beau,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.142857142857142
Bullet Train,7,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,9.285714285714286
