券種,構成,R数,点数,的中率,ROI2024,ROI2025,通算,CI下,最低年,採用可
複勝,順位差≥2 20倍以下（複勝）,1266,1.0,37.7,84.4,70.1,77.2,71.3,70.1,False
単勝,順位差≥2 20倍以下（単勝）,1266,1.0,10.7,76.7,57.9,67.1,55.4,57.9,False
複勝,順位差≥2 上限なし（複勝）,1330,1.0,36.5,83.3,70.9,77.0,71.0,70.9,False
単勝,順位差≥2 上限なし（単勝）,1330,1.0,10.6,79.6,68.2,73.8,60.0,68.2,False
複勝,順位差≥3 20倍以下（複勝）,639,1.0,31.6,83.8,70.8,77.2,68.0,70.8,False
単勝,順位差≥3 20倍以下（単勝）,639,1.0,8.0,70.3,64.1,67.2,48.7,64.1,False
複勝,順位差≥3 上限なし（複勝）,703,1.0,29.9,81.6,72.3,76.8,67.2,72.3,False
単勝,順位差≥3 上限なし（単勝）,703,1.0,8.0,76.3,82.9,79.7,56.8,76.3,False
複勝,順位差≥4 20倍以下（複勝）,328,1.0,26.5,81.5,72.3,76.7,62.2,72.3,False
単勝,順位差≥4 20倍以下（単勝）,328,1.0,6.7,74.8,59.2,66.6,40.7,59.2,False
複勝,順位差≥4 上限なし（複勝）,392,1.0,24.2,77.8,74.6,76.1,61.6,74.6,False
単勝,順位差≥4 上限なし（単勝）,392,1.0,6.9,85.2,92.9,89.2,54.8,85.2,False
複勝,比率≥1.5 20倍以下（複勝）,416,1.0,27.6,74.6,69.1,71.7,59.6,69.1,False
単勝,比率≥1.5 20倍以下（単勝）,416,1.0,6.5,62.5,61.6,62.0,39.1,61.6,False
複勝,比率≥1.5 上限なし（複勝）,480,1.0,25.6,72.4,71.4,71.9,59.7,71.4,False
単勝,比率≥1.5 上限なし（単勝）,480,1.0,6.7,72.8,88.2,81.1,51.9,72.8,False
複勝,比率≥2.0 上限なし（複勝）,226,1.0,24.8,85.1,84.6,84.9,63.8,84.6,False
単勝,比率≥2.0 上限なし（単勝）,226,1.0,5.8,106.2,103.7,104.9,50.0,103.7,False
ワイド,順位差≥3 × 人気上位2頭（ワイド）,639,2.0,22.2,80.4,70.1,75.2,63.1,70.1,False
ワイド,順位差≥3 × 人気上位3頭（ワイド）,639,3.0,27.9,80.5,79.5,80.0,69.2,79.5,False
ワイド,順位差≥3 × MF上位2頭（ワイド）,639,2.0,17.5,78.1,50.4,64.0,51.3,50.4,False
ワイド,順位差≥3 × MF上位3頭（ワイド）,639,3.0,22.5,73.0,54.5,63.6,52.9,54.5,False
馬連,順位差≥3 × 人気上位2頭（馬連）,639,2.0,8.8,72.6,74.2,73.4,53.4,72.6,False
馬連,順位差≥3 × 人気上位3頭（馬連）,639,3.0,12.4,71.4,87.2,79.5,61.0,71.4,False
馬連,順位差≥3 × MF上位2頭（馬連）,639,2.0,5.9,70.4,60.8,65.5,38.6,60.8,False
馬連,順位差≥3 × MF上位3頭（馬連）,639,3.0,8.6,59.4,62.4,60.9,41.4,59.4,False
3連複,順位差≥3 × MF上位3の2頭（3連複）,639,3.0,5.8,56.1,40.8,48.3,30.3,40.8,False
