競馬場cd,距離,is_turf,馬場状態_num,基準秒
1,1000,0.0,1,60.2
1,1000,0.0,2,59.8
1,1000,0.0,3,59.45
1,1000,0.0,4,59.8
1,1000,1.0,1,57.75
1,1200,1.0,1,69.7
1,1200,1.0,2,70.7
1,1200,1.0,3,71.6
1,1500,1.0,1,89.9
1,1500,1.0,2,91.3
1,1500,1.0,3,93.1
1,1700,0.0,1,108.0
1,1700,0.0,2,107.6
1,1700,0.0,3,106.5
1,1700,0.0,4,106.4
1,1800,1.0,1,109.7
1,1800,1.0,2,111.45
1,1800,1.0,3,112.9
1,2000,1.0,1,122.4
1,2000,1.0,2,124.2
1,2000,1.0,3,125.1
1,2400,0.0,1,158.0
1,2400,0.0,2,158.6
1,2400,0.0,3,152.85
1,2400,0.0,4,155.15
1,2600,1.0,1,162.7
1,2600,1.0,2,164.9
1,2600,1.0,3,169.4
2,1000,0.0,1,60.2
2,1000,0.0,2,59.7
2,1000,0.0,3,59.5
2,1000,0.0,4,59.3
2,1000,1.0,1,58.4
2,1000,1.0,2,58.5
2,1200,1.0,1,69.7
2,1200,1.0,2,70.6
2,1200,1.0,3,70.9
2,1700,0.0,1,107.6
2,1700,0.0,2,106.7
2,1700,0.0,3,106.1
2,1700,0.0,4,105.6
2,1800,1.0,1,109.3
2,1800,1.0,2,110.0
2,1800,1.0,3,111.4
2,2000,1.0,1,121.9
2,2000,1.0,2,122.9
2,2000,1.0,3,123.15
2,2400,0.0,1,157.8
2,2400,0.0,2,157.2
2,2400,0.0,3,154.35000000000002
2,2400,0.0,4,155.5
2,2600,1.0,1,162.5
2,2600,1.0,2,163.8
2,2600,1.0,3,167.7
3,1150,0.0,1,70.1
3,1150,0.0,2,70.0
3,1150,0.0,3,69.1
3,1150,0.0,4,69.2
3,1200,1.0,1,70.3
3,1200,1.0,2,71.4
3,1200,1.0,3,71.7
3,1200,1.0,4,72.35
3,1700,0.0,1,108.3
3,1700,0.0,2,108.0
3,1700,0.0,3,107.2
3,1700,0.0,4,107.4
3,1800,1.0,1,109.8
3,1800,1.0,2,111.3
3,1800,1.0,3,112.5
3,1800,1.0,4,111.9
3,2000,1.0,1,122.0
3,2000,1.0,2,123.55
3,2000,1.0,3,124.2
3,2000,1.0,4,126.6
3,2400,0.0,1,156.8
3,2400,0.0,2,154.5
3,2600,1.0,1,162.3
3,2600,1.0,2,165.0
3,2600,1.0,3,166.14999999999998
3,2750,1.0,1,183.9
3,2750,1.0,2,183.64999999999998
3,2750,1.0,3,185.14999999999998
3,2750,1.0,4,188.4
3,2770,1.0,1,185.9
3,2770,1.0,2,187.6
3,2770,1.0,3,186.35000000000002
3,3350,1.0,1,223.5
3,3380,1.0,1,226.6
3,3380,1.0,2,230.05
3,3380,1.0,3,229.75
4,1000,1.0,1,56.1
4,1000,1.0,2,57.1
4,1000,1.0,3,57.9
4,1000,1.0,4,58.0
4,1200,0.0,1,73.2
4,1200,0.0,2,72.9
4,1200,0.0,3,72.2
4,1200,0.0,4,72.5
4,1200,1.0,1,70.3
4,1200,1.0,2,71.0
4,1200,1.0,3,71.6
4,1400,1.0,1,82.8
4,1400,1.0,2,83.8
4,1400,1.0,3,84.5
4,1400,1.0,4,85.85
4,1600,1.0,1,95.6
4,1600,1.0,2,96.4
4,1600,1.0,3,97.9
4,1600,1.0,4,98.0
4,1800,0.0,1,115.3
4,1800,0.0,2,115.4
4,1800,0.0,3,114.1
4,1800,0.0,4,114.1
4,1800,1.0,1,108.6
4,1800,1.0,2,109.9
4,1800,1.0,3,109.9
4,1800,1.0,4,113.1
4,2000,1.0,1,121.8
4,2000,1.0,2,122.9
4,2000,1.0,3,124.8
4,2000,1.0,4,126.0
4,2200,1.0,1,134.8
4,2200,1.0,2,136.5
4,2200,1.0,3,137.75
4,2200,1.0,4,138.6
4,2400,1.0,1,148.6
4,2400,1.0,2,149.7
4,2400,1.0,3,154.25
4,2400,1.0,4,156.5
4,2500,0.0,1,164.25
4,2500,0.0,2,167.4
4,2500,0.0,3,162.8
4,2500,0.0,4,162.5
4,2850,1.0,1,188.7
4,2850,1.0,2,190.4
4,2850,1.0,3,190.2
4,2850,1.0,4,189.65
4,2890,1.0,1,192.4
4,2890,1.0,2,194.8
4,2890,1.0,3,193.8
4,2890,1.0,4,199.9
4,3250,1.0,1,213.7
4,3250,1.0,2,215.4
4,3290,1.0,1,217.8
4,3290,1.0,2,220.6
4,3290,1.0,3,222.8
5,1300,0.0,1,80.5
5,1300,0.0,2,80.1
5,1300,0.0,3,79.5
5,1300,0.0,4,79.1
5,1400,0.0,1,86.6
5,1400,0.0,2,86.1
5,1400,0.0,3,85.1
5,1400,0.0,4,85.8
5,1400,1.0,1,82.2
5,1400,1.0,2,82.8
5,1400,1.0,3,84.0
5,1400,1.0,4,85.7
5,1600,0.0,1,99.4
5,1600,0.0,2,99.2
5,1600,0.0,3,97.6
5,1600,0.0,4,98.3
5,1600,1.0,1,95.0
5,1600,1.0,2,95.7
5,1600,1.0,3,97.7
5,1600,1.0,4,99.8
5,1800,1.0,1,108.4
5,1800,1.0,2,109.0
5,1800,1.0,3,109.05
5,1800,1.0,4,112.05
5,2000,1.0,1,120.9
5,2000,1.0,2,122.1
5,2000,1.0,3,122.69999999999999
5,2000,1.0,4,126.2
5,2100,0.0,1,134.3
5,2100,0.0,2,133.0
5,2100,0.0,3,131.64999999999998
5,2100,0.0,4,132.5
5,2300,1.0,1,141.2
5,2300,1.0,2,142.7
5,2400,1.0,1,146.9
5,2400,1.0,2,148.1
5,2400,1.0,3,147.75
5,2400,1.0,4,154.1
5,2500,1.0,1,151.9
5,3000,1.0,1,207.5
5,3000,1.0,2,207.8
5,3000,1.0,3,215.8
5,3000,1.0,4,216.0
5,3100,1.0,1,211.7
5,3110,1.0,1,208.25
5,3110,1.0,2,211.1
5,3110,1.0,3,215.1
5,3400,1.0,1,212.5
6,1200,0.0,1,73.2
6,1200,0.0,2,73.1
6,1200,0.0,3,72.5
6,1200,0.0,4,72.4
6,1200,1.0,1,69.1
6,1200,1.0,2,69.9
6,1200,1.0,3,70.3
6,1200,1.0,4,73.1
6,1600,1.0,1,95.3
6,1600,1.0,2,96.3
6,1600,1.0,3,96.9
6,1600,1.0,4,98.4
6,1800,0.0,1,116.8
6,1800,0.0,2,116.7
