券種,レース条件,馬の条件,オッズ,人気,点数,的中,回収率,最悪年,最良年,100%超の年数
単勝,全体,MF複勝1位,〜5倍,人気不問,12064,3928,81.1,79.3,83.7,0
複勝,全体,MF複勝1位,〜5倍,人気不問,12064,7813,85.0,84.1,85.7,0
単勝,全体,MF複勝1位,〜5倍,3番人気以内,12044,3924,81.1,79.3,83.5,0
複勝,全体,MF複勝1位,〜5倍,3番人気以内,12044,7799,85.0,84.0,85.7,0
単勝,全体,MF複勝1位,5-10倍,人気不問,2356,277,73.0,66.2,82.7,0
複勝,全体,MF複勝1位,5-10倍,人気不問,2356,907,79.3,73.4,87.2,0
単勝,全体,MF複勝1位,5-10倍,4番人気以下,956,96,71.7,60.8,80.9,0
複勝,全体,MF複勝1位,5-10倍,4番人気以下,956,331,76.7,69.3,86.4,0
単勝,全体,MF複勝1位,5-10倍,3番人気以内,1400,181,73.9,66.1,100.7,1
複勝,全体,MF複勝1位,5-10倍,3番人気以内,1400,576,81.0,71.0,99.1,0
単勝,全体,MF複勝1位,10-20倍,人気不問,445,35,98.1,42.9,173.8,2
複勝,全体,MF複勝1位,10-20倍,人気不問,445,128,90.8,77.3,112.6,2
単勝,全体,MF複勝1位,10-20倍,4番人気以下,437,35,99.9,44.0,177.8,2
複勝,全体,MF複勝1位,10-20倍,4番人気以下,437,127,92.0,78.5,115.2,2
単勝,全体,MF複勝1位,10-20倍,6番人気以下,265,19,96.1,26.7,187.5,2
複勝,全体,MF複勝1位,10-20倍,6番人気以下,265,72,94.0,73.8,117.2,1
単勝,全体,MF複勝1位,〜10倍,人気不問,14420,4205,79.8,78.1,82.3,0
複勝,全体,MF複勝1位,〜10倍,人気不問,14420,8720,84.1,82.9,85.8,0
単勝,全体,MF複勝1位,〜10倍,4番人気以下,976,100,72.2,62.1,81.7,0
複勝,全体,MF複勝1位,〜10倍,4番人気以下,976,345,77.4,70.1,87.0,0
単勝,全体,MF複勝1位,〜10倍,3番人気以内,13444,4105,80.4,78.1,83.8,0
複勝,全体,MF複勝1位,〜10倍,3番人気以内,13444,8375,84.6,83.7,86.7,0
単勝,全体,MF複勝1位,〜20倍,人気不問,14865,4240,80.4,77.4,83.3,0
複勝,全体,MF複勝1位,〜20倍,人気不問,14865,8848,84.3,82.7,85.9,0
単勝,全体,MF複勝1位,〜20倍,4番人気以下,1413,135,80.8,70.6,110.1,1
複勝,全体,MF複勝1位,〜20倍,4番人気以下,1413,472,81.9,73.0,95.9,0
単勝,全体,MF複勝1位,〜20倍,6番人気以下,333,26,94.7,35.8,173.7,2
複勝,全体,MF複勝1位,〜20倍,6番人気以下,333,97,94.6,84.4,112.2,1
単勝,全体,MF複勝1位,〜20倍,3番人気以内,13452,4105,80.3,78.0,83.8,0
複勝,全体,MF複勝1位,〜20倍,3番人気以内,13452,8376,84.5,83.7,86.7,0
