構成,券種,通算,CI下,最悪年,収支,依存,点数,条件クリア
ワイド 軸×人気上位1頭,ワイド,79.8,63.6,53.2,-14590,7.4,1.0,False
ワイド 軸×人気上位2頭,ワイド,92.3,77.9,74.8,-11180,5.4,2.0,False
ワイド 軸×人気上位3頭,ワイド,84.8,72.1,62.0,-33010,4.6,3.0,False
ワイド 軸×モデル上位1頭,ワイド,96.7,73.2,73.5,-2380,14.1,1.0,False
ワイド 軸×モデル上位2頭,ワイド,81.4,65.5,55.9,-26920,8.9,2.0,False
ワイド 軸×モデル上位3頭,ワイド,81.3,67.2,55.1,-40500,7.6,3.0,False
ワイド 軸×EV上位1頭,ワイド,66.3,19.1,16.7,-24360,66.3,1.0,False
ワイド 軸×EV上位2頭,ワイド,60.2,31.0,43.2,-57520,36.5,2.0,False
ワイド 軸×EV上位3頭,ワイド,68.9,41.9,63.7,-67390,29.8,3.0,False
ワイド 軸×乖離上位1頭,ワイド,76.5,36.9,51.9,-17020,38.1,1.0,False
ワイド 軸×乖離上位2頭,ワイド,72.8,43.6,43.3,-39260,27.8,2.0,False
ワイド 軸×乖離上位3頭,ワイド,73.9,49.2,61.8,-56560,24.6,3.0,False
ワイド 軸×穴上位1頭,ワイド,90.9,55.3,72.8,-6610,23.7,1.0,False
ワイド 軸×穴上位2頭,ワイド,90.9,63.2,85.7,-13110,17.9,2.0,False
ワイド 軸×穴上位3頭,ワイド,80.6,58.7,68.2,-41850,14.8,3.0,False
ワイド 人気上位3頭BOX,ワイド,81.1,79.0,79.1,-517450,0.4,3.0,False
ワイド 人気上位4頭BOX,ワイド,82.3,80.5,81.6,-967740,0.3,6.0,False
ワイド モデル上位3頭BOX,ワイド,80.0,77.1,76.3,-547280,1.5,3.0,False
ワイド モデル上位4頭BOX,ワイド,77.4,75.2,73.6,-1235150,0.9,6.0,False
馬連 軸×人気上位1頭,馬連,103.7,72.8,56.8,2710,16.2,1.0,False
馬連 軸×人気上位2頭,馬連,105.6,79.6,72.5,8150,9.6,2.0,False
馬連 軸×人気上位3頭,馬連,87.7,68.2,60.0,-26760,9.7,3.0,False
馬連 軸×モデル上位1頭,馬連,92.8,56.9,84.5,-5200,25.3,1.0,False
馬連 軸×モデル上位2頭,馬連,79.4,54.0,56.2,-29830,19.1,2.0,False
馬連 軸×モデル上位3頭,馬連,87.9,65.1,55.5,-26260,15.3,3.0,False
馬連 軸×EV上位1頭,馬連,136.4,10.0,58.1,26290,90.4,1.0,False
馬連 軸×EV上位2頭,馬連,118.9,39.5,87.5,27300,59.6,2.0,False
馬連 軸×EV上位3頭,馬連,130.2,53.9,81.0,65480,51.9,3.0,False
馬連 軸×乖離上位1頭,馬連,128.5,30.6,88.4,20570,71.5,1.0,False
馬連 軸×乖離上位2頭,馬連,86.7,32.5,61.6,-19260,53.6,2.0,False
馬連 軸×乖離上位3頭,馬連,73.5,35.6,56.7,-57430,42.1,3.0,False
馬連 軸×穴上位1頭,馬連,95.4,39.9,53.3,-3290,41.4,1.0,False
馬連 軸×穴上位2頭,馬連,137.4,59.3,64.6,54050,51.4,2.0,False
馬連 軸×穴上位3頭,馬連,134.3,72.8,113.3,74120,35.3,3.0,False
馬連 人気上位3頭BOX,馬連,80.6,77.8,77.2,-531000,0.6,3.0,False
馬連 人気上位4頭BOX,馬連,77.9,75.7,76.8,-1207080,0.5,6.0,False
馬連 モデル上位3頭BOX,馬連,78.8,74.7,75.3,-580810,1.6,3.0,False
馬連 モデル上位4頭BOX,馬連,74.7,71.4,69.7,-1387100,1.5,6.0,False
3連複 軸+人気上位3頭から2頭,3連複,73.8,53.3,43.2,-56720,13.9,3.0,False
3連複 軸+人気上位4頭から2頭,3連複,63.0,45.8,39.6,-160680,18.2,6.0,False
3連複 軸+モデル上位3頭から2頭,3連複,80.0,47.1,26.9,-43280,31.6,3.0,False
3連複 軸+モデル上位4頭から2頭,3連複,67.6,46.0,33.0,-140750,22.7,6.0,False
3連複 軸+EV上位3頭から2頭,3連複,17.0,0.0,0.0,-179920,100.0,3.0,False
3連複 軸+EV上位4頭から2頭,3連複,166.9,13.1,31.1,290060,90.7,6.0,False
3連複 人気上位4頭BOX,3連複,83.5,79.3,78.6,-600670,1.2,4.0,False
3連複 人気上位5頭BOX,3連複,79.8,76.3,76.1,-1846320,1.1,10.0,False
3連複 モデル上位4頭BOX,3連複,71.6,66.4,64.0,-1035610,2.6,4.0,False
3連複 モデル上位5頭BOX,3連複,74.8,70.6,68.4,-2299280,2.0,10.0,False
