race_id,券種,買い方,組み合わせ,BT回収率,判定,サイズ,金額,期待値,jyo,race_no,予想日時
202601010811,単勝,EV単勝,8,113,買い,標準,1000,1.84,札幌,11,2026/08/16 07:15
202601010811,馬単,EV馬単,8-10,134,買い,標準,500,,札幌,11,2026/08/16 07:15
202604020806,単勝,EV単勝,5,113,買い,標準,1000,2.81,新潟,6,2026/08/16 07:29
202604020806,馬単,EV馬単,5-8,134,買い,標準,500,,新潟,6,2026/08/16 07:29
202604020806,馬単,EV馬単,5-6,134,買い,標準,500,,新潟,6,2026/08/16 07:29
202604020806,馬単,EV馬単,5-11,134,買い,標準,500,,新潟,6,2026/08/16 07:29
202604020811,単勝,EV単勝,7,113,買い,標準,1000,3.42,新潟,11,2026/08/16 07:38
202604020811,馬単,EV馬単,7-1,134,買い,標準,500,,新潟,11,2026/08/16 07:38
202604020811,馬単,EV馬単,7-2,134,買い,標準,500,,新潟,11,2026/08/16 07:38
202604020811,馬単,EV馬単,7-4,134,買い,標準,500,,新潟,11,2026/08/16 07:38
202607020801,単勝,EV単勝,1,113,買い,標準,1000,4.09,中京,1,2026/08/16 09:49
202607020801,馬単,EV馬単,1-9,134,買い,標準,500,,中京,1,2026/08/16 09:49
202607020801,馬単,EV馬単,1-8,134,買い,標準,500,,中京,1,2026/08/16 09:49
202607020801,馬単,EV馬単,1-5,134,買い,標準,500,,中京,1,2026/08/16 09:49
202601010801,単勝,EV単勝,13,113,買い,標準,1000,2.36,札幌,1,2026/08/16 09:59
202601010801,馬単,EV馬単,13-1,134,買い,標準,500,,札幌,1,2026/08/16 09:59
202601010801,馬単,EV馬単,13-10,134,買い,標準,500,,札幌,1,2026/08/16 09:59
202601010801,馬単,EV馬単,13-5,134,買い,標準,500,,札幌,1,2026/08/16 09:59
202604020802,単勝,EV単勝,5,113,買い,標準,1000,2.14,新潟,2,2026/08/16 10:09
202604020802,馬単,EV馬単,5-15,134,買い,標準,500,,新潟,2,2026/08/16 10:09
