設定,ROI2023,ROI2024,ROI2025,通算,CI下,最低年,的中,R数
現行(1.7/2.2/20倍/乖離3/人気3),122.2,116.6,134.1,124.7,92.1,116.6,64,723
オッズ上限12倍,154.9,171.0,96.1,135.6,83.3,96.1,28,209
オッズ上限15倍,133.6,141.1,124.9,132.4,89.2,124.9,43,382
オッズ上限25倍,108.9,96.2,101.4,102.7,75.9,96.2,73,1069
オッズ上限30倍,119.3,85.7,93.1,100.5,77.1,85.7,80,1367
オッズ上限999倍,118.4,68.3,69.9,86.6,61.4,68.3,95,2660
乖離>=2,113.9,121.5,109.0,114.3,89.7,109.0,83,974
乖離>=4,121.9,127.4,123.3,123.9,81.3,121.9,37,446
乖離>=5,185.5,64.2,134.6,134.0,69.3,64.2,17,220
相手人気<=2,121.7,123.7,148.2,131.5,97.0,121.7,64,723
相手人気<=4,110.0,103.8,120.1,111.7,83.0,103.8,64,723
相手人気<=5,128.2,111.3,112.1,117.7,85.3,111.3,64,723
軸2頭,118.6,114.7,132.6,122.3,88.4,114.7,64,723
ケリー配分,117.5,117.1,136.8,124.2,90.2,117.1,64,723
OP以上を除外,136.7,125.3,122.6,128.5,93.3,122.6,57,624
乖離4 × オッズ15倍,132.4,168.9,139.1,144.7,87.9,132.4,25,214
乖離4 × 相手人気2,111.8,124.9,128.3,121.3,78.8,111.8,37,446
オッズ15倍 × OP除外,148.7,146.8,121.8,138.0,94.2,121.8,39,333
