構成,通算,CI下,最悪年,収支,総点数,依存
馬単 EV上位1点（全馬から）,277.1,41.1,131.2,128060,723,83.7
馬単 EV上位2点（全馬から）,162.1,41.7,65.6,89800,1446,71.6
馬単 EV上位3点（全馬から）,138.6,50.6,68.5,83640,2169,55.8
馬単 軸→3番人気以内の印【現行】,134.1,93.7,118.1,58380,1714,14.5
馬単 EV≥0.8かつ印,120.7,82.4,90.8,58390,2819,18.4
馬単 EV≥2.0（全馬から）,119.1,65.5,89.0,99000,5187,38.7
馬単 EV≥1.2かつ印,117.0,78.0,72.6,44330,2603,20.6
馬単 EV≥1.0かつ印,116.5,75.4,76.9,45360,2750,19.6
馬単 EV≥1.5（全馬から）,105.9,61.2,83.8,38690,6556,34.4
馬単 EV≥1.2（全馬から）,99.0,59.1,81.7,-7350,7342,32.9
馬単 EV≥0.8（全馬から）,98.8,62.7,76.2,-9880,8321,29.1
馬単 EV≥1.0（全馬から）,96.3,58.3,78.1,-29310,7856,31.6
