構成,券種,通算,CI下,最悪年,収支,R数,点数,依存,総点数
馬単 軸→全印（基準）,馬単,123.7,86.6,97.5,68440,723,4.0,17.5,2892
馬単 相手EV≥0.7,馬単,141.2,74.8,103.0,60760,709,2.1,30.1,1474
馬単 相手EV≥0.9,馬単,145.5,60.7,118.7,47580,641,1.6,41.2,1046
馬単 相手EV≥1.1,馬単,146.5,47.4,36.7,34670,537,1.4,57.4,746
馬単 相手EV≥1.3,馬単,161.7,37.4,53.4,32390,419,1.3,73.9,525
馬単 相手乖離≥-1,馬単,120.8,77.2,82.2,48820,723,3.2,22.1,2349
馬単 相手乖離≥0,馬単,124.5,72.0,91.2,44450,723,2.5,27.8,1811
馬単 相手乖離≥1,馬単,141.7,65.0,100.4,46500,650,1.7,39.7,1116
馬単 相手乖離≥2,馬単,152.5,46.4,95.0,37530,509,1.4,57.5,715
馬単 相手が3番人気以内,馬単,134.1,94.5,118.1,58380,721,2.4,14.5,1714
馬単 相手が5番人気以内,馬単,120.2,83.6,109.1,46920,723,3.2,17.8,2327
馬単 相手が8番人気以内,馬単,123.2,84.6,101.3,63600,723,3.8,18.4,2745
馬単 相手が12番人気以内,馬単,117.4,80.4,97.6,50000,723,4.0,18.4,2881
馬単 相手10倍以下,馬単,112.8,78.0,92.9,27480,723,3.0,14.5,2144
馬単 相手20倍以下,馬単,115.3,80.7,102.2,40100,723,3.6,17.4,2620
馬単 相手50倍以下,馬単,125.5,85.7,98.4,72640,723,3.9,17.5,2850
馬単 相手EV≥0.9かつ12番人気以内,馬単,128.2,51.6,105.3,29140,639,1.6,44.5,1035
馬単 相手EV≥1.1かつ50倍以下,馬単,155.2,56.4,38.2,38870,520,1.4,57.4,704
馬単 相手乖離≥0かつ8番人気以内,馬単,123.8,69.8,97.1,39610,721,2.3,28.7,1664
馬連 軸×全印（基準）,馬連,88.0,67.0,71.3,-34740,723,4.0,11.4,2892
馬連 相手EV≥0.9,馬連,100.2,54.6,78.1,220,641,1.6,27.8,1046
馬連 相手EV≥1.1,馬連,110.9,51.0,54.8,8110,537,1.4,35.2,746
