条件,頭数,複勝率,単勝ROI,複勝ROI,複勝CI下,ワイドROI,ワイドCI下
モデル1〜3位 × 乖離≥5 × 20-60倍,227,19.8,96.7,127.4,93.3,78.1,43.9
モデル1〜5位 × 乖離≥5 × 20-60倍,510,16.5,99.5,111.3,88.1,82.0,57.3
モデル4〜6位 × 乖離≥5 × 20-60倍,351,12.8,82.1,94.6,68.2,93.0,60.5
モデル4〜8位 × 乖離≥5 × 20-60倍,397,12.3,72.6,93.9,68.2,91.9,60.2
モデル5位以内 × 乖離≥5 × 10-20倍,183,26.8,117.7,98.4,75.4,145.8,100.7
モデル5位以内 × 乖離≥5 × 20-40倍,357,16.0,93.4,96.1,72.8,88.7,56.3
モデル5位以内 × 乖離≥5 × 40-80倍,220,16.8,177.0,157.3,107.7,88.5,44.5
モデル5位以内 × 乖離≥5 × 80-∞倍,61,3.3,0.0,51.8,0.0,144.3,0.0
モデル5位以内 × 乖離≥3 × 20-60倍,1119,15.1,92.9,92.2,78.0,80.6,62.7
モデル5位以内 × 乖離≥5 × 20-60倍,510,16.5,99.5,111.3,88.8,82.0,57.7
モデル5位以内 × 乖離≥7 × 20-60倍,145,17.9,148.3,140.6,93.2,70.6,30.8
モデル1〜5位 × 乖離<3 × 20-60倍,583,18.5,105.1,81.6,66.1,74.2,57.0
モデル6〜12位 × 乖離<3 × 20-60倍,6554,12.3,83.2,77.6,72.2,86.3,77.5
