買い方,条件,基準,5年ROI,100超年数,直近2年ROI,直近2年的中,CI下,CI上,7分前ROI,影響pt,通過
馬単裏,荒れR/勝率1位軸x勝率上位2/1-10倍,勝率,132.2,5,148.7,16,69.8,254.4,154.7,5.9,○
馬単裏,荒れR/勝率1位軸x勝率上位2/3-15倍,勝率,128.4,5,155.7,17,75.7,257.4,154.2,-1.5,○
単勝,上級クラス4+/勝率2位/10-40倍,勝率,101.8,2,156.3,15,83.6,236.7,153.1,-3.3,○
馬単裏,荒れR/勝率1位軸x勝率上位2/1-20倍,勝率,123.2,4,149.2,18,72.9,245.1,148.5,-0.8,○
馬単表,少頭数-12/勝率1位軸x勝率上位5/5-30倍,勝率,103.5,2,172.4,29,100.7,259.8,148.3,-24.0,○
馬単裏,荒れR/勝率1位軸x勝率上位2/1-99倍,勝率,119.2,3,146.6,18,66.4,244.2,146.6,0.0,○
馬単裏,上級クラス4+/勝率1位軸x勝率上位2/1-10倍,勝率,103.3,3,132.6,34,77.8,196.9,132.8,0.2,○
馬単裏,短距離-1400/連対1位軸x連対上位2/3-15倍,連対,110.5,2,148.8,44,96.4,206.5,131.5,-17.3,○
馬連,荒れR/勝率1位軸x勝率上位2/1-10倍,勝率,114.2,4,131.3,26,73.3,197.3,130.9,-0.3,○
馬連,荒れR/勝率1位軸x勝率上位2/3-15倍,勝率,107.5,4,132.7,26,78.0,197.9,130.5,-2.2,○
単勝,長距離1900+/勝率2位/10-40倍,勝率,103.4,3,139.3,15,69.8,221.9,127.9,-11.4,○
馬連,荒れR/勝率1位軸x勝率上位2/5-30倍,勝率,101.9,3,136.9,15,65.2,233.1,126.6,-10.3,○
馬連,荒れR/勝率1位軸x勝率上位2/1-20倍,勝率,104.6,3,126.8,28,73.3,188.9,126.1,-0.7,○
馬連,荒れR/勝率1位軸x勝率上位2/1-99倍,勝率,101.2,2,124.5,28,73.5,184.9,124.5,0.0,○
馬単裏,ダート/連対1位軸x連対上位2/5-30倍,連対,128.4,4,136.5,16,60.5,229.2,123.6,-12.9,○
馬単裏,荒れR/連対1位軸x連対上位4/1-10倍,連対,105.6,4,115.9,42,77.8,164.0,117.4,1.6,○
馬単裏,荒れR/連対1位軸x連対上位4/1-20倍,連対,105.5,4,117.7,46,77.1,158.7,116.1,-1.6,○
馬単裏,荒れR/連対1位軸x連対上位4/1-99倍,連対,112.6,4,115.6,46,77.7,160.1,115.6,0.0,○
複勝,荒れR/連対1位/10-40倍,連対,110.7,3,124.7,18,74.5,180.2,115.6,-9.1,○
馬単裏,荒れR/勝率1位軸x勝率上位3/1-10倍,勝率,102.7,4,114.1,31,68.5,167.8,115.3,1.2,○
馬単裏,荒れR/連対1位軸x連対上位4/3-15倍,連対,107.2,4,113.6,42,77.5,159.2,114.9,1.4,○
馬単裏,ダート/複勝1位軸x複勝上位2/5-30倍,複勝,104.7,3,120.8,17,58.5,194.1,113.8,-7.0,○
馬単裏,荒れR/連対1位軸x連対上位5/1-20倍,連対,100.3,3,110.6,55,79.4,148.5,109.5,-1.1,○
馬単表,荒れR/勝率1位軸x勝率上位4/1-20倍,勝率,100.5,3,108.0,41,67.1,158.1,106.8,-1.2,○
馬単表,荒れR/勝率1位軸x勝率上位4/3-15倍,勝率,103.5,3,110.2,36,64.1,159.5,106.5,-3.7,○
馬連,少頭数-12/連対1位軸x連対上位2/5-30倍,連対,120.5,3,124.8,16,59.9,198.1,106.2,-18.6,○
馬単裏,上級クラス4+/複勝1位軸x複勝上位4/5-30倍,複勝,107.4,3,137.1,19,70.0,212.4,105.9,-31.2,○
馬単裏,上級クラス4+/連対1位軸x連対上位4/5-30倍,連対,104.7,3,128.9,14,57.6,212.1,105.6,-23.3,○
馬単裏,上級クラス4+/複勝1位軸x複勝上位5/5-30倍,複勝,102.8,3,128.5,22,72.1,190.6,104.9,-23.7,○
複勝,中頭数13-15/連対1位/10-40倍,連対,116.1,3,132.8,16,80.7,189.2,102.5,-30.2,○
ワイド,少頭数-12/連対1位軸x連対上位6/10-40倍,連対,102.9,3,147.2,12,62.5,247.0,101.7,-45.5,○
ワイド,長距離1900+/連対1位軸x連対上位6/10-40倍,連対,115.9,3,127.9,12,59.7,216.1,97.8,-30.1,
馬単裏,上級クラス4+/複勝1位軸x複勝上位6/5-30倍,複勝,105.5,4,116.4,25,67.3,173.1,91.9,-24.5,
ワイド,芝長距離/連対1位軸x連対上位6/10-40倍,連対,113.2,4,132.6,11,55.8,231.5,90.9,-41.6,
